Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
GeorgetownNCAA D1,16-180.471,1,827.64,8438.62,12693.96,6622.23,2.7,5740.02,25-26
OregonNCAA D1,12-200.375,1,837.63,6141.57,9995.24,3723.91,2.93,2941.77,25-26
MarquetteNCAA D1,12-200.375,2,847.63,5242.91,6697.69,5422.8,2.89,4340.71,25-26
Colorado StNCAA D1,21-130.618,,857.62,7739.99,12494,4423.56,2.87,9234.83,25-26
MinnesotaNCAA D1,15-180.455,-7,867.62,8139.48,20290.87,2526.18,2.92,5340.26,25-26
High PointNCAA D1,31-50.861,,877.61,9837.18,5598.31,20416.44,2.79,28725.99,25-26
Wichita StNCAA D1,24-120.667,,887.61,8338.66,11294.72,7921.51,2.77,10433.54,25-26
McNeese StNCAA D1,28-60.824,,897.59,10036.93,13893.04,8121.46,2.7,20628.22,25-26
Kansas StNCAA D1,12-200.375,1,907.54,7939.8,5398.37,13919,2.8,4240.87,25-26
RutgersNCAA D1,14-200.412,-1,917.53,8538.48,10495.12,8520.94,2.99,5440.23,25-26
SyracuseNCAA D1,15-170.469,,927.52,8638.48,8196.44,11819.61,2.94,7338.56,25-26
DePaulNCAA D1,16-160.500,1,937.51,9936.97,21090.7,3823.85,2.84,7538.15,25-26
Northern IowaNCAA D1,23-130.639,-1,947.5,9337.95,28588.52,1827,2.79,11832.36,25-26
PittsburghNCAA D1,13-200.394,,957.5,8239.44,14892.66,3424.35,2.8,6839.19,25-26
St Joseph's PANCAA D1,24-120.667,,967.48,11435.45,16291.89,8421.13,2.77,11432.42,25-26
South CarolinaNCAA D1,13-190.406,,977.48,8738.43,12793.82,6822.19,2.91,6439.34,25-26
LibertyNCAA D1,26-80.765,,987.47,11735.08,14692.7,10819.95,2.76,15230.03,25-26
UNLVNCAA D1,18-170.514,1,997.45,10336.54,9095.83,15718.29,2.82,8336.53,25-26
Notre DameNCAA D1,13-180.419,1,1007.45,9238,10694.84,9020.73,2.83,7138.83,25-26
Illinois StNCAA D1,23-130.639,-2,1017.45,11235.61,17691.49,7621.7,2.93,10732.96,25-26
George MasonNCAA D1,23-100.697,,1027.43,10536.27,25089.62,3524.23,2.92,13631.2,25-26
Cal BaptistNCAA D1,25-90.735,1,1037.42,12434.19,26389.22,6222.55,2.82,14730.25,25-26
YaleNCAA D1,24-70.774,-1,1047.41,10236.72,10994.78,12119.51,2.83,20928.17,25-26
Utah ValleyNCAA D1,25-90.735,,1057.4,10436.28,12194.14,11519.71,2.89,17229.13,25-26
Penn StNCAA D1,12-200.375,,1067.39,9437.83,8396.21,13119.2,2.94,6539.32,25-26
San FranciscoNCAA D1,17-160.515,,1077.37,9637.56,11194.77,9820.36,2.74,9834.48,25-26
