Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
McNeese StNCAA D1,28-70.800,,857.66,10436.71,16691.69,8921.73,2.77,20229.12,24-25
Florida StNCAA D1,17-150.531,,867.65,8339.26,8794.82,9921.15,3.03,7437.79,24-25
UABNCAA D1,24-130.649,,877.64,8538.75,3898.71,21016.75,2.8,10732.91,24-25
Grand CanyonNCAA D1,26-80.765,,887.64,9637.61,9094.64,13219.68,2.79,18229.75,24-25
YaleNCAA D1,22-80.733,,897.63,8938.62,9994.29,10521.04,2.88,16030.49,24-25
NevadaNCAA D1,17-160.515,,907.63,7440.34,11993.13,4923.91,2.94,8736.47,24-25
GeorgetownNCAA D1,18-160.529,,917.63,9937.43,11893.19,11020.95,2.83,7238.06,24-25
AkronNCAA D1,28-70.800,,927.61,10935.98,6896.03,21316.66,2.84,20329.12,24-25
VirginiaNCAA D1,15-170.469,,937.61,8738.71,30087.47,1127.95,2.94,6838.6,24-25
WashingtonNCAA D1,13-180.419,,947.61,9038.21,8495.04,12819.87,2.93,5440.44,24-25
UNLVNCAA D1,18-150.545,,957.6,9537.67,19490.51,5123.88,2.87,8336.76,24-25
Washington StNCAA D1,19-150.559,,967.59,8638.72,5896.86,15518.56,2.93,9135.83,24-25
Loyola-ChicagoNCAA D1,25-120.676,,977.59,10636.58,17191.49,8721.8,2.9,11632.41,24-25
High PointNCAA D1,29-60.829,,987.58,11735.26,8195.2,20816.77,2.81,26927.55,24-25
ProvidenceNCAA D1,12-200.375,,997.58,7340.48,9594.52,6422.67,2.98,6239.64,24-25
Notre DameNCAA D1,15-180.455,,1007.56,9337.82,16491.79,6322.73,2.9,6938.27,24-25
Oregon StNCAA D1,20-130.606,,1017.54,9138.1,13192.88,8321.93,2.93,10033.58,24-25
Georgia TechNCAA D1,17-170.500,,1027.53,10037.2,12193.06,11620.85,2.85,8037.17,24-25
St Joseph's PANCAA D1,22-130.629,,1037.53,10137.12,12792.94,11520.89,2.82,10633.13,24-25
BelmontNCAA D1,22-110.667,,1047.51,11135.71,6596.14,22916.28,2.92,11232.6,24-25
SyracuseNCAA D1,14-190.424,,1057.51,9737.59,7295.83,15718.47,2.91,6738.64,24-25
NC StateNCAA D1,12-190.387,,1067.49,7839.53,13092.89,5723.34,2.8,7337.86,24-25
UNC WilmingtonNCAA D1,27-80.771,,1077.49,11435.36,13292.79,14219.27,2.79,24328.16,24-25
Utah ValleyNCAA D1,25-90.735,,1087.48,12035.05,16891.64,12720.11,2.88,17529.9,24-25
Arkansas StNCAA D1,25-110.694,,1097.48,11235.44,9694.48,18217.67,2.82,15230.89,24-25
FL AtlanticNCAA D1,18-160.529,,1107.47,9237.92,5697.11,18917.52,2.91,9734.8,24-25
St BonaventureNCAA D1,22-120.647,,1117.45,11935.07,27887.9,5023.88,2.95,12432.16,24-25
Northern IowaNCAA D1,20-130.606,,1127.45,10536.65,18191.12,7822.24,2.89,10832.8,24-25
FurmanNCAA D1,25-100.714,,1137.43,12434.66,11393.35,17518.01,2.87,19129.5,24-25
TroyNCAA D1,23-110.676,,1147.43,11835.26,20290,8121.96,2.84,17130.02,24-25
Nova SENCAA D2,36-10.973,,1157.42,16032.01,12102.36,5596.35,2.68,40315.14,24-25
Wichita StNCAA D1,19-150.559,,1167.42,11035.93,12992.9,13019.74,2.86,9933.9,24-25
DePaulNCAA D1,14-200.412,,1177.42,11535.3,12692.99,14719.02,2.91,6638.88,24-25
Col CharlestonNCAA D1,24-90.727,,1187.41,12934.19,8894.81,23416.09,2.79,18629.61,24-25
CaliforniaNCAA D1,14-190.424,,1197.41,10836.19,7995.25,18417.64,3.01,7737.58,24-25
Virginia TechNCAA D1,13-190.406,,1207.4,10237.06,14292.52,9721.24,3.08,7837.53,24-25
MTSUNCAA D1,22-120.647,,1217.37,14732.82,14692.38,19817.15,2.98,12032.27,24-25
St LouisNCAA D1,19-150.559,,1227.37,12134.99,11593.23,15818.47,3.02,10533.25,24-25
Jacksonville StNCAA D1,23-130.639,,1237.37,13633.54,22889.32,11120.94,2.77,14531.13,24-25
Illinois StNCAA D1,22-140.611,,1247.36,13533.69,17091.57,15018.82,2.96,12932.02,24-25
KentNCAA D1,24-120.667,,1257.36,13234.08,21589.68,10121.11,2.78,17729.85,24-25
LipscombNCAA D1,25-100.714,,1267.35,12734.31,15891.9,14419.12,2.78,25827.82,24-25
MontanaNCAA D1,25-100.714,,1277.34,15832.16,14892.26,21516.6,2.9,19029.54,24-25
SamfordNCAA D1,22-110.667,,1287.33,12534.51,4797.88,33113.33,2.91,17929.82,24-25
Louisiana TechNCAA D1,20-120.625,,1297.31,11635.29,18990.68,9321.32,2.82,17030.1,24-25
N ColoradoNCAA D1,25-100.714,,1307.31,14333.08,8694.87,27314.92,2.72,22728.56,24-25
TulaneNCAA D1,19-150.559,,1317.3,12234.94,12293.05,15418.6,2.94,13931.48,24-25
Robert MorrisNCAA D1,26-90.743,,1327.29,18031.06,18590.8,20216.97,2.81,25627.86,24-25
TowsonNCAA D1,22-110.667,,1337.28,14532.94,31087.36,7522.29,2.82,18729.61,24-25
Loy MarymountNCAA D1,17-150.531,,1347.27,13833.39,20989.89,12520.2,2.89,10133.57,24-25
Miami OHNCAA D1,25-90.735,,1357.26,17831.27,15691.9,23616.07,2.85,26027.75,24-25
Murray StNCAA D1,16-170.485,,1367.25,13034.1,21689.65,9821.16,2.97,10233.52,24-25
G WashingtonNCAA D1,21-130.618,,1377.24,15432.31,18091.13,17717.88,2.88,15830.59,24-25
S Dakota StNCAA D1,20-120.625,,1387.24,12834.2,11193.39,19017.51,2.89,19229.49,24-25
James MadisonNCAA D1,20-120.625,,1397.24,13733.44,15591.92,16818.23,2.84,18429.69,24-25
TempleNCAA D1,17-150.531,,1407.23,13933.35,9894.31,24615.75,2.91,11032.79,24-25
PrincetonNCAA D1,19-110.633,,1417.23,15132.48,21389.72,13519.46,2.73,17829.85,24-25
DavidsonNCAA D1,17-160.515,,1427.23,13134.08,19390.56,12420.23,2.88,11932.27,24-25
Seton HallNCAA D1,7-250.219,,1437.22,10336.9,23289.06,4324.55,2.99,5740.1,24-25
Boston CollegeNCAA D1,12-190.387,,1447.22,13334.04,14592.46,16718.29,2.81,8936.36,24-25
St Thomas MNNCAA D1,24-100.706,,1457.22,15932.01,13892.63,23516.08,2.84,27127.46,24-25
South AlabamaNCAA D1,21-110.656,,1467.21,14133.3,23789,10721.01,2.81,24128.19,24-25
East CarolinaNCAA D1,19-140.576,,1477.21,15632.26,17791.2,17917.77,2.86,14731.09,24-25
CornellNCAA D1,18-110.621,,1487.2,13433.73,4598.13,36912.31,2.85,21128.94,24-25
CS NorthridgeNCAA D1,22-110.667,,1497.18,18530.82,12393.04,29614.48,2.81,19729.2,24-25
Rhode IslandNCAA D1,18-130.581,,1507.18,16231.85,10593.63,27214.92,2.97,14431.14,24-25
UC Santa BarbaraNCAA D1,21-130.618,,1517.17,15332.33,22189.61,13719.43,2.78,22228.63,24-25
UC RiversideNCAA D1,21-130.618,,1527.17,19030.48,17991.17,23916.02,2.87,14931,24-25
KennesawNCAA D1,19-140.576,,1537.17,18730.72,12493.03,29814.4,2.86,14231.27,24-25
WinthropNCAA D1,23-110.676,,1547.17,16631.73,6396.23,37212.2,2.78,27227.46,24-25
WoffordNCAA D1,19-160.543,,1557.16,14632.9,17891.18,16218.42,2.8,16430.38,24-25
IL ChicagoNCAA D1,18-140.563,,1567.16,18930.64,17591.36,24015.98,2.8,13331.86,24-25
WKUNCAA D1,17-150.531,,1577.15,14432.97,12593.01,21116.67,2.89,13831.49,24-25
UTEPNCAA D1,18-150.545,,1587.15,16531.82,20689.91,15118.61,2.85,15130.92,24-25
UNC GreensboroNCAA D1,20-120.625,,1597.15,14832.64,29787.55,8821.79,2.83,23828.25,24-25
North AlabamaNCAA D1,24-110.686,,1607.14,17331.45,17291.49,21216.66,2.89,28526.86,24-25
WI MilwaukeeNCAA D1,21-110.656,,1617.14,18130.95,15491.94,24715.72,2.83,23028.47,24-25
Cleveland StNCAA D1,23-130.639,,1627.13,16731.69,26588.22,12620.17,2.82,26527.65,24-25
New Mexico StNCAA D1,17-150.531,,1637.13,15232.42,33286.6,6822.53,2.96,14831.05,24-25
NE OmahaNCAA D1,22-130.629,,1647.12,20129.76,16591.72,28114.75,2.91,19429.39,24-25
N Dakota StNCAA D1,21-110.656,,1657.12,17931.08,13692.67,26715.11,2.81,24528.13,24-25
Indiana StNCAA D1,14-180.438,,1667.11,12334.87,4098.41,33713.16,2.96,13231.87,24-25
San Jose StNCAA D1,15-200.429,,1677.1,17031.54,20589.95,16518.31,2.87,9834.22,24-25
BryantNCAA D1,23-120.657,,1687.1,17231.47,9494.55,32313.62,2.89,28226.91,24-25
ETSUNCAA D1,19-130.594,,1697.1,15732.19,29387.64,9621.25,2.84,23228.46,24-25
MarshallNCAA D1,20-130.606,,1707.1,17531.42,16791.68,22016.45,2.91,22628.57,24-25
ToledoNCAA D1,18-150.545,,1717.08,17631.38,6995.99,37512.09,2.86,16230.43,24-25
WyomingNCAA D1,12-200.375,,1727.08,15032.5,26488.23,10820.97,2.9,9435.21,24-25
S IllinoisNCAA D1,15-190.441,,1737.08,14932.62,18291.03,16618.3,2.99,12832.1,24-25
DuquesneNCAA D1,13-190.406,,1747.07,12634.46,23089.12,7922.05,2.81,12332.18,24-25
Cal BaptistNCAA D1,17-150.531,,1757.07,18230.89,31487.27,12320.33,2.91,15330.84,24-25
Miami FLNCAA D1,7-240.226,,1767.07,11335.42,7095.9,23216.22,2.87,7637.75,24-25
RadfordNCAA D1,20-130.606,,1777.07,19330.24,29487.63,14019.31,2.72,21428.75,24-25
South FloridaNCAA D1,13-190.406,,1787.06,14033.33,18690.78,14319.25,2.8,11432.55,24-25
Youngstown StNCAA D1,21-130.618,,1797.06,18830.7,19690.32,20017.08,2.77,26827.57,24-25
PFWNCAA D1,19-130.594,,1807.05,17131.54,10793.6,29014.64,2.85,24028.22,24-25
UNC AshevilleNCAA D1,21-110.656,,1817.04,19929.93,12892.9,32113.73,2.9,29026.7,24-25
SeattleNCAA D1,14-180.438,,1827.02,14233.29,29187.69,7422.31,2.98,15630.72,24-25
Appalachian StNCAA D1,17-140.548,,1837.02,16331.83,38385.25,5823.29,2.73,21628.73,24-25
Nicholls StNCAA D1,20-130.606,,1847,19830,19990.24,21916.46,2.82,26727.59,24-25
OaklandNCAA D1,17-180.486,,1857,18330.88,20489.97,18717.61,2.76,16130.46,24-25
Norfolk StNCAA D1,24-110.686,,1867,22128.64,25988.35,20117,2.87,31425.43,24-25
ValparaisoNCAA D1,15-190.441,,1876.99,20029.89,20090.19,22416.41,2.9,13631.72,24-25
DrexelNCAA D1,18-150.545,,1886.98,16831.61,30987.36,10920.95,2.92,25327.94,24-25
PepperdineNCAA D1,13-220.371,,1896.98,18430.83,13992.59,27114.95,2.9,10333.42,24-25
WashburnNCAA D2,30-40.882,,1906.98,20729.46,15092.16,31014.01,2.89,38316.41,24-25
OhioNCAA D1,16-160.500,,1916.98,15532.3,10993.52,25115.49,2.95,20129.13,24-25
La SalleNCAA D1,14-190.424,,1926.97,20229.75,22789.32,19917.13,2.88,11332.57,24-25
Sam Houston StNCAA D1,13-190.406,,1936.96,17431.43,15791.9,23116.23,2.9,13131.9,24-25
VermontNCAA D1,21-120.636,,1946.95,19730.05,46783.37,5623.39,2.87,31525.42,24-25
E KentuckyNCAA D1,18-140.563,,1956.93,20829.43,14092.55,32613.58,2.95,24928.07,24-25
FGCUNCAA D1,19-150.559,,1966.93,21529.13,30887.4,16018.44,2.85,23528.4,24-25
Texas StNCAA D1,16-160.500,,1976.93,19230.35,19090.64,22316.42,2.79,19829.18,24-25
Portland StNCAA D1,19-130.594,,1986.92,21828.91,26688.15,19217.47,2.83,27927.03,24-25
TAM C. ChristiNCAA D1,20-140.588,,1996.92,18630.75,24188.85,15318.6,2.83,30925.84,24-25
Central ConnNCAA D1,25-70.781,,2006.92,25327.06,43184.09,13119.68,2.75,36221.91,24-25
NortheasternNCAA D1,17-150.531,,2016.92,21728.91,29987.51,17218.11,2.92,19529.29,24-25
Mt St Mary'sNCAA D1,23-130.639,,2026.91,26926.33,34386.28,20916.76,2.78,29626.6,24-25
HawaiiNCAA D1,15-160.484,,2036.91,20329.67,30787.42,14918.96,2.91,19329.47,24-25
N KentuckyNCAA D1,17-160.515,,2046.9,20429.63,25488.43,17617.91,2.85,22328.6,24-25
LamarNCAA D1,20-140.588,,2056.9,22428.36,37885.32,12919.75,2.81,28926.73,24-25
MassachusettsNCAA D1,12-200.375,,2066.9,17731.31,14392.51,25015.51,2.95,13031.94,24-25
Montana StNCAA D1,15-180.455,,2076.9,19630.1,25788.37,16118.44,2.81,17230,24-25
Cal PolyNCAA D1,16-190.457,,2086.89,23827.66,8994.69,4539.67,2.83,14031.45,24-25
HofstraNCAA D1,15-180.455,,2096.89,16431.83,35585.91,6522.63,2.74,21728.72,24-25
JacksonvilleNCAA D1,19-140.576,,2106.89,23427.74,35186.12,16418.33,2.89,25128.04,24-25
Abilene ChrNCAA D1,16-160.500,,2116.89,21329.15,28387.83,17418.02,2.93,20029.14,24-25
Queens NCNCAA D1,20-150.571,,2126.89,23627.72,16391.79,36012.63,2.74,26427.65,24-25
BrownNCAA D1,14-130.519,,2136.87,21429.13,27188.04,17817.8,2.78,22928.48,24-25
RiceNCAA D1,13-190.406,,2146.87,19530.15,24788.63,16918.23,2.89,15030.98,24-25
QuinnipiacNCAA D1,20-130.606,,2156.87,22328.52,19190.64,29114.59,2.84,30526.13,24-25
UT San AntonioNCAA D1,12-190.387,,2166.87,20629.56,11793.22,34613.05,3,12632.13,24-25
UC DavisNCAA D1,15-170.469,,2176.87,22028.72,35685.89,13419.53,2.84,17329.99,24-25
MerrimackNCAA D1,18-150.545,,2186.86,22628.29,49282.69,7222.31,2.7,24628.12,24-25
LongwoodNCAA D1,18-140.563,,2196.86,21629.04,19790.31,25215.43,2.82,29426.6,24-25
FordhamNCAA D1,12-210.364,,2206.86,20529.61,15192.12,30414.19,2.77,12132.27,24-25
SIUENCAA D1,22-120.647,,2216.86,24927.2,37085.57,16318.34,2.8,33524.66,24-25
CharlotteNCAA D1,11-220.333,,2226.85,19130.46,28887.73,13619.43,2.98,12732.12,24-25
DelawareNCAA D1,16-200.444,,2236.85,21229.18,12093.07,35312.82,2.77,20928.96,24-25
TulsaNCAA D1,13-200.394,,2246.84,21129.3,23389.06,20416.95,3.12,15430.79,24-25
South DakotaNCAA D1,19-140.576,,2256.84,25726.86,6496.15,5197.42,3.08,27427.32,24-25
RichmondNCAA D1,10-220.313,,2266.83,16931.55,31187.32,11220.94,2.93,12532.13,24-25
SE Missouri StNCAA D1,21-120.636,,2276.83,25427.06,30487.44,22716.33,2.83,32924.84,24-25
Wright StNCAA D1,15-180.455,,2286.82,19430.24,10094.2,35612.75,2.83,23328.44,24-25
UT ArlingtonNCAA D1,13-180.419,,2296.82,20929.42,16991.64,29414.49,2.85,17429.97,24-25
Missouri StNCAA D1,9-230.281,,2306.82,16131.98,28187.86,11720.82,2.93,11132.69,24-25
MaineNCAA D1,20-140.588,,2316.82,26126.62,43284.03,14119.3,2.85,30626.04,24-25
SE LouisianaNCAA D1,18-140.563,,2326.82,23127.86,26888.13,22116.44,2.78,28126.94,24-25
Ga SouthernNCAA D1,17-160.515,,2336.82,25027.16,19590.47,32913.4,2.89,21828.7,24-25
William & MaryNCAA D1,17-150.531,,2346.81,27226.21,19890.31,36112.61,2.95,22028.65,24-25
Idaho StNCAA D1,15-150.500,,2356.81,22228.56,27487.98,19617.29,2.84,25228,24-25
MaristNCAA D1,20-100.667,,2366.81,28425.32,55181.12,11420.9,2.76,32724.91,24-25
EvansvilleNCAA D1,11-210.344,,2376.81,23327.78,37485.44,14619.05,3.07,10433.26,24-25
ElonNCAA D1,17-160.515,,2386.79,24427.41,26288.31,24515.81,2.87,24228.18,24-25
American UnivNCAA D1,22-130.629,,2396.79,28325.46,43684,17018.16,2.88,32025.28,24-25
Monmouth NJNCAA D1,13-200.394,,2406.79,24027.62,23189.07,25615.25,2.97,14131.39,24-25
Southern UnivNCAA D1,20-120.625,,2416.78,25227.09,33586.46,19517.33,3.03,33424.67,24-25
DartmouthNCAA D1,14-140.500,,2426.77,23927.64,28087.88,21816.47,2.95,25927.81,24-25
Dallas BapNCAA D2,34-50.872,,2436.77,27626.05,11493.34,4649.42,2.8,40914.82,24-25
IonaNCAA D1,17-170.500,,2446.76,22528.36,30587.43,18517.63,2.82,28326.89,24-25
HarvardNCAA D1,12-150.444,,2456.76,24327.47,35286.11,17318.06,2.83,18929.54,24-25
Ark Little RockNCAA D1,19-140.576,,2466.76,24727.26,33986.34,18617.63,2.93,31925.29,24-25
CS BakersfieldNCAA D1,14-190.424,,2476.75,23027.91,27288.02,21616.6,2.97,19629.23,24-25
Northern ArizonaNCAA D1,18-160.529,,2486.75,24827.21,25188.52,25415.4,2.83,30426.16,24-25
Northwestern LANCAA D1,17-160.515,,2496.75,28125.73,40884.74,18117.7,2.85,26627.64,24-25
CampbellNCAA D1,15-170.469,,2506.74,23227.82,37185.52,14819.01,2.77,24728.11,24-25
Georgia StNCAA D1,14-190.424,,2516.74,24127.58,17391.37,35112.92,2.96,18829.54,24-25
HamptonNCAA D1,17-160.515,,2526.73,28925.05,35485.92,24415.84,2.9,26227.68,24-25
Tarleton StNCAA D1,12-200.375,,2536.73,25627.02,48982.79,11320.93,2.92,14631.11,24-25
MercerNCAA D1,14-190.424,,2546.73,23727.71,22989.29,26515.13,2.87,22428.6,24-25
Old DominionNCAA D1,15-200.429,,2556.73,26026.68,35785.82,18817.57,3.01,22528.6,24-25
C MichiganNCAA D1,14-170.452,,2566.73,23527.73,26988.12,22816.32,2.89,24828.1,24-25
E MichiganNCAA D1,16-160.500,,2576.72,29624.65,30187.47,31513.89,2.91,21928.67,24-25
BucknellNCAA D1,18-150.545,,2586.71,26526.47,24388.81,30014.36,2.82,29826.53,24-25
S Carolina StNCAA D1,20-130.606,,2596.71,26226.56,24588.69,29214.57,2.86,34823.71,24-25
PortlandNCAA D1,12-200.375,,2606.7,27126.25,18390.93,37612.03,2.83,13731.66,24-25
Fresno StNCAA D1,6-260.188,,2616.69,21029.31,18890.72,25515.3,3,9036.08,24-25
MA LowellNCAA D1,17-150.531,,2626.69,22728.23,16091.85,34313.09,2.86,33724.59,24-25
North FloridaNCAA D1,15-170.469,,2636.68,25926.71,7495.69,5077.72,2.99,25427.93,24-25
IdahoNCAA D1,14-190.424,,2646.65,29424.73,29587.6,31613.84,2.81,20728.98,24-25
Ball StNCAA D1,14-170.452,,2656.65,24627.3,23988.95,26815.06,2.91,29726.59,24-25
Austin PeayNCAA D1,14-190.424,,2666.64,27925.74,29887.54,27414.91,3.01,23428.4,24-25
ColgateNCAA D1,14-190.424,,2676.64,21928.75,24288.85,21416.61,2.89,29226.67,24-25
Missouri KCNCAA D1,13-200.394,,2686.64,22828.19,41784.44,12220.46,2.93,27727.18,24-25
Incarnate WordNCAA D1,19-170.528,,2696.64,28625.26,29687.56,29714.41,2.82,33324.69,24-25
Gardner WebbNCAA D1,11-200.355,,2706.64,24527.37,22589.42,28914.66,2.8,18329.71,24-25
PresbyterianNCAA D1,14-190.424,,2716.64,27326.2,33386.55,22616.36,2.84,25727.85,24-25
Alabama StNCAA D1,20-160.556,,2726.63,31223.66,39085.17,26015.2,2.71,32225.14,24-25
SF AustinNCAA D1,14-170.452,,2736.63,25127.13,36085.72,17118.12,2.91,30126.42,24-25
LouisianaNCAA D1,13-210.382,,2746.63,26726.35,34786.19,20516.87,2.89,20628.99,24-25
Bowling GreenNCAA D1,14-180.438,,2756.62,26326.5,25888.36,27714.84,2.87,28027,24-25
Southern UtahNCAA D1,12-190.387,,2766.61,26826.34,26188.33,28314.72,2.88,21328.84,24-25
Florida IntlNCAA D1,10-230.303,,2776.61,25527.02,32386.87,20616.86,2.94,16730.18,24-25
Bethune-CookmanNCAA D1,17-160.515,,2786.61,32523.04,39585.06,28614.69,2.91,27027.47,24-25
ManhattanNCAA D1,17-140.548,,2796.61,30524.3,21789.64,40411.36,2.76,31225.65,24-25
North DakotaNCAA D1,12-210.364,,2806.61,26626.44,18790.76,36712.39,2.86,20828.97,24-25
AL HuntsvilleNCAA D2,32-20.941,,2816.61,36720.56,21289.8,5177.47,2.79,52111.34,24-25
Jackson StNCAA D1,16-180.471,,2826.61,28725.2,31687.24,28714.67,2.81,27627.24,24-25
Weber StNCAA D1,12-220.353,,2836.61,24227.57,31287.31,20316.96,2.91,23628.31,24-25
Tennessee StNCAA D1,17-160.515,,2846.59,27426.17,20889.91,35012.97,2.91,34324.22,24-25
Moorhead StNCAA D2,25-90.735,,2856.58,30324.35,32786.77,30214.29,2.77,36817.8,24-25
Colorado MinesNCAA D2,29-50.853,,2866.58,31823.34,32986.66,33013.38,2.84,43713.58,24-25
E WashingtonNCAA D1,10-220.313,,2876.58,22927.98,21489.69,26915,2.86,18529.66,24-25
UTRGVNCAA D1,16-150.516,,2886.58,29524.73,21189.84,39211.6,2.97,32624.98,24-25
SUNY AlbanyNCAA D1,17-160.515,,2896.58,30424.32,24688.64,36812.38,2.77,32325.11,24-25
RiderNCAA D1,14-190.424,,2906.56,29924.57,38285.25,23816.02,2.84,26127.7,24-25
St Peter'sNCAA D1,12-160.429,,2916.55,27725.89,53281.58,10621.03,2.78,30226.27,24-25
W MichiganNCAA D1,12-200.375,,2926.54,29324.87,32087.09,29514.48,2.82,21028.95,24-25
Southern MissNCAA D1,11-220.333,,2936.54,27825.86,28987.71,27614.86,3.02,20429.1,24-25
Sacred HeartNCAA D1,15-180.455,,2946.54,28825.13,20190.1,39011.73,2.8,31025.79,24-25
Morehead StNCAA D1,15-170.469,,2956.53,27526.11,46483.44,13819.38,2.83,33824.54,24-25
SienaNCAA D1,14-180.438,,2966.52,29824.6,34986.17,26415.13,2.9,29126.69,24-25
PennNCAA D1,8-190.296,,2976.52,26426.47,23689.02,30714.15,2.94,16530.36,24-25
VMINCAA D1,15-190.441,,2986.51,33022.38,34186.33,35512.75,2.9,28726.79,24-25
West LibertyNCAA D2,30-50.857,,2996.51,30224.36,15100.92,7910.15,2.89,50811.7,24-25
NavyNCAA D1,15-190.441,,3006.51,28525.28,36185.71,23016.27,2.72,32824.87,24-25
Boston UnivNCAA D1,16-160.500,,3016.5,31623.57,49782.57,18017.71,2.77,33124.73,24-25
ColumbiaNCAA D1,12-150.444,,3026.49,30824.13,17491.37,4619.47,2.86,30326.25,24-25
PacificNCAA D1,9-240.273,,3036.48,29224.89,33186.61,27014.99,2.92,13531.73,24-25
ArmyNCAA D1,17-160.515,,3046.48,34421.87,36985.58,34913,2.81,33924.45,24-25
Lake SuperiorNCAA D2,30-70.811,,3056.47,36021.3,34586.22,38011.79,2.86,42214.21,24-25
Lubbock ChrNCAA D2,25-90.735,,3066.47,30724.14,42184.41,22216.43,2.94,38915.88,24-25
CS Dom. HillsNCAA D2,31-60.838,,3076.46,38019.54,41584.46,38311.78,2.72,42913.96,24-25
TX SouthernNCAA D1,15-170.469,,3086.46,30124.42,34086.34,28014.79,2.77,34024.41,24-25
DaemenNCAA D2,28-10.966,,3096.45,37420.12,46883.34,32813.48,2.85,6295.94,24-25
DenverNCAA D1,11-210.344,,3106.45,30624.21,25688.42,36412.5,2.93,25028.06,24-25
Long Beach StNCAA D1,7-250.219,,3116.43,25826.72,30287.46,24115.97,2.82,16630.3,24-25
TN MartinNCAA D1,14-190.424,,3126.43,29124.9,23489.06,36312.55,2.89,34124.35,24-25
MN DuluthNCAA D2,21-90.700,,3136.42,29024.98,32286.87,27814.82,2.79,39115.72,24-25
Air ForceNCAA D1,4-280.125,,3146.42,27026.32,43883.95,14519.08,2.94,9235.59,24-25
Tennessee TechNCAA D1,15-170.469,,3156.42,32622.77,34486.24,33413.23,2.95,33224.7,24-25
St Francis PANCAA D1,16-180.471,,3166.41,33822.18,40084.94,31313.95,2.93,34623.89,24-25
Midwest TX StNCAA D2,23-80.742,,3176.4,35421.56,44283.88,29914.38,2.92,39215.69,24-25
Point LomaNCAA D2,29-60.829,,3186.4,36421.09,47183.3,29314.5,2.78,46112.8,24-25
BinghamtonNCAA D1,15-170.469,,3196.39,34222.05,44383.87,27514.88,2.87,34424.21,24-25
FairfieldNCAA D1,12-200.375,,3206.39,32323.13,41084.66,26215.17,2.77,30026.44,24-25
LIU BrooklynNCAA D1,17-160.515,,3216.39,33122.35,50682.27,20716.78,2.95,35722.82,24-25
Houston ChrNCAA D1,12-200.375,,3226.38,33522.19,45083.71,26115.18,2.83,27527.29,24-25
Charleston SoNCAA D1,10-220.313,,3236.37,33222.32,37585.43,32513.59,2.87,19929.17,24-25
San DiegoNCAA D1,6-270.182,,3246.37,28225.53,22389.5,35712.74,2.91,13431.8,24-25
Coastal CarNCAA D1,10-220.313,,3256.37,31123.76,42284.41,23716.06,3,26327.68,24-25
Utah TechNCAA D1,7-260.212,,3266.37,30024.55,30687.43,31713.82,2.94,15930.57,24-25
LindenwoodNCAA D1,16-170.485,,3276.37,37220.15,43584.01,35212.85,2.86,34224.26,24-25
SW MinnesotaNCAA D2,21-90.700,,3286.36,34821.76,49482.62,24315.85,2.74,37816.65,24-25
Winona StNCAA D2,22-110.667,,3296.36,36620.8,42984.18,33213.33,2.81,36718.08,24-25
LafayetteNCAA D1,13-200.394,,3306.35,31423.64,48183.15,19717.19,2.72,33624.64,24-25
W CarolinaNCAA D1,8-220.267,,3316.35,29724.62,29287.67,32213.66,2.92,21528.74,24-25
Florida A&MNCAA D1,14-170.452,,3326.35,36121.3,37985.3,35912.7,2.92,32425,24-25
Delaware StNCAA D1,16-140.533,,3336.34,35521.43,32586.86,40511.28,2.83,36121.93,24-25
Concordia SPNCAA D2,22-100.688,,3346.34,38819.09,11093.42,7222.37,2.81,36518.99,24-25
MN MankatoNCAA D2,20-120.625,,3356.34,32023.27,25088.53,40011.44,2.88,37017.54,24-25
E IllinoisNCAA D1,12-190.387,,3366.34,32822.49,52581.76,19317.44,2.85,31625.42,24-25
Michigan TechNCAA D2,25-80.758,,3376.34,37919.61,42384.35,37711.97,2.91,40015.19,24-25
UMBCNCAA D1,13-190.406,,3386.33,31523.62,14192.55,5057.78,2.78,34524.07,24-25
Lincoln MemNCAA D2,25-60.806,,3396.33,32722.68,28487.82,39311.57,2.96,51711.45,24-25
Oral RobertsNCAA D1,7-230.233,,3406.33,28025.74,22689.34,34213.1,2.9,23128.46,24-25
Stony BrookNCAA D1,8-240.250,,3416.33,30924.06,36685.64,26615.13,2.93,21228.92,24-25
NC CentralNCAA D1,14-190.424,,3426.33,32223.22,25288.5,40211.42,2.99,35523.08,24-25
Minot StNCAA D2,26-100.722,,3436.32,36520.8,27388.01,4599.5,2.85,39515.52,24-25
LehighNCAA D1,11-190.367,,3446.32,31323.65,36385.69,28814.66,2.74,32125.2,24-25
NiagaraNCAA D1,11-200.355,,3456.32,31923.3,40784.76,25715.25,2.88,31325.48,24-25
DetroitNCAA D1,8-240.250,,3466.31,32922.41,38985.18,31413.94,3.03,17629.88,24-25
GannonNCAA D2,27-70.794,,3476.3,35821.31,10193.91,6534.11,2.9,49611.93,24-25
Holy CrossNCAA D1,13-190.406,,3486.29,37020.37,43783.97,34113.11,2.73,31825.31,24-25
Loyola MDNCAA D1,12-190.387,,3496.29,34721.76,44983.75,28414.71,2.81,33024.82,24-25
BuffaloNCAA D1,9-220.290,,3506.29,34321.94,31887.18,39911.46,2.82,23728.31,24-25
W Texas A&MNCAA D2,19-120.613,,3516.29,31023.85,26788.14,36512.42,2.9,38016.5,24-25
