Team,Rec,Tms,Rat,Pwr,Off,Def,HFA,SoS,Year
Missouri Val,90-510.638,12,107.29,1034.04,1091.26,819.48,2.93,932.42,24-25
Conference USA,88-460.657,10,117.19,1132.55,1590.43,1018.83,2.87,1231.04,24-25
NCAA D1,528-70.987,364,127.13,1232.24,1390.78,1318.17,2.88,1131.49,24-25
Big West,82-540.603,11,137.03,1330.41,1989.71,1417.4,2.84,1430.09,24-25
MAC East,89-570.610,6,147.02,1530.34,1191.11,2215.94,2.85,2028.52,24-25
Western Athletic,62-690.473,9,156.96,1430.37,2488.81,1218.27,2.9,1330.09,24-25
Ivy League,60-470.561,8,166.93,1629.96,1490.57,2016.1,2.85,1628.96,24-25
Southern,77-570.575,10,176.93,1729.78,1890.02,1716.47,2.85,1828.7,24-25
Sun Belt,90-940.489,14,186.88,1829.29,2388.86,1517.13,2.89,1528.98,24-25
Coastal,94-900.511,14,196.87,1928.82,2688.46,1617.07,2.86,1728.88,24-25
Summit Lg,69-650.515,9,206.84,2028.72,1291.06,3014.37,2.91,2428.27,24-25
Big South,72-620.537,9,216.83,2428.2,1690.26,2714.65,2.83,2527.99,24-25
Mid-American,81-790.506,12,226.83,2228.35,1790.04,2615.02,2.86,2128.41,24-25
Horizon,61-650.484,11,236.82,2328.35,2089.61,2415.44,2.85,1928.55,24-25
Big Sky,61-710.462,10,246.81,2128.35,2588.72,1816.34,2.84,2228.37,24-25
Southland,66-730.475,12,256.69,2526.63,2787.26,2116.08,2.85,2727.26,24-25
Atlantic Sun,65-970.401,12,266.64,2726.18,2189.05,3213.84,2.89,2627.66,24-25
MAC West,56-860.394,6,276.63,2626.36,2288.96,3114.1,2.87,2328.3,24-25
Metro Atlantic,57-820.410,13,286.58,2825.17,3285.75,1916.13,2.81,2826.56,24-25
America East,61-750.449,9,296.54,2925,2887.1,2814.61,2.85,2925.46,24-25
OH Valley,56-650.463,11,306.51,3024.35,3385.69,2515.37,2.87,3224.64,24-25
Patriot League,52-760.406,10,316.49,3124.08,3485.21,2315.58,2.79,3025.25,24-25
Mid-Eastern AC,49-810.377,8,326.28,3221.75,3086.41,3412.05,2.89,3323.7,24-25
Northeast,49-820.374,9,336.26,3321.05,4183.22,2914.54,2.89,3423.37,24-25
Southwestern AC,33-1240.210,12,346.18,3420.49,3684.18,3313.02,2.88,3124.7,24-25
Northern Sun,73-450.619,16,355.92,3617.19,3783.96,369.94,2.85,3516.42,24-25
Mid America IAA,84-530.613,14,365.92,3517.36,4283.06,3511.01,2.9,3615.46,24-25
Peach Belt East,71-350.670,5,375.79,3915.13,3186.2,555.64,2.88,4312.07,24-25
Great Lakes Val,75-440.630,15,385.79,3715.22,4383.03,408.9,2.87,3914.37,24-25
Lone Star,82-560.594,17,395.76,3815.13,4482.75,389.09,2.88,3814.46,24-25
Sunshine State,74-270.733,11,405.71,4014.22,2986.85,614.08,2.86,4411.97,24-25
Great Lakes IAC,58-420.580,11,415.69,4114.16,4682.19,428.67,2.87,4013.63,24-25
Rocky Mtn AC,65-560.537,15,425.64,4213.45,4582.62,457.53,2.88,4113.28,24-25
California CAA,64-460.582,13,435.61,4513.01,5980.47,379.25,2.83,4212.56,24-25
Peach Belt,69-380.645,10,445.61,4313.26,3983.49,526.48,2.84,4811.52,24-25
Great Midwest,58-350.624,12,455.59,4413.04,5481.03,418.72,2.86,4911.41,24-25
Pacific West,72-490.595,14,465.59,4612.92,5581.02,438.6,2.84,4511.89,24-25
Great Northwest,65-500.565,10,475.55,4712.22,4981.5,477.43,2.82,4711.59,24-25
Great American,40-320.556,12,485.52,4912.1,5880.48,448.33,2.9,4611.65,24-25
PSAC West,69-440.611,6,495.51,4812.17,4083.33,565.55,2.91,559.51,24-25
South Atlantic,39-230.629,13,505.48,5311.34,3584.96,653.09,2.88,5011.36,24-25
Northeast-10,50-400.556,11,515.47,5011.86,4881.58,496.98,2.88,5111.1,24-25
NCAA D2,439-1360.763,300,525.47,5111.46,4781.7,536.46,2.87,5211.02,24-25
Peach Belt West,51-560.477,5,535.43,5211.39,5780.79,487.31,2.81,5310.96,24-25
Gulf South,50-300.625,12,545.39,5410.1,5081.47,575.34,2.88,549.61,24-25
CIAA North,62-460.574,5,555.38,559.5,6677.17,399.04,2.84,578.75,24-25
Mountain East,40-350.533,12,565.28,569.12,3883.81,722.01,2.89,568.89,24-25
Penn St AC,69-500.580,17,575.27,579.06,5281.35,604.41,2.93,588.41,24-25
Central IAA,73-530.579,12,585.27,588.68,6378.44,516.94,2.85,598,24-25
University AA,79-240.767,8,595.24,598.43,6080.32,584.82,2.83,654.11,24-25
Central Atlantic,63-750.457,12,605.13,607.05,6180.27,633.49,2.82,607.89,24-25
Wisconsin IAC,66-290.695,8,615.09,636.4,6777,546.11,2.82,664.01,24-25
NESCAC,120-340.779,11,625.07,655.92,7575.17,467.45,2.84,711.5,24-25
PSAC East,52-640.448,8,635.07,626.54,5680.97,712.27,2.96,617.39,24-25
CIAA South,45-580.437,5,645.05,616.98,6976.71,506.97,2.88,626.93,24-25
Conf Carolinas,44-740.373,15,655.01,646.18,5181.41,731.47,2.89,636.62,24-25
East Coast,40-600.400,9,664.9,664.01,6279.69,761.03,2.88,645.82,24-25
Ill & Wisc,52-350.598,9,674.87,673.75,6577.26,643.19,2.8,682.99,24-25
Southern IAC,51-740.408,16,684.78,692.56,7475.19,624.08,2.86,673.46,24-25
Ohio AC,40-360.526,10,694.75,682.71,6876.92,682.49,2.86,702.05,24-25
Old Dominion AC,82-510.617,13,704.72,702.51,8074.77,594.45,2.87,730.54,24-25
American SW West,51-630.447,5,714.58,720.17,5381.06,103-4.18,2.87,692.73,24-25
American Rivers,47-440.516,9,724.57,710.7,7974.86,672.55,2.83,740.03,24-25
New Jersey A.C.,49-290.628,10,734.55,74-0.30,7176.2,800.2,2.86,78-0.96,24-25
North Coast AC,48-360.571,9,744.54,75-0.47,8873.39,662.85,2.85,77-0.86,24-25
American SW,76-890.461,9,754.53,73-0.30,6478.43,92-2.02,2.87,721.18,24-25
American SW East,47-480.495,4,764.47,76-0.88,7675.14,790.69,2.86,76-0.76,24-25
Northwest,41-460.471,9,774.45,77-1.24,7275.77,83-0.30,2.86,80-1.49,24-25
Coast-to-Coast,58-570.504,5,784.41,78-1.52,8174.49,780.7,2.87,81-1.61,24-25
Southern Cal IAC,55-380.591,9,794.41,79-1.52,7375.69,86-0.50,2.86,83-1.82,24-25
Minnesota IAC,49-490.500,11,804.4,81-1.99,8773.79,770.92,2.83,84-1.87,24-25
Michigan IAA,36-570.387,8,814.37,80-1.90,9472.46,692.35,2.84,75-0.75,24-25
MAC Commonwealth,44-460.489,8,824.36,82-2.02,7775.07,84-0.38,2.86,87-2.50,24-25
NE W&M,46-430.517,9,834.36,84-2.71,9272.55,741.44,2.87,86-2.50,24-25
Northern Athletic,43-620.410,13,844.36,83-2.59,7875.05,89-0.93,2.87,79-1.32,24-25
Southern CAC,53-740.417,12,854.31,85-3.06,8574.14,85-0.49,2.87,82-1.64,24-25
Heartland CAC,34-420.447,10,864.3,86-3.64,8673.85,87-0.79,2.88,85-1.99,24-25
Centennial,69-570.548,10,874.28,87-3.72,10370.71,702.28,2.85,88-3.93,24-25
Mid Atlantic,82-770.516,16,884.24,88-3.90,9072.97,82-0.16,2.85,89-4.23,24-25
Liberty League,47-240.662,10,894.23,90-4.54,10270.75,751.42,2.83,96-5.33,24-25
Little East,45-380.542,9,904.22,89-4.14,8274.47,91-1.91,2.91,91-4.54,24-25
CC South,53-470.530,7,914.19,91-4.64,7076.23,102-4.16,2.88,95-5.26,24-25
Midwest,41-410.500,9,924.18,92-5.01,8474.21,95-2.51,2.87,90-4.38,24-25
NCAA D3,184-3350.355,413,934.14,94-5.24,9172.83,90-1.37,2.86,92-4.75,24-25
