Team,Rec,Tms,Rat,Pwr,Off,Def,HFA,SoS,Year
Coastal,32-350.478,10,225.96,2226.75,2586.13,1916.27,2.82,2026.59,20-21
MAC West,29-590.330,6,235.86,2326.36,1987.58,2914.44,2.84,1528.99,20-21
Horizon,17-270.386,12,245.83,2425.72,1687.91,3213.47,2.8,2126.45,20-21
Metro Atlantic,11-170.393,11,255.75,2625.02,3683.53,1517.14,2.83,2325.34,20-21
Patriot League,7-40.636,10,265.75,2924.77,2386.55,3113.87,2.78,2525.1,20-21
America East,12-200.375,10,275.74,2525.07,3583.7,1617.02,2.77,2225.82,20-21
OH Valley,36-360.500,12,285.73,2824.85,2785.85,2714.65,2.81,2724.68,20-21
Western Athletic,41-380.519,9,295.72,2725,2885.6,2515.05,2.86,3024.15,20-21
Atlantic Sun,43-390.524,9,305.67,3024.47,3284.54,2315.59,2.85,3622.36,20-21
OVC-West,34-630.351,6,315.44,3122.68,3384.34,3013.99,2.79,2824.5,20-21
Southland,40-700.364,13,325.44,3222.62,2685.85,3512.42,2.87,3422.99,20-21
Big South,18-410.305,11,335.42,3322.61,3783.46,2614.8,2.79,3123.3,20-21
Northeast,7-200.259,10,345.37,3421.92,3184.99,3412.58,2.79,3223.22,20-21
Mid America IAA,5-50.500,14,355,3519.1,3085.07,409.69,2.9,3719.82,20-21
Southwestern AC,10-450.182,10,364.97,3618.53,5181.36,3312.83,2.85,3323.09,20-21
Mid-Eastern AC,23-510.311,9,374.86,3717.72,3883.12,3610.25,2.81,3522.58,20-21
Sunshine State,0-00.000,7,384.6,3816,2985.51,496.14,2.82,3817.18,20-21
Great Lakes Val,2-110.154,15,394.58,3915.74,4482.34,419.05,2.8,3916.33,20-21
Northern Sun,0-10.000,16,404.47,4014.91,3982.73,437.84,2.8,4015.33,20-21
Great Lakes IAC,2-80.200,12,414.45,4114.71,5580.42,399.94,2.79,4115.32,20-21
Great American,4-30.571,12,424.39,4214.35,5481.09,428.91,2.8,4414.46,20-21
Penn St AC,20-60.769,4,434.32,4413.49,6279.16,379.98,2.93,618.78,20-21
PSAC West,20-60.769,4,434.32,4413.49,6279.16,379.98,2.93,618.78,20-21
Peach Belt East,24-200.545,6,454.31,4314,4282.38,457.28,2.85,4813.17,20-21
Lone Star,10-110.476,16,464.26,4613.24,4881.78,477.11,2.83,4514.19,20-21
Rocky Mtn AC,2-110.154,14,474.19,4712.77,5381.09,447.33,2.83,4613.68,20-21
Great Northwest,12-60.667,5,484.14,4912.05,4382.35,545.35,2.77,5510.89,20-21
South Atlantic,6-110.353,13,494.11,4812.24,4082.53,535.35,2.85,4713.53,20-21
NCAA D2,38-850.309,224,504.09,5011.94,5281.35,486.24,2.83,5012.8,20-21
Peach Belt,10-130.435,12,514.05,5111.82,5081.52,505.95,2.86,4912.89,20-21
Great Midwest,3-70.300,11,523.95,5210.8,6179.25,467.2,2.86,5311.32,20-21
CIAA North,3-20.600,1,533.88,598.19,4682.1,651.74,2.85,4214.9,20-21
Central IAA,3-20.600,1,533.88,598.19,4682.1,651.74,2.85,4214.9,20-21
Pacific West,4-130.235,10,553.84,5410.14,5780.29,525.5,2.82,5411.24,20-21
Northeast-10,1-50.167,3,563.79,5310.23,4182.51,603.37,2.83,569.93,20-21
Peach Belt West,16-220.421,5,573.71,568.95,6079.4,555.2,2.86,5212.6,20-21
Mountain East,2-20.500,12,583.71,558.96,3484.17,750.44,2.81,579.81,20-21
Gulf South,1-40.200,13,593.64,588.43,6478.31,515.78,2.8,599.19,20-21
Conf Carolinas,6-80.429,10,603.6,617.93,4981.68,631.91,2.85,609.12,20-21
California CAA,4-50.444,1,613.55,578.76,4582.13,622.29,2.83,656.92,20-21
Central Atlantic,0-20.000,7,623.34,626.11,6976.62,565.14,2.84,666.6,20-21
NCAA II Ind,7-110.389,2,633.23,654.39,5879.77,770.27,2.84,589.75,20-21
Wisconsin IAC,0-00.000,8,643.22,635.09,7276.18,574.56,2.86,685.22,20-21
Ill & Wisc,0-00.000,9,653.16,644.49,7675.61,584.54,2.8,703.82,20-21
Ohio AC,0-00.000,10,663.05,673.74,6578.07,701.32,2.83,693.85,20-21
East Coast,9-100.474,6,673.05,683.38,5979.69,81-0.66,2.86,676.32,20-21
Southern IAC,6-110.353,8,683.03,663.85,7376,593.5,2.84,647.71,20-21
American Rivers,10-30.769,9,692.95,692.74,6778.01,760.37,2.8,712.19,20-21
American SW East,35-180.660,5,702.84,702.04,7176.45,711.24,2.88,79-0.42,20-21
University AA,5-20.714,2,712.76,712,7076.51,731.14,2.81,87-3.93,20-21
North Coast AC,4-20.667,7,722.71,721.07,7875.24,691.48,2.85,731.34,20-21
NE W&M,9-20.818,2,732.64,730.99,6877.59,86-0.95,2.83,112-14.57,20-21
Minnesota IAC,1-01.000,10,742.63,740.27,8473.33,612.59,2.81,750.59,20-21
Michigan IAA,3-130.188,8,752.6,750.14,7975.24,740.55,2.81,721.84,20-21
Old Dominion AC,7-50.583,13,762.56,76-0.04,8173.99,681.62,2.83,78-0.30,20-21
United East,13-60.684,1,772.53,78-1.49,8972.48,671.69,2.99,86-3.88,20-21
Northwest,6-110.353,8,782.41,77-1.29,6678.06,98-3.70,2.85,740.72,20-21
American SW,6-270.182,12,792.26,80-2.60,7575.8,93-2.75,2.83,770.25,20-21
New Jersey A.C.,0-00.000,8,802.22,81-2.86,9971.03,641.76,2.81,83-3.12,20-21
Heartland CAC,4-90.308,10,812.2,82-3.14,9571.32,721.19,2.85,80-0.54,20-21
MAC Commonwealth,18-60.750,8,822.11,86-3.95,8273.85,90-2.14,2.81,96-5.79,20-21
Midwest,6-110.353,5,832.09,83-3.22,8573.22,83-0.79,2.82,89-4.72,20-21
American SW West,21-330.389,5,842.06,85-3.93,7475.81,100-4.09,2.83,760.3,20-21
NESCAC,5-40.556,2,852.06,84-3.53,9071.93,780.19,2.82,106-10.73,20-21
Northern Athletic,17-90.654,11,862.01,89-4.88,8373.82,95-3.05,2.84,88-4.69,20-21
Coast-to-Coast,3-100.231,3,872,87-4.53,9371.59,80-0.46,2.84,5112.63,20-21
NCAA D3,39-1020.277,275,881.99,88-4.68,8772.97,89-1.99,2.82,84-3.38,20-21
Skyline,9-10.900,4,891.96,95-6.49,10269.89,82-0.72,2.85,85-3.82,20-21
USA South,9-220.290,13,901.96,91-5.14,8673.02,91-2.51,2.82,81-2.43,20-21
SAA,3-10.750,8,911.92,90-5.09,9471.39,84-0.82,2.79,90-4.76,20-21
Southern CAC,0-00.000,9,921.84,92-5.73,9671.21,87-1.29,2.82,92-5.10,20-21
Landmark,2-30.400,5,931.82,93-6.11,10469.54,790.01,2.77,95-5.66,20-21
Southern Cal IAC,0-20.000,1,941.8,79-1.49,5680.39,104-6.22,2.81,97-7.09,20-21
Mid Atlantic,0-20.000,14,951.79,94-6.11,9771.19,88-1.65,2.8,94-5.53,20-21
Little East,5-50.500,7,961.69,96-7.18,9171.91,96-3.44,2.84,82-2.92,20-21
Atlantic East,4-10.800,6,971.57,99-8.39,9871.06,99-3.80,2.84,103-9.48,20-21
C of New England,1-50.167,7,981.56,97-7.52,8074.14,103-6.01,2.81,99-7.75,20-21
Empire 8,0-20.000,9,991.42,100-9.08,10569.21,92-2.64,2.79,100-8.02,20-21
Liberty League,5-30.625,2,1001.39,98-8.26,10070.96,97-3.57,2.81,107-11.16,20-21
MAC Freedom,8-180.308,5,1011.37,101-9.37,11167.22,85-0.94,2.78,93-5.20,20-21
Allegheny Mtn,0-40.000,2,1021.33,102-9.67,10768.75,94-2.77,2.83,638.77,20-21
Upper Midwest,9-70.563,9,1031.23,103-10.76,10170.67,102-5.78,2.82,104-9.77,20-21
MASCAC,0-00.000,1,1041.15,104-11.40,8872.9,109-8.65,2.83,109-11.40,20-21
Presidents' AC,0-00.000,10,1051.15,105-11.43,10369.84,101-5.61,2.81,108-11.19,20-21
Great Northeast,5-160.238,4,1061.02,106-11.92,9271.81,108-8.08,2.82,91-5.01,20-21
St Louis IAC,2-120.143,8,1070.96,107-12.85,7775.25,111-12.44,2.81,105-10.41,20-21
NCAA III Ind,24-220.522,6,1080.87,109-13.66,10868.74,106-6.74,2.82,110-11.58,20-21
New England CC,6-110.353,4,1090.84,108-13.18,10669.01,105-6.53,2.82,101-8.18,20-21
North Atlantic,11-80.579,8,1100.69,110-15.07,10968.54,107-7.95,2.86,111-12.77,20-21
Colonial States,1-80.111,4,111-0.02,111-20.22,11067.24,110-11.80,2.83,102-9.05,20-21
American CAA,0-60.000,1,112-1.22,112-29.90,11266,112-20.24,2.77,98-7.30,20-21
