season,team,team_key,level,conference_2020_21,wins,losses,win_pct,delta,rating_rank,rating,power_rank,power,offense_rank,offense,defense_rank,defense,hfa,sos_rank,sos,source_row
2025-26,Creighton,creighton,NCAA D1,,16.0,18.0,0.471,1.0,6.0,17.79,49.0,42.99,61.0,97.92,59.0,22.65,2.93,39.0,41.14,62
2025-26,Virginia Tech,virginia tech,NCAA D1,,19.0,13.0,0.594,-1.0,6.0,27.78,68.0,40.91,68.0,97.55,86.0,20.93,3.0,72.0,38.57,63
2025-26,Boise St,boise st,NCAA D1,,20.0,12.0,0.625,1.0,6.0,37.76,58.0,41.81,74.0,97.24,69.0,22.15,2.9,81.0,36.65,64
2025-26,Nevada,nevada,NCAA D1,,24.0,13.0,0.649,1.0,64.0,7.76,73.0,40.5,103.0,95.15,53.0,22.92,2.89,84.0,36.05,65
2025-26,Florida St,florida st,NCAA D1,,18.0,15.0,0.545,1.0,65.0,7.76,67.0,41.03,42.0,99.14,122.0,19.46,2.94,69.0,39.03,66
2025-26,Stanford,stanford,NCAA D1,,20.0,13.0,0.606,-3.0,66.0,7.75,71.0,40.68,91.0,95.69,61.0,22.56,2.9,76.0,37.78,67
2025-26,Tulsa,tulsa,NCAA D1,,30.0,8.0,0.789,2.0,67.0,7.75,97.0,37.43,58.0,98.02,189.0,16.98,2.89,108.0,32.86,68
2025-26,Colorado,colorado,NCAA D1,,17.0,16.0,0.515,-1.0,68.0,7.74,62.0,41.4,41.0,99.21,112.0,19.76,2.98,55.0,40.15,69
2025-26,Miami OH,miami oh,NCAA D1,,32.0,2.0,0.941,-1.0,69.0,7.73,116.0,35.16,64.0,97.77,249.0,14.96,2.75,229.0,27.57,70
2025-26,Dayton,dayton,NCAA D1,,25.0,12.0,0.676,,7.0,7.71,8.0,39.65,142.0,92.82,33.0,24.41,2.78,97.0,34.64,71
2025-26,LSU,lsu,NCAA D1,,15.0,17.0,0.469,,7.0,17.7,6.0,41.69,4.0,99.51,113.0,19.75,2.93,56.0,40.11,72
2025-26,Xavier,xavier,NCAA D1,,15.0,18.0,0.455,1.0,7.0,27.69,64.0,41.08,24.0,101.01,171.0,17.64,2.95,49.0,40.48,73
2025-26,Wake Forest,wake forest,NCAA D1,,18.0,17.0,0.514,-1.0,7.0,37.69,69.0,40.86,65.0,97.71,91.0,20.72,2.9,7.0,38.91,74
2025-26,Providence,providence,NCAA D1,,15.0,18.0,0.455,2.0,74.0,7.68,66.0,41.03,12.0,103.1,236.0,15.51,2.86,51.0,40.35,75
2025-26,Akron,akron,NCAA D1,,29.0,6.0,0.829,,75.0,7.68,91.0,38.12,51.0,98.53,183.0,17.16,2.81,176.0,29.09,76
2025-26,Belmont,belmont,NCAA D1,,26.0,6.0,0.813,-2.0,76.0,7.67,95.0,37.79,45.0,98.74,2.0,16.63,2.79,135.0,31.21,77
2025-26,Butler,butler,NCAA D1,,16.0,16.0,0.5,1.0,77.0,7.67,76.0,40.05,49.0,98.61,138.0,19.02,2.82,62.0,39.54,78
2025-26,Maryland,maryland,NCAA D1,,12.0,21.0,0.364,-1.0,78.0,7.66,65.0,41.06,107.0,94.79,39.0,23.84,2.87,22.0,42.49,79
2025-26,Grand Canyon,grand canyon,NCAA D1,,20.0,12.0,0.625,1.0,79.0,7.65,78.0,39.97,113.0,94.59,52.0,22.95,2.77,9.0,35.08,80
2025-26,California,california,NCAA D1,,22.0,12.0,0.647,1.0,8.0,7.65,88.0,38.41,77.0,96.74,129.0,19.24,2.87,85.0,35.87,81
2025-26,Mississippi St,mississippi st,NCAA D1,,13.0,19.0,0.406,1.0,8.0,17.65,7.0,40.77,59.0,98.0,99.0,20.34,2.85,34.0,41.59,82
2025-26,Georgetown,georgetown,NCAA D1,,16.0,18.0,0.471,1.0,8.0,27.64,84.0,38.62,126.0,93.96,66.0,22.23,2.7,57.0,40.02,83
2025-26,Oregon,oregon,NCAA D1,,12.0,20.0,0.375,1.0,8.0,37.63,61.0,41.57,99.0,95.24,37.0,23.91,2.93,29.0,41.77,84
2025-26,Marquette,marquette,NCAA D1,,12.0,20.0,0.375,2.0,84.0,7.63,52.0,42.91,66.0,97.69,54.0,22.8,2.89,43.0,40.71,85
2025-26,Colorado St,colorado st,NCAA D1,,21.0,13.0,0.618,,85.0,7.62,77.0,39.99,124.0,94.0,44.0,23.56,2.87,92.0,34.83,86
2025-26,Minnesota,minnesota,NCAA D1,,15.0,18.0,0.455,-7.0,86.0,7.62,81.0,39.48,202.0,90.87,25.0,26.18,2.92,53.0,40.26,87
2025-26,High Point,high point,NCAA D1,,31.0,5.0,0.861,,87.0,7.61,98.0,37.18,55.0,98.31,204.0,16.44,2.79,287.0,25.99,88
2025-26,Wichita St,wichita st,NCAA D1,,24.0,12.0,0.667,,88.0,7.61,83.0,38.66,112.0,94.72,79.0,21.51,2.77,104.0,33.54,89
2025-26,McNeese St,mcneese st,NCAA D1,,28.0,6.0,0.824,,89.0,7.59,1.0,36.93,138.0,93.04,81.0,21.46,2.7,206.0,28.22,90
2025-26,Kansas St,kansas st,NCAA D1,,12.0,20.0,0.375,1.0,9.0,7.54,79.0,39.8,53.0,98.37,139.0,19.0,2.8,42.0,40.87,91
2025-26,Rutgers,rutgers,NCAA D1,,14.0,20.0,0.412,-1.0,9.0,17.53,85.0,38.48,104.0,95.12,85.0,20.94,2.99,54.0,40.23,92
2025-26,Syracuse,syracuse,NCAA D1,,15.0,17.0,0.469,,9.0,27.52,86.0,38.48,81.0,96.44,118.0,19.61,2.94,73.0,38.56,93
2025-26,DePaul,depaul,NCAA D1,,16.0,16.0,0.5,1.0,9.0,37.51,99.0,36.97,21.0,90.7,38.0,23.85,2.84,75.0,38.15,94
