target_conference,player_name,source_school,source_conference,source_level,destination_school,first_big_west_season,target,actual,cv_prediction,cv_error,best_model,player_slug,source_season,source_stat_source,position,height_in,weight_lbs,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,outcome_tier,source_url,outcome_url,abs_error,under_predicted,over_predicted
Mountain West,Hunter McIntosh,Elon,CAA,D1,Nevada,2022-23,bpm,-5.3,1.590094775973346,6.8900947759733455,elastic_alpha_0.3_l1_0.35,hunter mcintosh,2021-22,target_conference_common_box,G,6-2,185.0,32,33.0,0.825,13.3,2.6,2.8,16.12121212121212,3.1515151515151514,3.393939393939394,30.73,38.01,7.279999999999998,Limited target-conference role,https://www.sports-reference.com/cbb/players/hunter-mcintosh-1.html,https://www.sports-reference.com/cbb/players/hunter-mcintosh-1.html,6.8900947759733455,False,True
Big West,Kyle Evans,Colorado State,Mountain West,D1,UC Irvine,2024-25,bpm,5.9,-0.9545032861512032,-6.854503286151203,elastic_alpha_0.3_l1_0.35,kyle-evans,2023-24,target_conference_common_box,F,82.0,200.0,9,5.8,0.145,2.0,1.3,0.4,13.793103448275865,8.965517241379311,2.7586206896551726,38.07,30.41,-7.66,Target-conference rotation,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2025.html,6.854503286151203,True,False
Big West,Hamad Mousa,Dayton,Atlantic 10,D1,Cal Poly,2025-26,bpm,3.7,-3.144795192084607,-6.844795192084607,elastic_alpha_0.3_l1_0.35,hamad-mousa,2024-25,target_conference_common_box,G,80.0,190.0,20,7.6,0.19,1.3,0.5,0.4,6.842105263157895,2.6315789473684212,2.1052631578947367,34.66,29.37,-5.289999999999996,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,6.844795192084607,True,False
Mountain West,Great Osobor,Montana State,Big Sky,D1,Utah State,2023-24,bpm,7.6,0.9411174866080528,-6.658882513391947,elastic_alpha_0.3_l1_0.35,great osobor,2022-23,target_conference_common_box,F,6-8,245.0,34,19.0,0.475,10.1,4.6,1.0,21.26315789473684,9.68421052631579,2.1052631578947367,29.15,38.07,8.920000000000002,Target-conference impact starter,https://www.sports-reference.com/cbb/players/great-osobor-1.html,https://www.sports-reference.com/cbb/players/great-osobor-1.html,6.658882513391947,True,False
Mountain West,Kevin Patton,Southern California,Big Ten,D1,New Mexico,2025-26,bpm_percentile,7.171314741035857,81.05994215457284,73.88862741353698,histgb_lr_0.06_leaves_10_l2_5.0,kevin patton,2024-25,target_conference_common_box,G,6-8,197.0,27,8.1,0.2024999999999999,3.1,1.2,0.4,15.308641975308642,5.9259259259259265,1.9753086419753088,45.57,37.82,-7.75,Limited target-conference role,https://www.sports-reference.com/cbb/players/kevin-patton-jr-1.html,https://www.sports-reference.com/cbb/players/kevin-patton-jr-1.html,73.88862741353698,False,True
Mountain West,Jace Whiting,Boise State,MWC,D1,UNLV,2024-25,bpm_percentile,1.7928286852589643,72.0738184481468,70.28098976288783,histgb_lr_0.06_leaves_10_l2_5.0,jace whiting,2023-24,target_conference_common_box,G,6-2,185.0,33,14.3,0.3575,3.3,1.7,1.1,9.23076923076923,4.755244755244755,3.0769230769230766,38.07,37.82,-0.25,Limited target-conference role,https://www.sports-reference.com/cbb/players/jace-whiting-1.html,https://www.sports-reference.com/cbb/players/jace-whiting-1.html,70.28098976288783,False,True
Mountain West,Nigel Burris,Idaho,Big Sky,D1,Utah State,2023-24,bpm_percentile,1.394422310756972,69.40016560431636,68.00574329355939,histgb_lr_0.06_leaves_10_l2_5.0,nigel burris,2022-23,target_conference_common_box,F,6-7,222.0,32,24.6,0.615,8.8,5.0,0.5,14.308943089430894,8.130081300813007,0.8130081300813008,29.15,38.07,8.920000000000002,Limited target-conference role,https://www.sports-reference.com/cbb/players/nigel-burris-1.html,https://www.sports-reference.com/cbb/players/nigel-burris-1.html,68.00574329355939,False,True
WCC,Assane Diop,Colorado,Big 12,D1,San Diego,2025-26,bpm_percentile,14.243027888446216,81.10894359304581,66.86591570459959,histgb_lr_0.06_leaves_10_l2_5.0,assane diop,2024-25,target_conference_common_box,F,6-10,210.0,35,15.1,0.3775,3.8,3.7,0.8,10.066225165562914,9.80132450331126,2.119205298013245,45.35,35.95,-9.4,Limited target-conference role,https://www.sports-reference.com/cbb/players/assane-diop-2.html,https://www.sports-reference.com/cbb/players/assane-diop-2.html,66.86591570459959,False,True
Mountain West,Jared Harris,Memphis,AAC,D1,Wyoming,2025-26,bpm_percentile,75.89641434262948,11.141139512621832,-64.75527483000765,histgb_lr_0.06_leaves_10_l2_5.0,jared harris,2024-25,target_conference_common_box,G,6-2,160.0,16,3.1,0.0775,0.4,0.3,0.1,5.161290322580645,3.870967741935483,1.2903225806451613,34.55,37.82,3.270000000000003,Limited target-conference role,https://www.sports-reference.com/cbb/players/jared-harris-1.html,https://www.sports-reference.com/cbb/players/jared-harris-1.html,64.75527483000765,True,False
Big West,Ryan Rapp,Washington State,PAC 12,D1,Hawaii,2022-23,bpm_percentile,100.0,40.05631391672976,-59.94368608327024,histgb_lr_0.06_leaves_10_l2_5.0,ryan-rapp,2021-22,target_conference_common_box,G,77.0,189.0,16,4.6,0.1149999999999999,1.2,0.8,0.2,10.434782608695652,6.9565217391304355,1.7391304347826089,40.79,29.79,-11.0,Limited target-conference role,https://www.sports-reference.com/cbb/schools/washington-state/men/2022.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,59.94368608327024,True,False
Big West,Kyle Evans,Colorado State,Mountain West,D1,UC Irvine,2024-25,bpm_percentile,95.2191235059761,35.44565360391868,-59.77346990205742,histgb_lr_0.06_leaves_10_l2_5.0,kyle-evans,2023-24,target_conference_common_box,F,82.0,200.0,9,5.8,0.145,2.0,1.3,0.4,13.793103448275865,8.965517241379311,2.7586206896551726,38.07,30.41,-7.66,Target-conference rotation,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2025.html,59.77346990205742,True,False
Big West,Hamad Mousa,Dayton,Atlantic 10,D1,Cal Poly,2025-26,bpm_percentile,83.06772908366534,25.34504959537586,-57.72267948828949,histgb_lr_0.06_leaves_10_l2_5.0,hamad-mousa,2024-25,target_conference_common_box,G,80.0,190.0,20,7.6,0.19,1.3,0.5,0.4,6.842105263157895,2.6315789473684212,2.1052631578947367,34.66,29.37,-5.289999999999996,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,57.72267948828949,True,False
Atlantic 10,Sam Brown,Pennsylvania,Ivy,D1,Davidson,2025-26,bpm_percentile,13.346613545816732,70.77751279754271,57.43089925172598,histgb_lr_0.06_leaves_10_l2_5.0,sam brown,2024-25,target_conference_common_box,G,6-3,180.0,27,33.0,0.825,13.9,3.3,2.3,16.848484848484848,4.0,2.787878787878788,30.87,34.66,3.789999999999995,Limited target-conference role,https://www.sports-reference.com/cbb/players/sam-brown-4.html,https://www.sports-reference.com/cbb/players/sam-brown-4.html,57.43089925172598,False,True
