target,source_conference,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpm,PacWest,7,2.2508947037206566,3.172493531801227,-2.136982289805838,0.9857142857142858,-1.1512680040915522
bpm,A-10,14,2.232014173079475,1.8804995357784493,-0.07834420449151747,1.0285714285714287,0.9502272240799111
bpm,Northwest,1,2.2048603689930086,2.2048603689930086,2.2048603689930086,-8.5,-6.295139631006991
bpm,Southland,12,2.1744591203998698,1.4318580040833364,-0.4188397491311015,-0.125,-0.5438397491311017
bpm,Ohio Valley,3,2.147198718603979,1.7918690994428816,1.448792442854444,-2.766666666666667,-1.3178742238122223
bpm,MAC,9,2.13369994422842,1.6789982614774817,-1.089844529266477,1.3888888888888888,0.299044359622412
bpm,Big East,20,2.104561860644055,1.4137271280878552,-0.7856063856903301,1.5550000000000002,0.7693936143096699
bpm,Summit League,2,2.0818283002470506,2.0818283002470506,2.0818283002470506,-2.25,-0.16817169975294943
bpm,RMAC,5,2.0625908428102413,1.870328400774202,-0.4216455765595738,0.42000000000000004,-0.0016455765595736692
bpm,A-Sun,7,2.0244566066977066,2.3020833601755317,-0.044567323942721594,1.3285714285714287,1.2840041046287072
bpm,Horizon,10,1.9443383568048145,1.6584104341032364,0.4065053715514635,-0.6300000000000001,-0.2234946284485365
bpm,SSC,5,1.906893922059588,2.114275031477472,-0.27025536533165917,0.31999999999999995,0.04974463466834086
bpm,WCC,18,1.8664441273715657,1.5030118234067191,0.537861289788594,-0.09444444444444441,0.4434168453441496
bpm,Sun Belt,11,1.6185284628979233,1.07011509898477,-0.3804974666133453,0.7636363636363636,0.3831388970230183
bpm,ASUN,3,1.4211846106203794,0.8282967906089316,-1.4211846106203794,2.2666666666666666,0.8454820560462872
bpm,AmEast,3,1.4072747723763985,0.819468499102644,1.4072747723763985,-0.8666666666666666,0.5406081057097317
bpm,NEC,4,1.4011221773191989,1.3589482227795846,0.36709478142356883,0.09999999999999998,0.4670947814235688
bpm,Big South,5,1.2630774045225137,0.7861643861874252,-1.188333487929343,2.06,0.8716665120706569
bpm,Summit,5,1.141298391644278,1.1293840920586278,-0.6895447548208268,1.4200000000000002,0.7304552451791733
bpm,SCIAC,1,0.920579191614782,0.920579191614782,0.920579191614782,-3.3,-2.379420808385218
bpm,Northeast,1,0.6261992562756764,0.6261992562756764,-0.6261992562756764,0.0,-0.6261992562756764
bpm,Patriot League,1,0.4551743145658747,0.4551743145658747,0.4551743145658747,-0.4,0.0551743145658747
bpm_percentile,GAC,2,48.341466900745246,48.341466900745246,-8.042402164019546,57.7191235059761,49.67672134195655
bpm_percentile,United East,1,47.6645412838676,47.6645412838676,47.6645412838676,2.1912350597609564,49.855776343628555
bpm_percentile,Northwest,1,37.18674248114513,37.18674248114513,37.18674248114513,2.689243027888446,39.875985509033576
bpm_percentile,Ind,1,32.796687144994074,32.796687144994074,32.796687144994074,35.1593625498008,67.95604969479487
bpm_percentile,SCIAC,1,30.75526506615251,30.75526506615251,30.75526506615251,15.43824701195219,46.1935120781047
bpm_percentile,Big Ten,21,29.99545099555921,25.268366796123217,5.041624822800249,57.43217605767406,62.473800880474315
bpm_percentile,RMAC,5,28.769965365565668,30.292124155110734,-2.5847014862153066,51.53386454183267,48.94916305561736
bpm_percentile,SEC,19,28.695661736079238,27.84042041843788,-0.6305264684530089,57.59593206122877,56.96540559277577
bpm_percentile,SIAC,1,27.865401424487423,27.865401424487423,27.865401424487423,9.262948207171316,37.128349631658736
bpm_percentile,Big 12,19,27.6618027195425,23.477020144178027,-1.0859829732933486,62.81715244286014,61.731169469566794
bpm_percentile,Mountain West,9,27.49041745538174,29.152310569133565,2.694163236978868,38.667552014165565,41.36171525114443
bpm_percentile,OVC,6,25.62246147476418,22.064932467398695,7.442949249426344,52.78884462151395,60.231793870940294
bpm_percentile,MAC,9,25.135659429557037,24.93902195884185,-8.803658827326338,60.513501549358125,51.70984272203178
bpm_percentile,Big XII,5,25.1264698654682,17.834843467565584,-18.60890940081117,74.16334661354583,55.55443721273465
bpm_percentile,GLVC,3,24.752593199731027,29.527449277111973,0.8141129026315781,41.00265604249668,41.81676894512827
bpm_percentile,CAA,6,24.479338841431684,20.183417087510048,9.816236482773398,40.08964143426295,49.90587791703635
bpm_percentile,MVC,12,24.391661967743048,27.94256682057753,16.67325697452186,43.940903054448874,60.61416002897073
bpm_percentile,Missouri Valley,4,24.094381077680392,24.275244731328193,24.094381077680392,18.20219123505976,42.29657231274015
bpm_percentile,MWC,34,23.811409945186846,20.358412093990914,2.1613809590327375,51.59362549800797,53.75500645704071
bpm_percentile,AAC,13,23.449918316489956,17.25945809946792,-16.913220613505217,64.22004290530187,47.30682229179665
bpm_percentile,Ivy,4,22.981979496964982,14.158460787532887,9.619280918588085,36.15537848605578,45.77465940464386
bpm_percentile,West Coast,10,22.68864256079543,21.585202232513648,7.747880749637119,34.02390438247012,41.77178513210724
bpm_percentile,PacWest,7,22.583642719492474,21.282886372568537,-12.888562364984235,56.08992601024473,43.20136364526051
bpm_percentile,A-10,14,22.144006273767523,21.6922840385946,-4.378995628373138,58.117529880478095,53.738534252104955
bpm_percentile,Patriot,9,22.057815148155274,22.91675457711156,-7.5202418620946965,56.28596724214254,48.76572538004784
bpm_percentile,Big East,20,20.985033042873514,16.482676665624094,-1.4930670388373377,59.22808764940239,57.73502061056505
bpm_percentile,Ohio Valley,3,20.789878386723966,14.58430052021602,11.06701137324662,23.306772908366536,34.373784281613155
bpm_percentile,NEC,4,20.62889159511046,18.45817771241211,2.610728104349999,45.941235059760956,48.55196316411096
bpm_percentile,Big West,26,20.42492371093702,16.91005488712256,-1.6467953877301142,44.567882316886305,42.92108692915619
bpm_percentile,ACC,20,20.288992160940523,18.664328580711718,-7.243164186459414,60.73207171314741,53.48890752668799
bpm_percentile,MEAC,4,20.23968864538182,19.142655543464166,19.78601702494624,23.007968127490038,42.79398515243628
bpm_percentile,Big Sky,13,19.84974421706809,13.64055485795154,4.126201809469114,38.69904995403004,42.825251763499146
bpm_percentile,American,4,19.719301671127777,20.308654864450634,-7.8257056551684485,42.30577689243028,34.48007123726183
bpm_percentile,MAAC,12,19.291249107056753,18.76077546792584,1.9311793896953733,48.124169986719785,50.055349376415165
bpm_percentile,Pac-12,27,19.207904609210193,17.241864201611598,6.074812624164451,47.6796517633171,53.75446438748155
bpm_percentile,Atlantic 10,9,19.194049344820698,8.067029977820475,-9.278392162712313,45.1859229747676,35.907530812055285
bpm_percentile,WCC,18,19.034722595752964,20.48709464510717,4.924429191646067,45.838866755201416,50.76329594684748
bpm_percentile,Northeast,1,18.896405176791617,18.896405176791617,-18.896405176791617,46.41434262948207,27.517937452690457
bpm_percentile,PAC 12,9,18.894765434661725,13.510757929589277,1.7901795774470226,42.23107569721115,44.021255274658174
bpm_percentile,Mountain East,1,18.06787250012092,18.06787250012092,18.06787250012092,3.286852589641434,21.35472508976235
