"Davion Mintz",Kentucky,SEC,31,56,110.4,17.4,47.8,51,3.2,6.8,11.2,13.4,47,67,0.701,42,97,0.433,44,129,0.341,0.6,1.4,29.6,Sr,6-3,10,2.35853,113.091,2.7,2022,44793,"Charlotte, NC",20.0,1.77419996,24,40,18,57,0.6000,0.3158,3,3,1.0000,,101.166,96.2339,2.65416,116.3,4.1542,4.1238,0.0303993,3.16025,24.7419,2.30338,0.856865,0.6774,1.5161,2.1935,1.7742,0.6129,0.1290,8.4839,"Combo G",9.72773,1998-06-30
"Tyson Jolly",Iona,MAAC,33,83.8,106.2,22.2,49.9,53.18,6.5,9.5,13.6,15.1,93,133,0.699,121,259,0.467,49,131,0.374,2.5,1.2,34.1,Sr,6-4,25,2.83361,109.771,2.6,2022,44846,"Muskogee, OK",67.2,1.15149999,86,154,35,105,0.5584,0.3333,22,26,0.8462,,101.197,101.982,2.95478,178.467,1.76805,1.98188,-0.213827,1.71264,33.7576,2.34194,-0.629301,1.9394,2.8788,4.8182,2.3030,0.7273,0.8182,14.6061,"Wing G",6.66144,1997-08-10
"AJ Wilson","South Carolina",SEC,21,24.5,108.5,13,50,52.32,11.9,11.9,6.8,17.4,12,19,0.632,23,45,0.511,3,10,0.3,7,2.3,34.5,Sr,6-7,12,0.842447,102.783,5.3,2022,44849,"Laurel, MD",,0.91659032,17,32,6,14,0.5313,0.4286,4,5,0.8000,,96.5786,91.7572,1.72703,61.9175,5.85707,0.530967,5.3261,3.11599,13.5455,-0.0874424,3.20344,1.5909,1.4545,3.0455,0.5000,0.5455,0.9091,3.1364,PF/C,1.8839,1997-10-16
"Xavier Green",Maryland,B10,32,49,101.1,8.4,45.8,47.39,4,10.4,7.8,17.9,9,15,0.6,15,39,0.385,12,33,0.364,0.5,1.5,20.8,Sr,6-6,11,0.143902,87.514,2.9,2022,44944,"Williamsburg, VA",15.2,1.75000000,7,11,8,28,0.6364,0.2857,1,1,1.0000,,107.819,101.18,1.78288,97.3159,1.0932,0.0227671,1.07043,-0.302593,19.7500,-1.40662,1.10402,0.6875,1.8125,2.5000,0.8750,0.5000,0.0938,2.3438,"Wing G",3.08572,1996-09-09
"Tareq Coburn","St. John's",BE,27,24.9,99.1,17.1,53.1,54.47,2.6,5.7,6.4,18.6,15,24,0.625,15,35,0.429,24,61,0.393,2,2.2,25,Sr,6-5,10,0.566958,99.2045,4,2022,45017,"Queens, NY",,0.68424044,12,26,3,9,0.4615,0.3333,4,5,0.8000,,103.797,100.431,1.1074,53.6782,-0.0743426,0.446863,-0.521205,-0.523318,11.8889,-0.348801,-0.174518,0.2963,0.6296,0.9259,0.4815,0.4815,0.2222,4.3333,"Combo G",10.2116,1998-03-05
"Tavian Dunn-Martin","Florida Gulf Coast",ASun,32,83.3,110.6,33.5,51,56.81,1.7,8.5,38.1,19,157,179,0.877,113,246,0.459,103,278,0.371,0.1,1.8,34.2,Sr,5-8,5,4.74135,126.414,1.6,2022,45090,"Huntington, WV",,1.62293751,77,139,36,107,0.5540,0.3364,0,0,,,108.086,110.044,2.00608,168.936,1.41568,5.14585,-3.73017,3.15697,33.6061,5.59859,-2.44162,0.4848,2.6364,3.1212,6.0000,1.1212,0.0303,21.3636,"Pure PG",14.5218,1998-03-16
"Jakolby Long","Bethune Cookman",SWAC,26,50.3,95.9,12.5,37.4,43.68,5.8,10.9,11.2,15.4,27,35,0.771,37,96,0.385,0,3,0,0,2.6,35.4,Sr,6-4,2,-0.136879,83.6369,3.6,2022,45184,"Oklahoma City, OK",75.4,1.70014848,22,52,15,44,0.4231,0.3409,0,0,,,105.457,112.323,1.17172,97.7926,-3.59877,-2.19994,-1.39883,-4.13747,22.5926,-3.41862,-0.718849,1.1111,1.9259,3.0370,1.2593,0.9630,0.0000,4.0000,"Wing G",0.303506,1997-09-16
"Taze Moore",Houston,Amer,36,70.4,112.8,19.2,50.6,52.09,6,12.4,17.4,15.3,32,44,0.727,106,202,0.525,44,138,0.319,2.8,3.2,12.9,Sr,6-5,4,3.17227,116.16,3.1,2022,45252,"Southhaven, MS",,1.98082252,62,89,44,113,0.6966,0.3894,21,21,1.0000,,89.3076,86.0421,4.2647,211.941,8.3355,4.01307,4.32243,7.66849,30.0278,3.45194,4.21655,1.5833,3.2778,4.8611,2.8611,1.5556,0.6389,10.4444,"Wing G",7.80015,1998-06-29
"Justin Edler-Davis","Cal St. Bakersfield",BW,25,65.4,104.4,18.5,46,48.43,8.9,22.8,4.7,11.3,23,29,0.793,57,133,0.429,24,69,0.348,0.4,2.2,14.4,Sr,6-4,10,1.4904,101.816,4.4,2022,45253,"San Diego, CA",29.8,0.61536863,19,35,38,98,0.5429,0.3878,3,5,0.6000,,101.429,103.537,2.166,125.976,-0.746338,0.502962,-1.2493,-0.131826,25.5185,0.699287,-0.831113,2.0370,4.3704,6.4074,0.5926,0.9259,0.0741,8.5926,"Wing G",6.544,1998-02-09
"Greg Lee","Penn St.",B10,16,27.9,95.7,19.1,44.3,46.85,8.9,21.2,6,16.3,12,16,0.75,31,64,0.484,8,33,0.242,0.7,0.7,16.5,Sr,6-9,5,1.09856,100.097,4.1,2022,45254,"Rockford, IL",,0.58823529,16,23,15,41,0.6957,0.3659,2,3,0.6667,,102.838,93.754,2.51449,58.6011,-2.2256,-2.14365,-0.0819507,-1.09294,21.8750,-1.46675,0.373801,1.5625,3.9375,5.5000,0.6250,0.2500,0.1250,6.1250,PF/C,6.04214,1998-02-04
