player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column
Stef van Bussel,Atlantic 10,D1,Saint Louis,Duquesne,2023-24,2025-26,big_west_bpr
Jack Whitbourn,Atlantic 10,D1,UC Riverside,Fordham,2024-25,2025-26,big_west_bpr
Desmond Watson,Atlantic 10,D1,Davidson,Loyola Chicago,2022-23,2023-24,big_west_bpr
Dominick Harris,Atlantic 10,D1,UCLA,Loyola Chicago,2024-25,2025-26,big_west_bpr
Michael Meadows,Atlantic 10,D1,Portland,Saint Louis,2022-23,2023-24,big_west_bpr
Kilian Brockhoff,Atlantic 10,D1,UC Santa Barbara,Saint Louis,2023-24,2024-25,big_west_bpr
Connor Odom,Atlantic 10,D1,Utah State,VCU,2022-23,2023-24,big_west_bpr
Will McClendon,American,D1,San Jose State,North Texas,2024-25,2025-26,big_west_bpr
Jimmy Oladokun,American,D1,San Diego,Rice,2023-24,2024-25,big_west_bpr
Jefferson Koulibaly,American,D1,Washington State,SMU,2021-22,2022-23,big_west_bpr
Brian Amuneke,American,D1,Fresno State,Wichita State,2024-25,2025-26,big_west_bpr
Dylan Anderson,Missouri Valley,D1,Boise State,Murray State,2024-25,2025-26,big_west_bpr
J.P. Moorman II,Big West,D1,Temple,UC Riverside,2020-21,2021-22,big_west_obpr
Jacob Davison,Big West,D1,Eastern Washington,Cal Poly,2020-21,2021-22,big_west_obpr
Modestas Kancleris,Big West,D1,Creighton,Cal State Bakersfield,2021-22,2022-23,big_west_obpr
Yacine Toumi,Big West,D1,Seton Hall,Hawaii,2024-25,2025-26,big_west_obpr
Ryan Rapp,Big West,D1,Washington State,Hawaii,2021-22,2022-23,big_west_obpr
Aleks Szymczyk,Big West,D1,Charlotte,Cal State Northridge,2024-25,2025-26,big_west_obpr
Judson Martindale,Big West,D1,Pacific,Cal State Northridge,2023-24,2024-25,big_west_obpr
Lathaniel Bastian,Big West,D2,Angelo State,Cal State Fullerton,2021-22,2022-23,big_west_obpr
Miloš Vićentić,Big West,D2,McKendree,UC San Diego,2023-24,2024-25,big_west_obpr
Caleb McCarty,Big West,D1,South Carolina State,Cal State Bakersfield,2024-25,2025-26,big_west_obpr
Kieran Elliott,Big West,D2,West Texas A&M,Cal Poly,2023-24,2024-25,big_west_obpr
Jalen Cooper,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2022-23,2023-24,big_west_obpr
Ethan Menzies,Big West,D2,Colorado Mesa,Cal Poly,2023-24,2024-25,big_west_obpr
Denzel Hines,Big West,D1,Coastal Carolina,UC Riverside,2024-25,2025-26,big_west_obpr
Isaac Spears,Big West,D1,Montana State,Cal Poly,2021-22,2022-23,big_west_obpr
Dylan Godfrey,Big West,D1,Canisius,UC Riverside,2024-25,2025-26,big_west_obpr
Jerome Palm,Big West,D1,Valparaiso,Hawaii,2023-24,2024-25,big_west_obpr
Jalen Myers,Big West,D1,Norfolk State,Hawaii,2024-25,2025-26,big_west_obpr
Sydney Shipp,Big West,D2,Occidental,Cal State Fullerton,2022-23,2023-24,big_west_obpr
Festus Ndumanya,Big West,D1,Southern,Cal State Northridge,2023-24,2024-25,big_west_obpr
Derek Sangster,Big West,D1,Princeton,UC Davis,2023-24,2024-25,big_west_obpr
Chris Mitchell,Big West,D2,Cal State San Bernardino,UC Santa Barbara,2023-24,2024-25,big_west_obpr
Daniel Tobiloba,Big West,D1,South Florida,UC Riverside,2024-25,2025-26,big_west_obpr
Matija Svetozarević,Big West,D1,Portland,Hawaii,2021-22,2022-23,big_west_obpr
Efton Reid,WCC,D1,Louisiana State,Gonzaga,2021-22,2022-23,big_west_obpr
Matar Diop,WCC,D1,Nebraska,Loyola Marymount,2023-24,2024-25,big_west_obpr
MJ Amey,WCC,D1,San Jose State,Loyola Marymount,2023-24,2024-25,big_west_obpr
Nakyel Shelton,WCC,D1,Eastern Illinois,Loyola Marymount,2024-25,2025-26,big_west_obpr
