player_name,source_school,source_season,target_conference,source_level,source_games,college_stat_seasons_before_transfer,college_stat_seasons_source,source_url,outcome_url,needs_manual_review
T.J. Wainwright,Robert Morris,2023-24,Big West,D1,27,2.0,data/cache/sports_reference_roster_diff_profiles/tj-wainwright-1.html,https://www.sports-reference.com/cbb/schools/robert-morris/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,False
Marcus Wilson,Washington State,2024-25,Big West,D1,4,1.0,data/cache/sports_reference_d1_profile_audit/marcus-wilson-3.html,https://www.sports-reference.com/cbb/schools/washington-state/men/2025.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2026.html,False
Nordin Kapić,Lynn,2023-24,Big West,D2,27,2.0,data/cache/sports_reference_d2_outcome_audit/nordin-kapic-1.html,https://lynnfightingknights.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/nordin-kapic-1.html,False
Kamaka Hepa,Texas,2020-21,Big West,D1,9,3.0,data/cache/sports_reference_d1_profile_audit/kamaka-hepa-1.html,https://www.sports-reference.com/cbb/schools/texas/men/2021.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2022.html,False
Myles Che,Chattanooga,2023-24,Big West,D1,28,1.0,data/cache/sports_reference_d1_profile_audit/myles-che-1.html,https://www.sports-reference.com/cbb/schools/chattanooga/men/2024.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2025.html,False
DeSean Allen-Eikens,New Orleans,2021-22,Big West,D1,14,3.0,data/cache/sports_reference_roster_diff_profiles/desean-allen-eikens-1.html;data/cache/sports_reference_d1_profile_audit/desean-allen-eikens-1.html,https://www.sports-reference.com/cbb/schools/new-orleans/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html,False
Josh O'Garro,Texas State,2024-25,Big West,D1,32,5.0,data/cache/sports_reference_roster_diff_profiles/josh-ogarro-1.html;data/cache/sports_reference_d1_profile_audit/josh-ogarro-1.html,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,False
Yohan Traore,Auburn,2022-23,Big West,D1,25,1.0,data/cache/sports_reference_d1_profile_audit/yohan-traore-1.html,https://www.sports-reference.com/cbb/schools/auburn/men/2023.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2024.html,False
Trevon Taylor,James Madison,2020-21,Big West,D1,7,3.0,data/cache/sports_reference_d1_profile_audit/trevon-taylor-1.html,https://www.sports-reference.com/cbb/schools/james-madison/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html,False
Andre Kelly,California,2021-22,Big West,D1,21,4.0,data/cache/sports_reference_d1_profile_audit/andre-kelly-1.html,https://www.sports-reference.com/cbb/schools/california/men/2022.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2023.html,False
Ty Johnson,Loyola Chicago,2021-22,Big West,D1,13,3.0,data/cache/sports_reference_roster_diff_profiles/ty-johnson-3.html;data/cache/sports_reference_d1_profile_audit/ty-johnson-3.html;data/cache/sports_reference_roster_diff_profiles/ty-johnson-1.html,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2023.html,False
Bol Dengdit,Portland,2024-25,Big West,D1,30,2.0,data/cache/sports_reference_d1_profile_audit/bol-dengdit-1.html,https://www.sports-reference.com/cbb/schools/portland/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,False
Dailin Smith,Alabama A&M,2022-23,Big West,D1,28,4.0,data/cache/sports_reference_roster_diff_profiles/dailin-smith-1.html;data/cache/sports_reference_d1_profile_audit/dailin-smith-1.html,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,False
