player_name,target_conference,source_school,source_conference,source_level,destination_school,first_big_west_season,actual,cv_prediction,cv_error,abs_error,source_games,source_mpg,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,position,height_in,weight_lbs,outcome_tier,initial_tags,suggested_review_reason,source_url,outcome_url
Alex Crawford,Atlantic 10,Fresno State,MWC,D1,Rhode Island,2025-26,-1.63,2.056649838907721,3.6866498389077207,3.6866498389077207,30,32.5,11.5,4.3,1.3,14.153846153846152,5.292307692307692,1.6,37.82,34.66,-3.1600000000000037,F,6-7,187.0,Limited target-conference role,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/players/alex-crawford-1.html,https://www.sports-reference.com/cbb/players/alex-crawford-1.html
A.J. Wills,Mountain West,Holy Cross,Patriot,D1,Wyoming,2024-25,-2.57,0.9854598657074048,3.5554598657074044,3.5554598657074044,22,15.9,5.5,0.8,1.0,13.836477987421384,2.0125786163522013,2.5157232704402515,23.98,37.82,13.84,G,6-2,165.0,Limited target-conference role,over_predicted_translation;large_jump_up_overvalued;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/aj-wills-1.html,https://www.sports-reference.com/cbb/players/aj-wills-1.html
Max Shulga,Atlantic 10,Utah State,MWC,D1,VCU,2023-24,6.35,2.796414442485127,-3.5535855575148725,3.5535855575148725,35,31.1,11.9,4.5,4.0,15.305466237942122,5.787781350482315,5.144694533762058,38.01,35.42,-2.5899999999999963,G,6-4,197.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/max-shulga-1.html,https://www.sports-reference.com/cbb/players/max-shulga-1.html
De'Shayne Montgomery,Atlantic 10,Georgia,SEC,D1,Dayton,2025-26,4.7,1.183510975583351,-3.516489024416649,3.516489024416649,17,15.5,6.5,2.1,0.8,16.774193548387096,5.419354838709677,2.064516129032258,46.93,34.66,-12.270000000000003,G,6-4,190.0,Target-conference impact starter,under_predicted_breakout;power_drop_breakout,High-major or stronger-conference player improved after moving down in conference strength.,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html
Kobe Young,Big West,Boise State,Mountain West,D1,Cal State Fullerton,2024-25,-3.56,-0.1502871101259255,3.4097128898740747,3.4097128898740747,25,4.1,1.1,1.1,0.2,10.731707317073171,10.731707317073171,1.951219512195122,38.07,30.41,-7.66,G,78.0,204.0,Limited target-conference role,over_predicted_translation;low_source_minutes,"over_predicted_translation, low_source_minutes",https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html
Matija Belic,Mountain West,UC Santa Barbara,Big West,D1,Wyoming,2024-25,-2.12,1.222771333683762,3.3427713336837623,3.3427713336837623,29,15.1,3.9,2.4,0.9,10.331125827814567,6.357615894039736,2.384105960264901,29.59,37.82,8.23,G,6-7,205.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/matija-belic-1.html,https://www.sports-reference.com/cbb/players/matija-belic-1.html
Emmanuel Ugbo,WCC,Boise State,MWC,D1,Washington State,2025-26,-1.91,1.4052118449174424,3.3152118449174424,3.3152118449174424,36,10.0,3.1,2.3,0.2,12.4,9.2,0.8,37.82,35.95,-1.8699999999999977,F,6-8,235.0,Limited target-conference role,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/players/emmanuel-ugbo-1.html,https://www.sports-reference.com/cbb/players/emmanuel-ugbo-1.html
Cam Denson,Big West,Pacific,West Coast,D1,Long Beach State,2024-25,-3.08,0.2014727227095363,3.2814727227095366,3.2814727227095366,31,22.5,8.5,4.6,1.0,15.11111111111111,8.177777777777777,1.7777777777777777,34.66,30.41,-4.2499999999999964,F,79.0,210.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/schools/pacific/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html
Alvaro Cardenas,Mountain West,San Jose State,MWC,D1,Boise State,2024-25,6.04,2.7923964650594537,-3.2476035349405463,3.2476035349405463,31,35.5,13.2,3.3,5.5,14.873239436619718,3.7183098591549295,6.197183098591549,38.07,37.82,-0.25,G,6-1,180.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/alvaro-cardenas-1.html,https://www.sports-reference.com/cbb/players/alvaro-cardenas-1.html
Kobe Sanders,Mountain West,Cal Poly,Big West,D1,Nevada,2024-25,5.48,2.252187996425973,-3.2278120035740274,3.2278120035740274,29,33.6,19.6,3.7,3.2,23.333333333333332,4.404761904761904,3.8095238095238098,29.59,37.82,8.23,G,6-6,175.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/kobe-sanders-1.html,https://www.sports-reference.com/cbb/players/kobe-sanders-1.html
Donovan Williams,WCC,Oklahoma State,Big 12,D1,Pacific,2022-23,-1.46,1.7231342169645187,3.1831342169645187,3.1831342169645187,9,10.4,3.1,1.6,0.2,11.923076923076923,6.153846153846153,0.7692307692307692,46.04,36.74,-9.299999999999995,G,6-5,200.0,Limited target-conference role,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/players/donovan-williams-4.html,https://www.sports-reference.com/cbb/players/donovan-williams-4.html
Corey Camper,Mountain West,UTEP,CUSA,D1,Nevada,2025-26,4.87,1.6995356604396146,-3.1704643395603855,3.1704643395603855,31,31.6,10.5,3.6,2.0,13.291139240506327,4.556962025316455,2.531645569620253,32.24,37.82,5.579999999999998,G,6-5,185.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/corey-camper-jr-1.html,https://www.sports-reference.com/cbb/players/corey-camper-jr-1.html
Petar Krivokapic,WCC,Florida International,CUSA,D1,Pacific,2024-25,-2.2,0.9387298071627316,3.138729807162732,3.138729807162732,33,19.6,7.2,1.5,0.7,14.693877551020408,3.061224489795918,1.4285714285714284,32.24,36.22,3.979999999999997,G,6-4,200.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/petar-krivokapic-1.html,https://www.sports-reference.com/cbb/players/petar-krivokapic-1.html
Hamad Mousa,Big West,Dayton,Atlantic 10,D1,Cal Poly,2025-26,2.08,-1.051891658451619,-3.131891658451619,3.131891658451619,20,7.6,1.3,0.5,0.4,6.842105263157895,2.6315789473684212,2.1052631578947367,34.66,29.37,-5.289999999999996,G,80.0,190.0,Target-conference impact starter,under_predicted_breakout;low_source_minutes,Prior box score understated player because source role was tiny.,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html
JT Rock,Mountain West,Iowa State,Big 12,D1,New Mexico,2025-26,4.16,1.0594659266862925,-3.1005340733137077,3.1005340733137077,9,2.3,0.7,0.7,0.0,12.173913043478262,12.173913043478262,0.0,45.35,37.82,-7.530000000000001,C,7-1,255.0,Target-conference rotation,under_predicted_breakout;low_source_minutes;power_drop_breakout,Prior box score understated player because source role was tiny.,https://www.sports-reference.com/cbb/players/jt-rock-1.html,https://www.sports-reference.com/cbb/players/jt-rock-1.html
Taylor Funk,Mountain West,Saint Joseph's,A-10,D1,Utah State,2022-23,5.07,1.9903129053748196,-3.0796870946251804,3.0796870946251804,28,36.1,13.2,6.6,1.8,14.626038781163434,7.313019390581717,1.9944598337950137,35.45,38.01,2.559999999999995,F,6-8,230.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted;star_outcome_missed,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/taylor-funk-1.html,https://www.sports-reference.com/cbb/players/taylor-funk-1.html
Kalib Boone,Mountain West,Oklahoma State,Big 12,D1,UNLV,2023-24,5.25,2.178622666184097,-3.071377333815903,3.071377333815903,36,21.3,10.6,4.9,1.0,19.906103286384976,9.2018779342723,1.8779342723004695,45.3,38.07,-7.229999999999997,F,6-9,210.0,Target-conference starter/plus rotation,under_predicted_breakout;real_prior_role_underweighted;power_drop_breakout,High-major or stronger-conference player improved after moving down in conference strength.,https://www.sports-reference.com/cbb/players/kalib-boone-1.html,https://www.sports-reference.com/cbb/players/kalib-boone-1.html
Julien Franklin,Big West,Oregon State,PAC 12,D1,Cal Poly,2021-22,-3.05,-0.0079237156101571,3.0420762843898426,3.0420762843898426,21,6.3,0.8,0.7,0.5,5.079365079365079,4.444444444444445,3.174603174603175,41.56,28.77,-12.790000000000004,G,79.0,200.0,Limited target-conference role,over_predicted_translation;low_source_minutes,"over_predicted_translation, low_source_minutes",https://www.sports-reference.com/cbb/schools/oregon-state/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html
Elijah Fisher,WCC,DePaul,Big East,D1,Pacific,2024-25,-0.87,2.1577225200536088,3.027722520053609,3.027722520053609,32,31.8,10.2,3.8,1.4,12.830188679245282,4.779874213836478,1.7610062893081762,43.06,36.22,-6.840000000000003,G,6-6,190.0,Target-conference starter/plus rotation,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/players/elijah-fisher-1.html,https://www.sports-reference.com/cbb/players/elijah-fisher-1.html
John Hugley,Atlantic 10,Xavier,Big East,D1,Duquesne,2025-26,-0.38,2.5950233269893137,2.9750233269893136,2.9750233269893136,34,9.9,2.9,2.0,0.7,11.717171717171716,8.080808080808081,2.8282828282828283,43.33,34.66,-8.670000000000002,F,6-9,240.0,Limited target-conference role,over_predicted_translation;low_source_minutes,"over_predicted_translation, low_source_minutes",https://www.sports-reference.com/cbb/players/john-hugley-1.html,https://www.sports-reference.com/cbb/players/john-hugley-1.html
Ryan Nembhard,WCC,Creighton,Big East,D1,Gonzaga,2023-24,6.41,3.4536804306309237,-2.9563195693690765,2.9563195693690765,37,34.0,12.1,4.0,4.8,14.235294117647058,4.705882352941177,5.647058823529412,42.46,34.66,-7.800000000000004,G,6-0,167.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted;power_drop_breakout,High-major or stronger-conference player improved after moving down in conference strength.,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html
