player_name,player_slug,source_school,source_level,destination_school,first_big_west_season,missing_source_stats,missing_outcome_stats,reason
Bryce Cofield,bryce-cofield,Cal State Fullerton,D1,Cal State Bakersfield,2026-27,FALSE,TRUE,missing_big_west_outcome
Cameron Barnes,cameron-barnes,Illinois State,D1,Cal State Bakersfield,2026-27,FALSE,TRUE,missing_big_west_outcome
Chudi Dioramma,chudi-dioramma,Arkansas State,D1,Cal State Bakersfield,2026-27,FALSE,TRUE,missing_big_west_outcome
E.J. Bryson,ej-bryson,Azusa Pacific,D2,Cal State Bakersfield,2026-27,FALSE,TRUE,missing_big_west_outcome
"Kjay Bradley, Jr.",kevin-bradley-jr,San Diego,D1,Cal State Bakersfield,2026-27,FALSE,TRUE,missing_big_west_outcome
Sean Pouedet,sean-pouedet,Dayton,D1,Cal State Bakersfield,2026-27,FALSE,TRUE,missing_big_west_outcome
Zach Lee,zach-lee2,Loyola University New Orleans,NAIA,Cal State Bakersfield,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Andrew McConnell,andrew-mcconnell,Cumberland University,NAIA,Cal State Fullerton,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Malcolm Bell,malcolm-bell,Cal Poly Pomona,D2,Cal State Fullerton,2026-27,FALSE,TRUE,missing_big_west_outcome
Marley Zeller,marley-zeller,Loyola Marymount,D1,Cal State Fullerton,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Matthew Willenborg,matthew-willenborg,Central Oklahoma,D2,Cal State Fullerton,2026-27,FALSE,TRUE,missing_big_west_outcome
Rockwell Reynolds,rockwell-reynolds,Citrus College,JUCO,Cal State Fullerton,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Tiernan Stynes,tiernan-stynes,Quincy,D2,Cal State Fullerton,2026-27,FALSE,TRUE,missing_big_west_outcome
B.J. Omot,bj-omot,California,D1,Cal State Northridge,2026-27,FALSE,TRUE,missing_big_west_outcome
Brooklyn Hicks,brooklyn-hicks,Montana,D1,Cal State Northridge,2026-27,FALSE,TRUE,missing_big_west_outcome
Caleb Smith,caleb-smith,Rider,D1,Cal State Northridge,2026-27,FALSE,TRUE,missing_big_west_outcome
Daniel Culberson,daniel-culberson,Howard College,JUCO,Cal State Northridge,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Jael Martin,jael-martin,Loyola Marymount,D1,Cal State Northridge,2026-27,FALSE,TRUE,missing_big_west_outcome
Kéziah Ekissi,kziah-ekissi,Oregon State,D1,Cal State Northridge,2026-27,FALSE,TRUE,missing_big_west_outcome
Mikah Ballew,mikah-ballew,Portland,D1,Cal State Northridge,2026-27,FALSE,TRUE,missing_big_west_outcome
Bol Dengdit,bol-dengdit,UC San Diego,D1,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
Chance Trujillo,chance-trujillo,Utah Tech,D1,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
Houran Dan,houran-dan,Seattle,D1,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
Jaden Matingou,jaden-matingou,Point Loma Nazarene,D2,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
Kellen Hampton,kellen-hampton,Pacific,D1,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
Manie Joses,mansie-joses,Davidson,D1,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
"Marcus Adams, Jr.",marcus-adams-jr,Arizona State,D1,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
Tiger Cuff,tiger-cuff,No College Stats,HS,Hawaii,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Zack Davidson,zack-davidson,Northern Arizona,D1,Hawaii,2026-27,FALSE,TRUE,missing_big_west_outcome
Blake Bahr,blake-bahr,Snow College,JUCO,Long Beach State,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Brett Wright,brett-wright,Trevecca Nazarene,D2,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
Colin Ruffin,colin-ruffin,Missouri Southern,D2,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
Grgur Brčić,grgur-bri,Bucknell,D1,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
Henry Lau,henry-cody-lau,Pittsburgh,D1,Long Beach State,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Jack Payne,jack-payne,Idaho,D1,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
Jaden Tengan,jaden-tengan,Cal State Monterey Bay,D2,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
Kaleb Smith,kaleb-smith,GCU,D1,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
McCaden Adams,mccaden-adams,Snow College,JUCO,Long Beach State,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Noah Amenhauser,noah-amenhauser,Oregon State,D1,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
Yohann Sissoko,yohann-sissoko,Florida Atlantic,D1,Long Beach State,2026-27,FALSE,TRUE,missing_big_west_outcome
Clarence Massamba,clarence-massamba,Tennessee,D1,UC Davis,2026-27,FALSE,TRUE,missing_big_west_outcome
Veniamin Abosi,veniamin-abosi,San Francisco,D1,UC Davis,2026-27,FALSE,TRUE,missing_big_west_outcome
Nils Cooper,nils-cooper,UC Davis,D1,UC Irvine,2026-27,FALSE,TRUE,missing_big_west_outcome
Olivier Rioux,olivier-rioux,Florida,D1,UC Irvine,2026-27,FALSE,TRUE,missing_big_west_outcome
Abraham Oyeadier,abraham-oyeadier,West Virginia,D1,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
