Player Name,Team,source_url,audit_status,mismatch_fields,profile_url,profile_stats_endpoint,profile_json_status,stats_page_match_text,profile_match_text,profile_stats_json,team_GP,profile_GP,delta_GP,team_MIN,profile_MIN,delta_MIN,team_MPG,profile_MPG,delta_MPG,team_FGM,profile_FGM,delta_FGM,team_FGA,profile_FGA,delta_FGA,team_FG%,profile_FG%,delta_FG%,team_3PTM,profile_3PTM,delta_3PTM,team_3PTA,profile_3PTA,delta_3PTA,team_3PT%,profile_3PT%,delta_3PT%,team_FTM,profile_FTM,delta_FTM,team_FTA,profile_FTA,delta_FTA,team_FT%,profile_FT%,delta_FT%,team_PTS,profile_PTS,delta_PTS,team_PPG,profile_PPG,delta_PPG,team_TOT RB,profile_TOT RB,delta_TOT RB,team_RPG,profile_RPG,delta_RPG,team_AST,profile_AST,delta_AST,team_APG,profile_APG,delta_APG,team_TO,profile_TO,delta_TO,team_TOPG,profile_TOPG,delta_TOPG,team_STL,profile_STL,delta_STL,team_SPG,profile_SPG,delta_SPG,team_BLK,profile_BLK,delta_BLK,team_BPG,profile_BPG,delta_BPG,error
Antonio Foxwell,Christian Brothers,https://cbubucs.com/sports/mens-basketball/stats,profile_fetch_failed,,https://cbubucs.com/sports/mens-basketball/roster/antonio-foxwell/5140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Jose Cuello,Valdosta State,https://vstateblazers.com/sports/mens-basketball/stats,profile_fetch_failed,,https://vstateblazers.com/sports/mens-basketball/roster/jose-cuello/8744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Tyrese Elliott,West Alabama,https://uwaathletics.com/sports/mens-basketball/stats,profile_fetch_failed,,https://uwaathletics.com/sports/mens-basketball/roster/tyrese-elliott/9318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
"Derrick Daniels, Jr.",Eastern New Mexico,https://goeasternathletics.com/sports/mens-basketball/stats,profile_fetch_failed,,https://goeasternathletics.com/sports/mens-basketball/roster/derrick-daniels-jr/18756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
George McCoy,St Edwards,https://gohilltoppers.com/sports/mens-basketball/stats,profile_fetch_failed,,https://gohilltoppers.com/sports/mens-basketball/roster/george-mccoy/4491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Donato Joseph,Sul Ross State,https://srlobos.com/sports/mens-basketball/stats,profile_fetch_failed,,https://srlobos.com/sports/mens-basketball/roster/dj-joseph/5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Frank Madubuko,Texas AM Kingsville,https://javelinaathletics.com/sports/mens-basketball/stats,profile_fetch_failed,,https://javelinaathletics.com/sports/mens-basketball/roster/frank-madubuko/8964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Kainan Thomas,Texas Permian Basin,https://utpbfalcons.com/sports/mens-basketball/stats,profile_fetch_failed,,https://utpbfalcons.com/sports/mens-basketball/roster/kainan-thomas/6550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Mouhamadou Cisse,Texas Permian Basin,https://utpbfalcons.com/sports/mens-basketball/stats,profile_fetch_failed,,https://utpbfalcons.com/sports/mens-basketball/roster/mouhamadou-cisse/6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Jaden Holt,West Texas AM,https://gobuffsgo.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://gobuffsgo.com/sports/mens-basketball/roster/jaden-holt/14256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
J.P. Shiers,West Texas AM,https://gobuffsgo.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://gobuffsgo.com/sports/mens-basketball/roster/jp-shiers/14259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Robert Jackson,West Texas AM,https://gobuffsgo.com/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://gobuffsgo.com/sports/mens-basketball/roster/robert-jackson/14257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Jayden Schoen,Newman University,https://newmanjets.com/sports/mens-basketball/stats,profile_fetch_failed,,https://newmanjets.com/sports/mens-basketball/roster/jayden-schoen/7090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Devin Walker,Newman University,https://newmanjets.com/sports/mens-basketball/stats,profile_fetch_failed,,https://newmanjets.com/sports/mens-basketball/roster/devin-walker/7076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Aaron Murphy,Newman University,https://newmanjets.com/sports/mens-basketball/stats,profile_fetch_failed,,https://newmanjets.com/sports/mens-basketball/roster/aaron-murphy/7078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
RaShaun Parker,Davis Elkins,https://senatornation.com/sports/mens-basketball/stats,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buay Koak,Southwest Minnesota State,https://static.smsumustangs.com/custompages/mbball/2025-26/teamcume.htm,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Schlaak,Southwest Minnesota State,https://static.smsumustangs.com/custompages/mbball/2025-26/teamcume.htm,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Koltz,Southwest Minnesota State,https://static.smsumustangs.com/custompages/mbball/2025-26/teamcume.htm,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Kircher,Southwest Minnesota State,https://static.smsumustangs.com/custompages/mbball/2025-26/teamcume.htm,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treshawn Blissett,St Cloud State,https://scsuhuskies.com/sports/mens-basketball/stats,profile_stat_row_not_found,,https://scsuhuskies.com/sports/mens-basketball/roster/tre-blissett/19305,,profile_json_params_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaunzo Doctrine,Georgia Southwestern State,https://gswcanes.com/sports/mens-basketball/stats,profile_fetch_failed,,https://gswcanes.com/sports/mens-basketball/roster/alaunzo-doctrine/3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Johnniyus Sharpe,South Carolina Aiken,https://pacersports.com/sports/mens-basketball/stats,profile_fetch_failed,,https://pacersports.com/sports/mens-basketball/roster/johnniyus-sharpe/10293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Rocco Morabito,Gannon,https://gannonsports.com/sports/mens-basketball/stats,profile_fetch_failed,,https://gannonsports.com/sports/mens-basketball/roster/rocco-morabito/10976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
