first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status,recommended_action
2023-24,Saint Mary's,saint-marys-ca,Mason Forbes,mason forbes,SR,F,6-8,205,https://www.sports-reference.com/cbb/players/mason-forbes-1.html,data/cache/sports_reference_wcc_schools/saint-marys-ca_2024.html,not_on_previous_roster,cached,2022-23,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Saint Mary's,saint-marys-ca,Rory Hawke,rory hawke,FR,G,6-5,190,https://www.sports-reference.com/cbb/players/rory-hawke-1.html,data/cache/sports_reference_wcc_schools/saint-marys-ca_2024.html,not_on_previous_roster,cached,2022-23,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,Saint Mary's,saint-marys-ca,Andrew McKeever,andrew mckeever,SO,C,7-1,255,https://www.sports-reference.com/cbb/players/andrew-mckeever-1.html,data/cache/sports_reference_wcc_schools/saint-marys-ca_2025.html,not_on_previous_roster,cached,2023-24,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2022-23,San Diego,san-diego,Bendji Pierre,bendji pierre,SO,F,6-8,230,https://www.sports-reference.com/cbb/players/bendji-pierre-1.html,data/cache/sports_reference_wcc_schools/san-diego_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2022-23,San Diego,san-diego,Deuce Turner,deuce turner,SO,G,6-2,181,https://www.sports-reference.com/cbb/players/deuce-turner-1.html,data/cache/sports_reference_wcc_schools/san-diego_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2022-23,San Diego,san-diego,Elliyas Delaire,elliyas delaire,SO,G,6-2,175,https://www.sports-reference.com/cbb/players/elliyas-delaire-1.html,data/cache/sports_reference_wcc_schools/san-diego_2023.html,not_on_previous_roster,cached,2021-22,Did not play - non-major team,,D2,True,find_source_stats_or_review,possible_transfer,find source stats; include if D2 source stats available
2023-24,San Diego,san-diego,Emmanuel Callas,emmanuel callas,SO,G,6-5,215,https://www.sports-reference.com/cbb/players/emmanuel-callas-1.html,data/cache/sports_reference_wcc_schools/san-diego_2024.html,not_on_previous_roster,cached,2022-23,Did not play - dnp,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,San Diego,san-diego,PJ Hayes,pj hayes,SR,F,6-6,215,https://www.sports-reference.com/cbb/players/pj-hayes-1.html,data/cache/sports_reference_wcc_schools/san-diego_2024.html,not_on_previous_roster,cached,2022-23,Did not play - non-major team,,D2,True,find_source_stats_or_review,possible_transfer,find source stats; include if D2 source stats available
2024-25,San Diego,san-diego,Bendji Pierre,bendji pierre,SR,F,6-8,230,https://www.sports-reference.com/cbb/players/bendji-pierre-1.html,data/cache/sports_reference_wcc_schools/san-diego_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,San Diego,san-diego,Kjay Bradley,kjay bradley,JR,G,6-1,180,https://www.sports-reference.com/cbb/players/kjay-bradley-jr-1.html,data/cache/sports_reference_wcc_schools/san-diego_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2024-25,San Diego,san-diego,Kody Clouet,kody clouet,SR,G,6-5,210,https://www.sports-reference.com/cbb/players/kody-clouet-1.html,data/cache/sports_reference_wcc_schools/san-diego_2025.html,not_on_previous_roster,cached,2023-24,Did not play - non-major team,,D2,True,find_source_stats_or_review,possible_transfer,find source stats; include if D2 source stats available
2024-25,San Diego,san-diego,Neel Beniwal,neel beniwal,JR,G,6-5,180,https://www.sports-reference.com/cbb/players/neel-beniwal-1.html,data/cache/sports_reference_wcc_schools/san-diego_2025.html,not_on_previous_roster,cached,2023-24,Did not play - injury,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,San Francisco,san-francisco,Drew Ardouin,drew ardouin,JR,G,6-4,181,https://www.sports-reference.com/cbb/players/drew-ardouin-1.html,data/cache/sports_reference_wcc_schools/san-francisco_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2024-25,San Francisco,san-francisco,Saba Gigiberia,saba gigiberia,SR,F,7-1,250,https://www.sports-reference.com/cbb/players/saba-gigiberia-1.html,data/cache/sports_reference_wcc_schools/san-francisco_2025.html,not_on_previous_roster,cached,2023-24,Did not play - injury,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Santa Clara,santa-clara,Brendan Yarusso,brendan yarusso,SO,G,6-1,160,https://www.sports-reference.com/cbb/players/brendan-yarusso-1.html,data/cache/sports_reference_wcc_schools/santa-clara_2024.html,not_on_previous_roster,cached,2022-23,Did not play - dnp,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Santa Clara,santa-clara,Jake Ensminger,jake ensminger,SO,G,6-9,205,https://www.sports-reference.com/cbb/players/jake-ensminger-1.html,data/cache/sports_reference_wcc_schools/santa-clara_2024.html,not_on_previous_roster,cached,2022-23,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,Santa Clara,santa-clara,Elijah Mahi,elijah mahi,JR,F,6-7,220,https://www.sports-reference.com/cbb/players/elijah-mahi-1.html,data/cache/sports_reference_wcc_schools/santa-clara_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
