Player Name,Team,Conference,Position,Height,Year,Season,first_d1_season,d1_school,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,source_url
Grady Lewis,Cal State East Bay,CCAA,C,81,Jr.,2023-24,2024-25,Cal State Northridge,29,859,29.620689655172413,186,271,0.686,0,0,0.0,54,106,0.509,426,14.689655172413794,65,149,214,7.379310344827586,82,35,56,23,32,1.206896551724138,0.7931034482758621,5.137931034482759,2.2413793103448274,1.103448275862069,1.9310344827586208,0.6863468634686347,0.0,0.625,0.39114391143911437,0.6705704571212694,0.4349708963911525,19.837019790454015,9.965075669383003,1.6298020954598371,1.071012805587893,1.490104772991851,2.607683352735739,https://eastbaypioneers.com/sports/mens-basketball/stats/2023-24
Mahmoud Fofana,Cal State San Bernardino,CCAA,W,78,Jr.,2022-23,2023-24,Cal State Northridge,35,805,23.0,122,187,0.652,4,14,0.286,46,77,0.597,294,8.4,90,123,213,6.085714285714285,92,35,34,28,34,1.0,0.8,3.5142857142857142,2.5714285714285716,0.9714285714285714,0.9714285714285714,0.6631016042780749,0.0748663101604278,1.0294117647058822,0.4117647058823529,0.6655197392249185,0.3166211180124224,14.608695652173912,10.583850931677018,1.7391304347826086,1.391304347826087,1.68944099378882,1.68944099378882,https://csusbathletics.com/sports/mens-basketball/stats/2022-23
Isaiah Kerr,Chico State,CCAA,G,75,Jr.,2024-25,2025-26,Hawaii,29,954,32.89655172413793,140,304,0.461,43,123,0.35,60,86,0.698,383,13.206896551724139,25,93,118,4.068965517241379,63,92,61,23,12,3.1724137931034484,0.7931034482758621,3.206896551724138,0.8620689655172413,0.41379310344827586,2.103448275862069,0.53125,0.40460526315789475,1.5081967213114753,0.28289473684210525,0.5602036040252749,0.42226415094339625,16.058700209643607,4.947589098532495,3.857442348008386,0.9643605870020965,0.5031446540880503,2.557651991614256,https://chicowildcats.com/sports/mens-basketball/stats/2024-25
Joel Murray,West Texas A&M,LSC,G,72,Jr.,2020-21,2021-22,Long Beach State,22,780,35.45454545454545,181,385,0.47,30,100,0.3,121,150,0.807,513,23.318181818181817,28,108,136,6.181818181818182,46,92,54,41,2,4.181818181818182,1.8636363636363635,4.909090909090909,1.2727272727272727,0.09090909090909091,2.4545454545454546,0.509090909090909,0.2597402597402597,1.7037037037037037,0.38961038961038963,0.5687361419068736,0.6474358974358975,26.307692307692307,6.9743589743589745,4.717948717948718,2.1025641025641026,0.10256410256410256,2.769230769230769,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21
Rob Diaz III,Cal Poly Humboldt,CCAA,G,74,Jr.,2024-25,2025-26,Long Beach State,29,956,32.96551724137931,181,350,0.517,42,115,0.365,61,80,0.763,465,16.03448275862069,17,92,109,3.7586206896551726,61,62,54,53,26,2.1379310344827585,1.8275862068965518,3.1724137931034484,0.5862068965517241,0.896551724137931,1.8620689655172413,0.5771428571428572,0.32857142857142857,1.1481481481481481,0.22857142857142856,0.6035825545171339,0.45941422594142256,19.456066945606693,4.560669456066946,2.594142259414226,2.217573221757322,1.0878661087866108,2.2594142259414225,https://humboldtathletics.com/sports/mens-basketball/roster/rob-diaz-iii/10223
Jailen Daniel-Dalton,San Francisco State,CCAA,W,78,Sr.,2023-24,2025-26,UC Riverside,31,900,29.032258064516128,135,287,0.47,33,87,0.379,62,87,0.713,365,11.774193548387096,72,134,206,6.645161290322581,71,50,64,29,19,1.6129032258064515,0.9354838709677419,4.32258064516129,2.3225806451612905,0.6129032258064516,2.064516129032258,0.5278745644599303,0.30313588850174217,0.78125,0.30313588850174217,0.5610550909985244,0.4325333333333333,16.22222222222222,9.155555555555555,2.2222222222222223,1.288888888888889,0.8444444444444444,2.8444444444444446,https://sfstategators.com/sports/mens-basketball/stats/2023-24
"De'Undrae Perteete, Jr.",Westmont,PacWest,F,77,So.,2024-25,2025-26,UC Riverside,29,1008,34.758620689655174,89,222,0.401,45,123,0.366,83,106,0.783,306,10.551724137931034,39,97,136,4.689655172413793,79,59,63,29,5,2.0344827586206895,1.0,3.3448275862068964,1.3448275862068966,0.1724137931034483,2.1724137931034484,0.5022522522522522,0.5540540540540541,0.9365079365079365,0.4774774774774775,0.5695354377605718,0.32900793650793647,12.142857142857142,5.396825396825397,2.3412698412698414,1.1507936507936507,0.1984126984126984,2.5,https://athletics.westmont.edu/sports/mens-basketball/roster/de-undrae-perteete/9474
Andrew Henderson,Cal State San Bernardino,CCAA,G,77,Sr.,2024-25,2025-26,UC Riverside,35,1183,33.8,222,472,0.47,59,161,0.366,101,128,0.789,604,17.257142857142856,62,176,238,6.8,102,53,75,50,31,1.5142857142857142,1.4285714285714286,5.0285714285714285,1.7714285714285714,0.8857142857142857,2.142857142857143,0.5328389830508474,0.3411016949152542,0.7066666666666667,0.2711864406779661,0.5716232586311326,0.5099915469146239,20.422654268808113,8.04733727810651,1.7920540997464074,1.6906170752324599,1.048182586644125,2.53592561284869,https://csusbathletics.com/sports/mens-basketball/stats/2024-25
Aniwaniwa Tait-Jones,Hawaii-Hilo,PacWest,W,78,Jr.,2022-23,2023-24,UC San Diego,23,753,32.73913043478261,144,309,0.466,7,27,0.259,110,157,0.701,405,17.608695652173914,36,175,211,9.173913043478262,43,80,77,27,9,3.4782608695652173,1.173913043478261,7.608695652173913,1.565217391304348,0.391304347826087,3.347826086956522,0.4773462783171521,0.08737864077669903,1.0389610389610389,0.5080906148867314,0.53560093101989,0.6043559096945551,21.51394422310757,11.208499335989377,4.249667994687915,1.4342629482071714,0.47808764940239046,4.090305444887118,https://hiloathletics.com/sports/mens-basketball/stats/2022-23
Tyler McGhie,Southern Nazarene,GAC,G,77,Jr.,2022-23,2023-24,UC San Diego,32,1021,31.90625,170,354,0.48,95,212,0.448,96,110,0.873,531,16.59375,13,106,119,3.71875,35,41,38,27,7,1.28125,0.84375,3.3125,0.40625,0.21875,1.1875,0.614406779661017,0.5988700564971752,1.0789473684210527,0.3107344632768362,0.6597912524850895,0.4313418217433888,20.80313418217434,4.662095984329089,1.6062683643486777,1.0577864838393731,0.2742409402546523,1.4887365328109696,https://snuathletics.com/sports/mens-basketball/stats/2022-23
