player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_source,position,height_in,weight_lbs,source_conf_power,destination_conf_power,conf_power_delta,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_ts_pct,source_three_rate,source_ft_rate,source_per,source_usg_pct,source_ws,source_bpm,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,big_west_games,big_west_games_started,big_west_mpg,big_west_minutes,big_west_minutes_share,big_west_ppg,big_west_rpg,big_west_apg,big_west_spg,big_west_bpg,big_west_topg,big_west_ts_pct,big_west_per,big_west_usg_pct,big_west_ws,big_west_ws_per_40,big_west_bpm,big_west_porpag,production_score,impact_score,outcome_tier,source_url,outcome_url
Miro Little,miro-little,Utah,utah,Big XII,D1,UC Santa Barbara,uc-santa-barbara,2025-26,2024-25,sports_reference_source_school_cache,G,75.0,195.0,45.35,29.37,-15.98,33,17.7,0.4425,5.3,3.2,2.9,0.9,0.2,1.5,0.337,0.31,0.755,0.416,0.46819787985865724,0.5,0.3,12.7,19.8,1.3,2.8,11.977401129943503,7.231638418079096,6.553672316384181,2.0338983050847457,0.4519774011299435,3.3898305084745766,18,18,28.6,514.8000000000001,0.7150000000000001,11.9,5.4,4.6,1.3,0.4,2.1,0.6182460515378222,21.1,21.4,2.3,0.18,5.7,3.06759,19.04,81.00694444444446,Big West impact starter,https://www.sports-reference.com/cbb/schools/utah/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html
Tyler McGhie,tyler-mcghie,Southern Nazarene,southern-nazarene,GAC,D2,UC San Diego,uc-san-diego,2023-24,2022-23,phase1_school_stats,G,77.0,190.0,16.46,29.59,13.129999999999999,32,31.90625,0.79765625,16.59375,3.71875,1.28125,0.84375,0.21875,1.1875,0.48,0.448,0.873,0.614406779661017,0.6597912524850895,0.5988700564971752,0.3107344632768362,,,,,20.80313418217434,4.662095984329089,1.6062683643486777,1.0577864838393731,0.2742409402546523,1.4887365328109696,23,0,28.6,657.8000000000001,0.7150000000000001,13.9,2.9,1.3,0.5,0.2,0.3,0.5811036789297659,19.2,22.6,2.7,0.162,4.0,3.37328,17.180000000000003,80.38194444444444,Big West impact starter,https://snuathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/tyler-mcghie-1.html
Chris Howell,chris-howell,Saint Mary's,saint-marys,West Coast,D1,UC San Diego,uc-san-diego,2024-25,2023-24,sports_reference_source_school_cache,G,78.0,195.0,34.66,30.41,-4.2499999999999964,31,10.5,0.2625,1.5,1.4,0.7,0.5,0.2,0.4,0.296,0.188,0.667,0.352,0.39978678038379534,0.5882352941176471,0.23529411764705885,6.9,11.5,0.8,-0.1,5.714285714285714,5.333333333333333,2.6666666666666665,1.9047619047619047,0.7619047619047619,1.5238095238095237,35,35,29.0,1015.0,0.725,5.6,3.8,3.0,2.2,0.3,1.1,0.5723630417007359,14.0,10.9,4.4,0.174,3.8,1.49028,11.559999999999999,80.32986111111111,Big West impact starter,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025.html
"Marqui Worthy, Jr.",marqui-worthy,Massachusetts,massachusetts,Atlantic 10,D1,UC Riverside,uc-riverside,2025-26,2024-25,sports_reference_source_school_cache,G,76.0,0.0,34.66,29.37,-5.289999999999996,31,18.2,0.45499999999999996,5.8,1.5,1.9,0.7,0.2,1.7,0.409,0.143,0.7,0.424,0.46744036105738235,0.2,0.29090909090909095,8.6,20.6,0.3,-5.1,12.747252747252748,3.296703296703297,4.175824175824176,1.5384615384615385,0.43956043956043955,3.7362637362637363,32,32,35.0,1120.0,0.875,16.4,4.7,3.0,1.3,0.3,3.3,0.5678670360110802,15.2,25.3,2.3,0.082,-0.8,,21.26,79.51388888888889,Big West starter/plus rotation,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html
Scotty Washington,scotty-washington,California Baptist,california-baptist,WAC,D1,Cal State Northridge,cal-state-northridge,2024-25,2023-24,sports_reference_source_school_cache,G,76.0,180.0,31.41,30.41,-1.0,33,21.0,0.525,8.5,1.6,0.5,0.2,0.3,0.8,0.394,0.397,0.796,0.508,0.5407124681933843,0.5694444444444444,0.20833333333333331,11.9,21.2,1.9,-0.1,16.19047619047619,3.0476190476190474,0.9523809523809523,0.38095238095238093,0.5714285714285714,1.5238095238095237,33,33,29.2,963.6,0.73,14.6,3.2,1.3,0.9,0.2,1.8,0.5542058912845429,14.7,24.1,3.1,0.128,0.3,2.17644,17.62,77.60416666666667,Big West starter/plus rotation,https://www.sports-reference.com/cbb/schools/california-baptist/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
Isaac Johnson,isaac-johnson,Utah State,utah-state,Mountain West,D1,Hawaii,hawaii,2025-26,2024-25,sports_reference_source_school_cache,C,84.0,240.0,37.82,29.37,-8.45,30,8.7,0.21749999999999997,3.7,1.7,0.3,0.4,0.2,0.4,0.435,0.333,0.722,0.527,0.5499405469678954,0.5483870967741935,0.1935483870967742,16.6,22.1,0.8,1.5,17.011494252873565,7.816091954022989,1.3793103448275863,1.8390804597701151,0.9195402298850576,1.8390804597701151,33,33,21.2,699.6,0.53,14.1,5.8,1.0,0.6,1.0,1.8,0.638124547429399,26.3,29.6,4.1,0.234,7.0,2.74427,19.080000000000002,77.43055555555556,Big West starter/plus rotation,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html
Derin Saran,derin-saran,Stanford,stanford,ACC,D1,UC Irvine,uc-irvine,2025-26,2024-25,sports_reference_cache,G,77.0,190.0,40.65,29.37,-11.279999999999998,5,4.0,0.1,0.6,0.6,0.2,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.4999999999999998,1.0,0.0,12.7,2.6,0.1,3.6,6.0,6.0,2.0,0.0,0.0,0.0,35,35,29.7,1039.5,0.7424999999999999,11.5,5.3,3.4,1.7,0.1,2.2,0.4713114754098361,14.0,23.6,2.8,0.108,0.2,0.44096,17.75,76.96180555555557,Big West starter/plus rotation,https://www.sports-reference.com/cbb/players/derin-saran-1.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2026.html
Leo Beath,leo-beath,Lynn,lynn,SSC,D2,UC San Diego,uc-san-diego,2025-26,2024-25,phase1_school_stats,F,80.0,215.0,14.22,29.37,15.15,30,30.333333333333332,0.7583333333333333,17.833333333333332,9.566666666666666,3.033333333333333,1.2,0.6,1.8,0.462,0.327,0.727,0.5167410714285714,0.5441858572707299,0.33482142857142855,0.22098214285714285,,,,,23.516483516483515,12.615384615384615,4.0,1.5824175824175826,0.7912087912087913,2.3736263736263736,34,33,30.1,1023.4000000000001,0.7525000000000001,12.2,5.1,1.6,1.2,0.4,1.5,0.538298623367455,15.0,21.5,3.0,0.118,0.0,0.859151,17.26,76.5625,Big West starter/plus rotation,https://lynnfightingknights.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/leo-beath-1.html
Hunter Erickson,hunter-erickson,Utah,utah,Big XII,D1,Hawaii,hawaii,2025-26,2024-25,sports_reference_source_school_cache,G,75.0,191.0,45.35,29.37,-15.98,33,17.8,0.445,3.8,1.6,1.5,0.5,0.3,0.8,0.4,0.347,0.821,0.532,0.5842558425584256,0.7586206896551725,0.27586206896551724,9.7,11.2,1.2,1.9,8.539325842696629,3.595505617977528,3.3707865168539324,1.1235955056179774,0.6741573033707865,1.797752808988764,33,33,31.4,1036.2,0.7849999999999999,8.4,3.8,3.9,0.8,0.5,2.4,0.5657327586206896,10.7,15.0,2.8,0.106,0.4,0.356699,13.500000000000002,76.54513888888889,Big West starter/plus rotation,https://www.sports-reference.com/cbb/schools/utah/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html
Josiah Davis,josiah-davis,Niagara,niagara,MAAC,D1,Cal State Northridge,cal-state-northridge,2025-26,2024-25,sports_reference_source_school_cache,G,75.0,190.0,25.17,29.37,4.199999999999999,22,27.8,0.6950000000000001,9.4,3.5,3.1,1.0,0.1,2.7,0.457,0.238,0.671,0.472,0.5231522707034728,0.13513513513513511,0.48648648648648646,12.6,23.4,0.7,-6.6,13.525179856115107,5.0359712230215825,4.460431654676259,1.4388489208633093,0.14388489208633093,3.884892086330935,34,34,33.4,1135.6,0.835,15.9,4.6,7.4,1.1,0.3,4.7,0.523577449947313,15.1,27.1,2.2,0.077,-1.6,1.90806,22.93,76.47569444444444,Big West starter/plus rotation,https://www.sports-reference.com/cbb/schools/niagara/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html
