target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Mountain West,2025-26,Fresno State,Cameron Faas,2025-26,Fresno State,MWC,SR,G,32,17,19.1,611.2,0.47750000000000004,5.3,2.3,0.3,0.5,0.1,0.5,0.395,0.371,0.9,0.541,0.5600169061707524,0.782608695652174,0.06521739130434782,9.1,0.554,13.9,0.5,0.8,1.3,0.085,0.4,https://www.sports-reference.com/cbb/players/cameron-faas-1.html
Mountain West,2025-26,Fresno State,Jac Mani,2025-26,Fresno State,MWC,JR,F,26,0,11.8,306.8,0.29500000000000004,6.0,2.7,0.4,0.2,0.2,0.9,0.45,0.3,0.68,0.513,0.5518763796909493,0.41304347826086957,0.41304347826086957,15.9,0.546,27.4,0.3,0.5,0.8,0.106,-0.7,https://www.sports-reference.com/cbb/players/jac-mani-1.html
Mountain West,2025-26,Fresno State,Jake Heidbreder,2025-26,Fresno State,MWC,SR,G,30,30,37.0,1110.0,0.925,17.0,2.8,2.3,1.4,0.1,2.0,0.407,0.319,0.901,0.497,0.5716976055959107,0.5625,0.3671875,15.4,0.565,23.3,1.9,1.4,3.3,0.119,2.9,https://www.sports-reference.com/cbb/players/jake-heidbreder-1.html
Mountain West,2022-23,Nevada,Hunter McIntosh,2022-23,Nevada,MWC,SR,G,6,0,15.2,91.19999999999999,0.38,2.3,0.8,1.7,0.0,0.0,0.5,0.211,0.333,1.0,0.316,0.3451380552220888,0.625,0.09374999999999999,3.1,0.351,13.7,0.0,0.1,0.0,0.014,-5.3,https://www.sports-reference.com/cbb/players/hunter-mcintosh-1.html
Mountain West,2022-23,Nevada,Jarod Lucas,2022-23,Nevada,MWC,SR,G,33,33,34.4,1135.2,0.86,17.0,2.6,1.4,0.4,0.0,1.1,0.413,0.378,0.863,0.511,0.5889689578713969,0.5206611570247934,0.4380165289256198,17.5,0.58,24.9,3.0,1.0,4.1,0.143,3.4,https://www.sports-reference.com/cbb/players/jarod-lucas-1.html
Mountain West,2022-23,Nevada,Tyler Powell,2022-23,Nevada,MWC,SO,G,33,0,9.3,306.90000000000003,0.2325,2.2,1.0,0.3,0.2,0.0,0.4,0.382,0.375,0.556,0.493,0.492831541218638,0.5714285714285714,0.14285714285714285,6.9,0.498,15.0,0.1,0.3,0.4,0.05,-0.9,https://www.sports-reference.com/cbb/players/tyler-powell-1.html
Mountain West,2023-24,Nevada,Tylan Pope,2023-24,Nevada,MWC,JR,F,21,0,9.5,199.5,0.2375,3.6,2.2,0.2,0.2,0.3,0.6,0.469,0.2,0.722,0.484,0.5300353356890459,0.16666666666666666,0.3,14.2,0.517,22.4,0.2,0.3,0.5,0.109,-2.4,https://www.sports-reference.com/cbb/players/tylan-pope-1.html
Mountain West,2024-25,Nevada,Brandon Love,2024-25,Nevada,MWC,SR,F,32,23,15.8,505.6,0.395,4.8,2.7,0.3,0.7,0.7,1.0,0.63,0.0,0.609,0.63,0.6349206349206349,0.0,0.6896551724137931,15.2,0.633,16.6,0.6,0.9,1.5,0.119,1.4,https://www.sports-reference.com/cbb/players/brandon-love-1.html
Mountain West,2024-25,Nevada,Chuck Bailey,2024-25,Nevada,MWC,SO,G,31,0,11.1,344.09999999999997,0.27749999999999997,2.4,1.3,0.3,0.2,0.1,0.5,0.408,0.32,0.5,0.461,0.46367851622874806,0.32,0.08,4.6,0.463,14.9,-0.2,0.4,0.2,0.022,-4.6,https://www.sports-reference.com/cbb/players/chuck-bailey-iii-1.html
Mountain West,2024-25,Nevada,Justin McBride,2024-25,Nevada,MWC,SO,F,33,3,18.5,610.5,0.4625,7.8,4.2,0.6,0.4,0.4,0.8,0.522,0.241,0.58,0.556,0.5603448275862069,0.28571428571428575,0.2380952380952381,18.3,0.561,22.9,1.0,0.9,1.9,0.127,2.6,https://www.sports-reference.com/cbb/players/justin-mcbride-2.html
Mountain West,2024-25,Nevada,Kobe Sanders,2024-25,Nevada,MWC,SR,G,33,32,31.7,1046.1,0.7925,15.8,3.9,4.5,1.1,0.3,1.8,0.46,0.342,0.795,0.515,0.5771478667445938,0.3157894736842105,0.45614035087719296,22.0,0.572,27.1,3.2,1.4,4.6,0.176,7.0,https://www.sports-reference.com/cbb/players/kobe-sanders-1.html
Mountain West,2024-25,Nevada,Xavier DuSell,2024-25,Nevada,MWC,SR,G,33,25,23.4,772.1999999999999,0.585,7.7,1.6,0.7,0.8,0.0,0.5,0.401,0.401,0.722,0.555,0.5645161290322581,0.7727272727272727,0.07575757575757576,11.4,0.563,17.1,1.0,0.8,1.8,0.095,1.4,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html
Mountain West,2025-26,Nevada,Corey Camper,2025-26,Nevada,MWC,SR,G,33,32,32.3,1065.8999999999999,0.8074999999999999,16.6,4.8,2.7,1.2,0.3,1.2,0.453,0.399,0.8,0.536,0.5775118285555246,0.40944881889763785,0.2992125984251969,21.0,0.574,25.0,2.9,1.4,4.4,0.163,8.1,https://www.sports-reference.com/cbb/players/corey-camper-jr-1.html
Mountain West,2025-26,Nevada,Elijah Price,2025-26,Nevada,MWC,SO,F,37,37,30.0,1110.0,0.75,12.8,8.5,1.1,1.2,1.7,1.9,0.443,0.355,0.733,0.463,0.577825929938606,0.10526315789473685,1.0394736842105263,20.9,0.565,22.7,2.2,2.3,4.5,0.162,4.9,https://www.sports-reference.com/cbb/players/elijah-price-1.html
Mountain West,2025-26,Nevada,Joel Armotrading,2025-26,Nevada,MWC,SR,C,21,10,16.9,354.9,0.4225,5.2,4.0,0.5,0.4,1.0,0.9,0.507,0.0,0.774,0.507,0.6046511627906976,0.0,0.78125,15.7,0.591,16.1,0.6,0.6,1.2,0.133,1.7,https://www.sports-reference.com/cbb/players/joel-armotrading-1.html
Mountain West,2025-26,Nevada,Tayshawn Comer,2025-26,Nevada,MWC,SR,G,37,36,25.2,932.4,0.63,11.0,1.8,3.6,0.9,0.0,2.0,0.383,0.351,0.797,0.442,0.5100148367952523,0.3369565217391305,0.391304347826087,13.8,0.503,26.3,0.9,1.1,2.0,0.085,0.9,https://www.sports-reference.com/cbb/players/tayshawn-comer-1.html
Mountain West,2022-23,UNLV,Elijah Harkless,2022-23,UNLV,MWC,SR,G,32,32,30.9,988.8,0.7725,19.1,5.1,3.4,1.6,0.2,2.8,0.414,0.286,0.778,0.471,0.5415060104332049,0.3972602739726027,0.47260273972602745,22.8,0.535,33.4,2.5,1.7,4.3,0.173,6.5,https://www.sports-reference.com/cbb/players/elijah-harkless-1.html
Mountain West,2022-23,UNLV,Elijah Parquet,2022-23,UNLV,MWC,SR,G,18,17,23.8,428.40000000000003,0.595,4.3,2.1,0.9,0.9,0.7,0.7,0.395,0.211,0.591,0.421,0.4547377326565144,0.2619047619047619,0.2857142857142857,8.3,0.445,11.6,0.1,0.6,0.7,0.063,-1.0,https://www.sports-reference.com/cbb/players/eli-parquet-1.html
Mountain West,2022-23,UNLV,Isaiah Cottrell,2022-23,UNLV,MWC,JR,F,1,0,8.0,8.0,0.2,5.0,2.0,0.0,0.0,0.0,0.0,0.333,1.0,1.0,0.5,0.6443298969072165,0.3333333333333333,0.6666666666666666,24.3,0.633,24.8,0.0,0.0,0.1,0.273,0.0,https://www.sports-reference.com/cbb/players/isaiah-cottrell-1.html
