target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Mountain West,2023-24,Fresno State,Enoch Boakye,enoch boakye,Arizona State,Pac-12,D1,2022-23,SO,C,6-10,240,19,3.2,0.7,0.7,0.1,0.1,0.2,0.2,.500,,.333,.500,https://www.sports-reference.com/cbb/players/enoch-boakye-1.html,https://www.sports-reference.com/cbb/players/enoch-boakye-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,Fresno State,Isaiah Pope,isaiah pope,Utah Tech,WAC,D1,2022-23,JR,G,6-5,200,33,28.3,13.1,4.0,2.6,1.1,0.1,2.9,.439,.425,.801,.525,https://www.sports-reference.com/cbb/players/isaiah-pope-1.html,https://www.sports-reference.com/cbb/players/isaiah-pope-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,Fresno State,Pierre Geneste,pierre geneste,Louisiana Tech,CUSA,D1,2022-23,FR,F,6-11,215,7,5.7,2.4,1.7,0.0,0.0,0.3,0.4,.857,,.556,.857,https://www.sports-reference.com/cbb/players/pierre-geneste-jr-1.html,https://www.sports-reference.com/cbb/players/pierre-geneste-jr-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,Fresno State,Xavier DuSell,xavier dusell,Wyoming,MWC,D1,2022-23,JR,G,6-4,190,31,26.0,8.0,2.6,0.5,0.7,0.1,0.6,.398,.422,.700,.549,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Fresno State,David Douglas,david douglas,Green Bay,Horizon,D1,2023-24,FR,G,6-5,195,28,22.3,8.5,2.3,0.8,0.5,0.2,1.4,.402,.371,.647,.540,https://www.sports-reference.com/cbb/players/david-douglas-jr-1.html,https://www.sports-reference.com/cbb/players/david-douglas-jr-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Fresno State,Mor Seck,mor seck,Hawaii,Big West,D1,2023-24,SO,C,7-1,230,19,12.9,4.0,2.9,0.0,0.1,1.1,0.7,.610,,.605,.610,https://www.sports-reference.com/cbb/players/mor-seck-1.html,https://www.sports-reference.com/cbb/players/mor-seck-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Fresno State,Cameron Faas,cameron faas,Kansas City,Summit,D1,2024-25,SR,G,6-6,215,32,28.3,9.7,3.8,0.8,1.0,0.2,0.9,.384,.356,.641,.507,https://www.sports-reference.com/cbb/players/cameron-faas-1.html,https://www.sports-reference.com/cbb/players/cameron-faas-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Fresno State,Jac Mani,jac mani,UC Davis,Big West,D1,2024-25,SO,F,6-9,217,10,5.5,2.2,1.2,0.1,0.0,0.1,0.1,.444,.300,.500,.528,https://www.sports-reference.com/cbb/players/jac-mani-1.html,https://www.sports-reference.com/cbb/players/jac-mani-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Fresno State,Jake Heidbreder,jake heidbreder,Clemson,ACC,D1,2024-25,JR,G,6-5,180,32,14.0,4.1,1.2,0.8,0.6,0.0,0.4,.404,.373,1.000,.532,https://www.sports-reference.com/cbb/players/jake-heidbreder-1.html,https://www.sports-reference.com/cbb/players/jake-heidbreder-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Nevada,Hunter McIntosh,hunter mcintosh,Elon,CAA,D1,2021-22,JR,G,6-2,185,32,33.0,13.3,2.6,2.8,0.6,0.0,2.4,.384,.377,.803,.499,https://www.sports-reference.com/cbb/players/hunter-mcintosh-1.html,https://www.sports-reference.com/cbb/players/hunter-mcintosh-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Nevada,Jarod Lucas,jarod lucas,Oregon State,Pac-12,D1,2021-22,JR,G,6-3,195,31,33.7,13.5,2.3,1.2,0.8,0.0,1.1,.415,.386,.871,.526,https://www.sports-reference.com/cbb/players/jarod-lucas-1.html,https://www.sports-reference.com/cbb/players/jarod-lucas-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Nevada,Tyler Powell,tyler powell,Seton Hall,Big East,D1,2021-22,FR,G,6-5,220,12,3.8,0.5,0.8,0.1,0.1,0.0,0.1,.500,.500,,.750,https://www.sports-reference.com/cbb/players/tyler-powell-1.html,https://www.sports-reference.com/cbb/players/tyler-powell-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,Nevada,Tylan Pope,tylan pope,Tulane,AAC,D1,2022-23,JR,F,6-6,220,30,19.2,6.5,4.4,0.3,1.0,1.3,0.6,.487,.259,.632,.533,https://www.sports-reference.com/cbb/players/tylan-pope-1.html,https://www.sports-reference.com/cbb/players/tylan-pope-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Nevada,Brandon Love,brandon love,Texas State,Sun Belt,D1,2023-24,JR,F,6-9,208,34,25.3,10.4,5.4,0.8,0.7,1.4,2.0,.549,,.530,.549,https://www.sports-reference.com/cbb/players/brandon-love-1.html,https://www.sports-reference.com/cbb/players/brandon-love-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Nevada,Chuck Bailey,chuck bailey,Evansville,MVC,D1,2023-24,FR,G,6-5,185,34,18.5,8.4,2.6,0.8,0.3,0.1,1.4,.409,.352,.813,.447,https://www.sports-reference.com/cbb/players/chuck-bailey-iii-1.html,https://www.sports-reference.com/cbb/players/chuck-bailey-iii-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Nevada,Justin McBride,justin mcbride,Oklahoma State,Big 12,D1,2023-24,FR,F,6-8,230,24,6.4,2.5,1.5,0.1,0.2,0.1,0.4,.521,.286,.211,.583,https://www.sports-reference.com/cbb/players/justin-mcbride-2.html,https://www.sports-reference.com/cbb/players/justin-mcbride-2.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Nevada,Kobe Sanders,kobe sanders,Cal Poly,Big West,D1,2023-24,SR,G,6-6,175,29,33.6,19.6,3.7,3.2,0.8,0.3,2.9,.459,.339,.874,.508,https://www.sports-reference.com/cbb/players/kobe-sanders-1.html,https://www.sports-reference.com/cbb/players/kobe-sanders-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Nevada,Xavier DuSell,xavier dusell,Fresno State,MWC,D1,2023-24,JR,G,6-4,190,33,32.2,11.5,2.1,0.5,0.6,0.1,0.7,.423,.395,.827,.573,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Nevada,Corey Camper,corey camper,UTEP,CUSA,D1,2024-25,SR,G,6-5,185,31,31.6,10.5,3.6,2.0,2.0,0.2,1.4,.400,.333,.778,.447,https://www.sports-reference.com/cbb/players/corey-camper-jr-1.html,https://www.sports-reference.com/cbb/players/corey-camper-jr-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Nevada,Elijah Price,elijah price,Fresno State,MWC,D1,2024-25,FR,F,6-9,195,32,30.8,10.5,8.3,1.0,1.3,1.3,2.1,.401,.105,.656,.409,https://www.sports-reference.com/cbb/players/elijah-price-1.html,https://www.sports-reference.com/cbb/players/elijah-price-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Nevada,Joel Armotrading,joel armotrading,UC Riverside,Big West,D1,2024-25,JR,C,6-10,225,33,21.9,5.8,6.5,0.5,0.4,1.2,0.9,.602,,.736,.602,https://www.sports-reference.com/cbb/players/joel-armotrading-1.html,https://www.sports-reference.com/cbb/players/joel-armotrading-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Nevada,Tayshawn Comer,tayshawn comer,Evansville,MVC,D1,2024-25,JR,G,6-1,190,32,36.0,16.2,3.7,4.1,1.2,0.2,3.3,.386,.304,.787,.443,https://www.sports-reference.com/cbb/players/tayshawn-comer-1.html,https://www.sports-reference.com/cbb/players/tayshawn-comer-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,UNLV,Elijah Harkless,elijah harkless,Oklahoma,Big 12,D1,2021-22,SR,G,6-3,195,26,29.0,10.0,4.1,1.7,1.3,0.2,2.2,.423,.323,.638,.493,https://www.sports-reference.com/cbb/players/elijah-harkless-1.html,https://www.sports-reference.com/cbb/players/elijah-harkless-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,UNLV,Elijah Parquet,elijah parquet,Colorado,Pac-12,D1,2021-22,SR,G,6-3,195,18,29.5,6.9,2.4,1.4,0.8,0.7,1.1,.443,.222,.750,.485,https://www.sports-reference.com/cbb/players/eli-parquet-1.html,https://www.sports-reference.com/cbb/players/eli-parquet-1.html,add_transfer_row_and_d1_source_stats
