priority,player_name,player_slug,source_school,source_school_slug,source_level,destination_school,destination_school_slug,first_big_west_season,expected_source_season,has_big_west_outcome,model_training_window,local_cache_status,recommended_next_step,current_missing_reason,source_url
2,"Cory Curtis, Jr.",cory-curtis-jr,Independence Community College,independence-community-college2,JUCO,Long Beach State,long-beach-state,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/cory-curtis-jr
2,Jamaal Unuakhalu,jamal-unuakhalu,Moorpark College,moorpark-college,JUCO,UC Davis,uc-davis,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/jamal-unuakhalu
2,Jake Davis,jake-davis2,West Valley College,west-valley-college,JUCO,Cal Poly,cal-poly,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/jake-davis2
2,Davis White,davis-white,College of the Sequoias,college-of-the-sequoias,JUCO,Cal State Fullerton,cal-state-fullerton,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/davis-white
2,Davius Loury,davius-loury,John A. Logan College,john-a.-logan-college,JUCO,Cal State Northridge,cal-state-northridge,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/davius-loury
2,Jai Chisolm,jai-chisolm,University of South Carolina Salkehatchie,university-of-south-carolina-salkehatchie,JUCO,Cal State Northridge,cal-state-northridge,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/jai-chisolm
2,Isaac Finlinson,isaac-finlinson,Snow College,snow-college2,JUCO,Hawaii,hawaii,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/isaac-finlinson
2,Christian Jones,christian-jones,Angelina College,angelina-college2,JUCO,Long Beach State,long-beach-state,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/christian-jones
2,Immanuel Lewis,immanuel-lewis,Atlantic Cape Community College,atlantic-cape-community-college,JUCO,Long Beach State,long-beach-state,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/immanuel-lewis
2,"Cyril Franklin, Jr.",cyril-franklin,College of Southern Nevada,college-of-southern-nevada,JUCO,UC Davis,uc-davis,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/cyril-franklin
2,Jonathan Noudjihidi,jonathan-noudjihidi,Coahoma Community College,coahoma-community-college,JUCO,UC Davis,uc-davis,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/jonathan-noudjihidi
2,E.J. Spillman,ej-spillman,College of the Sequoias,college-of-the-sequoias,JUCO,UC Riverside,uc-riverside,2025-26,2024-25,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/ej-spillman
4,Isaiah Moses,isaiah-moses,Alaska Anchorage,alaska-anchorage,D2,UC Riverside,uc-riverside,2022-23,2021-22,FALSE,TRUE,,manual_d2_school_page_or_confirm_no_stat_row,d2_source_row_not_in_phase1_school_stats,https://www.verbalcommits.com/players/isaiah-moses
4,Tom Mark,tom-mark,Tallahassee Community College,tallahassee-community-college2,JUCO,Cal State Bakersfield,cal-state-bakersfield,2022-23,2021-22,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/tom-mark
4,Keith Richard,keith-richard,South Plains College,south-plains-college2,JUCO,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/keith-richard
4,Zachary Visentin,zachary-visentin,Snow College,snow-college2,JUCO,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/zachary-visentin
4,Mezziah Oakman,mezziah-oakman,City College of San Francisco,city-college-of-san-francisco2,JUCO,UC Santa Barbara,uc-santa-barbara,2022-23,2021-22,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/mezziah-oakman
4,C.J. Hardy,cj-hardy,West Los Angeles College,west-los-angeles-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/cj-hardy
4,Cameron Clark,cam-clark,College of the Sequoias,college-of-the-sequoias,JUCO,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/cam-clark
4,LoLo Rudolph,lolo-rudolph,Hutchinson Community College,hutchinson-community-college2,JUCO,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/lolo-rudolph
4,B.J. Comer,bj-comer,Ranger College,ranger-college2,JUCO,Cal State Northridge,cal-state-northridge,2023-24,2022-23,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/bj-comer
4,Jalen Barbee,jalen-barbee,Cochise College,cochise-college,JUCO,Cal State Northridge,cal-state-northridge,2023-24,2022-23,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/jalen-barbee
4,Noah Williams,noah-williams2,Barton Community College,barton-community-college,JUCO,Cal State Northridge,cal-state-northridge,2023-24,2022-23,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/noah-williams2
4,Gavin Davis,gavin-davis,West Los Angeles College,west-los-angeles-college,JUCO,UC Riverside,uc-riverside,2023-24,2022-23,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/gavin-davis
4,Dylan Purnell,dylan-purnell,South Plains College,south-plains-college2,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,2023-24,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/dylan-purnell
4,Yesan Warren,yesan-warren,Frank Phillips College,frank-phillips-college2,JUCO,Cal State Fullerton,cal-state-fullerton,2024-25,2023-24,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/yesan-warren
4,Naceiar Kirksey,naceiar-kirksey,Monroe College,monroe-college2,JUCO,Cal State Northridge,cal-state-northridge,2025-26,2024-25,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/naceiar-kirksey
4,Ylan Esso-Essis,ylan-esso-essis,Modesto Junior College,modesto-junior-college,JUCO,UC Davis,uc-davis,2025-26,2024-25,FALSE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/ylan-esso-essis
