target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Atlantic 10,2023-24,Dayton,Javon Bennett,2023-24,Dayton,A-10,SO,G,31,28,28.6,886.6,0.7150000000000001,8.4,2.1,3.3,1.2,0.1,1.0,0.393,0.316,0.82,0.491,0.5398457583547558,0.6231884057971014,0.2898550724637681,14.4,0.535,17.0,1.8,1.1,2.9,0.131,3.5,https://www.sports-reference.com/cbb/players/javon-bennett-1.html
Atlantic 10,2023-24,Dayton,Nate Santos,2023-24,Dayton,A-10,JR,F,33,33,33.4,1102.2,0.835,11.7,6.3,1.5,0.7,0.2,1.4,0.471,0.418,0.75,0.564,0.6025957972805933,0.4457831325301205,0.38554216867469876,16.0,0.598,18.4,2.4,1.5,3.9,0.142,3.3,https://www.sports-reference.com/cbb/players/nate-santos-1.html
Atlantic 10,2024-25,Dayton,Jacob Conner,2024-25,Dayton,A-10,JR,F,28,2,12.1,338.8,0.3025,2.7,1.1,0.3,0.4,0.2,0.4,0.391,0.295,0.591,0.492,0.5090497737556562,0.6956521739130436,0.3478260869565218,7.6,0.51,13.4,0.1,0.3,0.5,0.057,-2.3,https://www.sports-reference.com/cbb/players/jacob-conner-1.html
Atlantic 10,2024-25,Dayton,Posh Alexander,2024-25,Dayton,A-10,SR,G,29,3,19.0,551.0,0.475,5.8,2.2,2.2,1.1,0.1,1.0,0.376,0.293,0.886,0.433,0.5034722222222222,0.3921568627450981,0.29411764705882354,14.4,0.494,19.1,0.7,0.7,1.4,0.102,2.4,https://www.sports-reference.com/cbb/players/posh-alexander-1.html
Atlantic 10,2024-25,Dayton,Zed Key,2024-25,Dayton,A-10,SR,F,32,16,19.2,614.4,0.48,8.8,3.8,0.3,0.3,1.0,0.9,0.584,0.0,0.791,0.584,0.6707317073170732,0.0,0.8333333333333334,22.6,0.655,21.0,2.1,0.7,2.9,0.187,3.2,https://www.sports-reference.com/cbb/players/zed-key-1.html
Atlantic 10,2025-26,Dayton,Bryce Heard,2025-26,Dayton,A-10,SO,G,36,6,18.5,666.0,0.4625,6.6,2.4,0.8,0.4,0.1,0.8,0.438,0.366,0.791,0.519,0.5939524838012958,0.4444444444444444,0.5333333333333333,12.4,0.582,18.2,1.0,1.0,1.9,0.116,0.0,https://www.sports-reference.com/cbb/players/bryce-heard-1.html
Atlantic 10,2025-26,Dayton,De'Shayne Montgomery,2025-26,Dayton,A-10,JR,G,36,36,30.6,1101.6000000000001,0.765,13.4,4.0,2.1,2.1,0.6,1.9,0.49,0.335,0.789,0.562,0.5982142857142858,0.42574257425742573,0.24752475247524752,18.8,0.59,22.7,1.6,2.3,3.9,0.143,5.8,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html
Atlantic 10,2025-26,Dayton,Jordan Derkack,2025-26,Dayton,A-10,SR,G,32,14,24.9,796.8,0.6224999999999999,9.2,4.8,2.5,1.2,0.1,1.7,0.366,0.276,0.722,0.409,0.5393996247654783,0.3103448275862069,1.0689655172413794,15.7,0.527,22.0,1.1,1.6,2.6,0.132,3.1,https://www.sports-reference.com/cbb/players/jordan-derkack-1.html
Atlantic 10,2025-26,Dayton,Keonte Jones,2025-26,Dayton,A-10,SR,F,37,37,30.2,1117.3999999999999,0.755,7.7,5.3,2.2,1.5,0.7,1.4,0.507,0.317,0.631,0.539,0.5718954248366013,0.2,0.509090909090909,14.1,0.563,14.3,1.3,2.2,3.5,0.126,3.6,https://www.sports-reference.com/cbb/players/keonte-jones-1.html
Atlantic 10,2022-23,Duquesne,Dae Dae Grant,2022-23,Duquesne,A-10,SR,G,33,33,32.6,1075.8,0.8150000000000001,15.5,4.6,2.5,1.2,0.1,1.6,0.393,0.403,0.873,0.506,0.5549985677456316,0.5634920634920635,0.24603174603174605,18.0,0.549,23.6,2.7,1.2,3.9,0.145,3.3,https://www.sports-reference.com/cbb/players/daedae-grant-1.html
Atlantic 10,2022-23,Duquesne,Joseph Reece,2022-23,Duquesne,A-10,SR,F,29,27,18.4,533.5999999999999,0.45999999999999996,9.6,4.7,1.3,1.0,0.6,1.3,0.495,0.263,0.689,0.52,0.5657708628005658,0.18840579710144928,0.5217391304347826,24.4,0.56,26.4,1.5,0.9,2.4,0.182,4.5,https://www.sports-reference.com/cbb/players/joseph-reece-1.html
Atlantic 10,2022-23,Duquesne,Tevin Brewer,2022-23,Duquesne,A-10,SR,G,29,26,25.2,730.8,0.63,7.5,1.6,3.2,0.6,0.0,1.1,0.407,0.44,0.733,0.518,0.526685393258427,0.49275362318840576,0.07246376811594203,11.9,0.526,16.0,1.2,0.5,1.7,0.093,-0.7,https://www.sports-reference.com/cbb/players/tevin-brewer-1.html
Atlantic 10,2023-24,Duquesne,Andrei Savrasov,2023-24,Duquesne,A-10,SR,F,20,12,16.5,330.0,0.4125,5.9,3.5,1.1,0.9,0.4,0.7,0.484,0.333,0.529,0.532,0.5414831130690162,0.2978723404255319,0.36170212765957444,18.8,0.536,19.3,0.6,0.6,1.2,0.151,5.7,https://www.sports-reference.com/cbb/players/andrei-savrasov-1.html
Atlantic 10,2023-24,Duquesne,Dusan Mahorcic,2023-24,Duquesne,A-10,SR,F,26,15,10.5,273.0,0.2625,4.5,2.0,0.5,0.2,0.2,0.7,0.528,0.0,0.632,0.528,0.5541871921182266,0.029411764705882356,0.4411764705882353,16.2,0.551,23.7,0.4,0.4,0.8,0.112,-1.0,https://www.sports-reference.com/cbb/players/dusan-mahorcic-1.html
Atlantic 10,2023-24,Duquesne,Fousseyni Drame,2023-24,Duquesne,A-10,SR,F,37,6,21.4,791.8,0.5349999999999999,6.9,5.7,1.1,0.7,0.4,1.1,0.483,0.456,0.655,0.556,0.5792478173270651,0.3061224489795918,0.48979591836734687,17.5,0.581,17.1,1.5,1.5,3.0,0.151,3.9,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html
