Player Name,Team,Conference,source_url,source_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct
Austin Amponsah,Caldwell,Central Athletic,https://caldwellathletics.com/sports/mens-basketball/stats,official_school_stats_page,"34.0 Amponsah, Austin  34 Amponsah, Austin 11 0.0 15 0 1 0.0 0 0 0.0 0 0 0.0 0 0.0 || 34.0 Amponsah, Austin  34 Amponsah, Austin 11 1.4 0.0 0.0 0.0 0.1 0.1 0.2 0.3 0.0 0.0 0.0",11.0,1.4,0.1272727272727272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0181818181818181,,0.3,,0.0,0.0,0.0272727272727272,,0.0,0.0,0.0,5.714285714285716,8.571428571428571,0.0,0.0,,,,,,
Manny Smith,Caldwell,Central Athletic,https://caldwellathletics.com/sports/mens-basketball/stats,official_school_stats_page,"11.0 Smith, Manny  11 Smith, Manny 3 0.0 6 0 1 0.0 0 0 0.0 0 0 0.0 0 0.0 || 11.0 Smith, Manny  11 Smith, Manny 3 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3 0.0 0.0",3.0,2.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.3,0.0,0.0,,0.0999999999999999,0.0,0.0,0.0,0.0,6.0,0.0,,,,,,
"Travis Reed, Jr.",Chestnut Hill,Central Athletic,https://griffinathletics.com/sports/mens-basketball/stats,official_school_stats_page,"0.0 Reed Jr., Travis  00 Reed Jr., Travis 3 1.0 34 4 10 0.4 1 3 0.333 6 6 1.0 15 5.0 || 0.0 Reed Jr., Travis  00 Reed Jr., Travis 3 11.3 0.4 0.333 1.0 0.7 0.0 0.7 0.3 0.3 0.0 5.0",3.0,11.3,3.766666666666667,0.4,10.0,0.4,0.333,3.0,0.333,1.0,6.0,1.0,5.0,1.6666666666666667,0.7,0.0,0.7,0.2333333333333333,,0.3,,0.3,0.0,0.0999999999999999,,0.0999999999999999,0.0,17.699115044247787,2.4778761061946897,1.0619469026548671,1.0619469026548671,0.0,,,,,,
Juelz Dickerson,Dominican NY,Central Athletic,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny?view=lineup,official_school_stats_page,13 Juelz  Dickerson Jr G/F 3 2 79 7-17 41.2 0-5 0.0 10-11 90.9 24 || 13 Juelz  Dickerson Jr G/F 3 2 2 15 17 3 4 9 3 || 13 Juelz  Dickerson Jr G/F 3 2 7 0 0.8,3.0,79.0,26.333333333333332,7.0,17.0,41.2,0.0,5.0,0.0,10.0,11.0,90.9,24.0,8.0,2.0,15.0,17.0,5.666666666666667,7.0,3.0,4.0,9.0,3.0,1.0,1.3333333333333333,3.0,1.0,12.151898734177216,8.607594936708862,1.518987341772152,4.556962025316456,1.518987341772152,2.0253164556962022,,,,,
Nathaniel Wooden,Dominican NY,Central Athletic,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny?view=lineup,official_school_stats_page,15 Nathaniel  Wooden r-Fr G 6 - 23 2-6 33.3 0-1 0.0 3-4 75.0 7 || 15 Nathaniel  Wooden r-Fr G 6 - 1 1 2 0 2 1 0 || 15 Nathaniel  Wooden r-Fr G 6 - 2 0 0.0,6.0,23.0,3.8333333333333335,2.0,6.0,33.3,0.0,1.0,0.0,3.0,4.0,75.0,7.0,1.1666666666666667,1.0,1.0,2.0,0.3333333333333333,2.0,0.0,2.0,1.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0,12.173913043478262,3.478260869565217,0.0,1.7391304347826084,0.0,3.478260869565217,,,,,
Jeremiah Williams,Dominican NY,Central Athletic,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny?view=lineup,official_school_stats_page,44 Jeremiah  Williams Fr 4 - 8 1-3 33.3 0-0 - 0-2 0.0 2 || 44 Jeremiah  Williams Fr 4 - 0 0 0 0 0 1 0 || 44 Jeremiah  Williams Fr 4 - 3 0 -,4.0,8.0,2.0,1.0,3.0,33.3,0.0,0.0,,0.0,2.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,10.0,0.0,0.0,5.0,0.0,0.0,,,,,
Peter Mauro,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"16.0 Mauro, Peter  16 Mauro, Peter 5 0.0 17 2 5 0.4 2 4 0.5 3 4 0.75 9 1.8 || 16.0 Mauro, Peter  16 Mauro, Peter 5 3.4 0.4 0.5 0.75 0.0 0.2 0.2 0.4 0.0 0.0 1.8 || #16 Mauro, Peter 5 2 2 1.0",5.0,3.4,0.6799999999999999,0.4,5.0,0.4,0.5,4.0,0.5,0.75,4.0,0.75,1.8,0.36,0.0,0.2,0.2,0.04,,2.0,2.0,0.0,0.0,0.4,0.4,0.0,0.0,21.176470588235293,2.3529411764705888,23.529411764705884,0.0,0.0,23.529411764705884,,,,,
Donovan Long,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"12.0 Long, Donovan  12 Long, Donovan 3 0.0 33 2 9 0.222 0 5 0.0 0 0 0.0 4 1.3 || 12.0 Long, Donovan  12 Long, Donovan 3 11.0 0.222 0.0 0.0 0.7 0.3 1.0 0.0 0.7 0.0 1.3",3.0,11.0,3.6666666666666665,0.222,9.0,0.222,0.0,5.0,0.0,0.0,0.0,0.0,1.3,0.4333333333333333,0.7,0.3,1.0,0.3333333333333333,,0.0,,0.7,0.0,0.0,,0.2333333333333333,0.0,4.727272727272728,3.636363636363636,0.0,2.5454545454545454,0.0,,,,,,
Tajamir Brown,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"5.0 Brown, Tajamir  05 Brown, Tajamir 8 0.0 27 1 6 0.167 0 2 0.0 3 4 0.75 5 0.6 || 5.0 Brown, Tajamir  05 Brown, Tajamir 8 3.4 0.167 0.0 0.75 0.0 0.3 0.3 0.4 0.1 0.0 0.6",8.0,3.4,0.425,0.167,6.0,0.167,0.0,2.0,0.0,0.75,4.0,0.75,0.6,0.075,0.0,0.3,0.3,0.0375,,0.4,,0.1,0.0,0.05,,0.0125,0.0,7.0588235294117645,3.5294117647058822,4.705882352941177,1.1764705882352942,0.0,,,,,,
Jordan Torres,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"7.0 Torres, Jordan  07 Torres, Jordan 5 0.0 14 1 6 0.167 0 4 0.0 0 0 0.0 2 0.4 || 7.0 Torres, Jordan  07 Torres, Jordan 5 2.8 0.167 0.0 0.0 0.4 0.0 0.4 0.0 0.0 0.0 0.4",5.0,2.8,0.5599999999999999,0.167,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,0.4,0.08,0.4,0.0,0.4,0.08,,0.0,,0.0,0.0,0.0,,0.0,0.0,5.714285714285715,5.714285714285715,0.0,0.0,0.0,,,,,,
