season,conference,level,power,source_file,source_url,source_column
2022-23,Southern Cal IAC,D2,-3.81,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Southland,D1,22.43,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,WAC,D1,33.13,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,West Coast,D1,36.74,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,ACC,D1,41.65,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,ASUN,D1,27.08,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,American,D1,35.59,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Atlantic 10,D1,35.42,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Big East,D1,43.06,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Big Ten,D1,43.67,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Big West,D1,29.59,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Big XII,D1,44.56,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,C-USA,D1,32.24,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,CCAA,D2,14.85,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Colonial,D1,29.14,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,GAC,D2,14.15,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,GLVC,D2,16.5,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Horizon,D1,27.17,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Ivy,D1,30.87,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,LSC,D2,17.1,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,MAAC,D1,26.62,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Missouri Valley,D1,33.86,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Mountain West,D1,38.07,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,PAC 12,D1,41.26,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,PacWest,D2,13.76,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Patriot League,D1,23.98,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,RMAC,D2,14.68,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,SEC,D1,42.64,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,SSC,D2,16.53,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,SWAC,D1,21.33,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Southern,D1,30.14,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,Southland,D1,23.36,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,United East,D2,-16.29,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,WAC,D1,31.41,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2023-24,West Coast,D1,34.66,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,ACC,D1,40.65,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,ASUN,D1,26.18,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,America East,D1,25.0,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
