first_wcc_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
2025-26,Gonzaga,Braeden Smith,2025-26,Gonzaga,WCC,SR,G,35,18,17.1,598.5,0.42750000000000005,5.1,2.2,3.6,1.0,0.0,1.1,0.467,0.333,0.805,0.529,0.575880758807588,0.38461538461538464,0.3076923076923077,17.2,0.569,15.9,1.2,1.5,2.7,0.181,7.1,https://www.sports-reference.com/cbb/players/braeden-smith-1.html
2025-26,Gonzaga,Jalen Warley,2025-26,Gonzaga,WCC,SR,G,33,17,21.8,719.4,0.545,7.1,4.8,2.1,1.5,0.3,0.9,0.566,0.0,0.652,0.566,0.5992572586090479,0.0,0.42000000000000004,18.7,0.586,15.6,1.6,2.1,3.6,0.202,8.4,https://www.sports-reference.com/cbb/players/jalen-warley-1.html
2025-26,Gonzaga,Steele Venters,2025-26,Gonzaga,WCC,SR,G,27,10,15.1,407.7,0.3775,5.0,1.3,1.0,0.6,0.1,0.6,0.386,0.367,0.833,0.544,0.5712979890310785,0.8571428571428571,0.09523809523809523,11.3,0.56,16.4,0.5,0.9,1.4,0.138,3.9,https://www.sports-reference.com/cbb/players/steele-venters-1.html
2025-26,Gonzaga,Tyon Grant-Foster,2025-26,Gonzaga,WCC,SR,G,35,6,21.5,752.5,0.5375,11.1,5.0,1.2,0.8,1.1,1.4,0.475,0.262,0.611,0.503,0.5386257763975155,0.22352941176470587,0.48235294117647054,20.0,0.53,26.8,1.2,2.1,3.3,0.175,5.9,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html
2022-23,Loyola Marymount,Justin Ahrens,2022-23,Loyola Marymount,WCC,SR,F,29,24,23.2,672.8,0.58,6.6,1.9,0.7,0.5,0.2,0.8,0.361,0.327,0.786,0.506,0.537459283387622,0.894736842105263,0.17543859649122806,8.9,0.53,15.2,0.7,0.5,1.2,0.071,-0.1,https://www.sports-reference.com/cbb/players/justin-ahrens-1.html
2022-23,Loyola Marymount,Michael Graham,2022-23,Loyola Marymount,WCC,JR,F,31,7,15.2,471.2,0.38,4.5,5.3,0.4,0.3,0.7,0.9,0.719,0.0,0.458,0.719,0.6918819188191883,0.0,0.27586206896551724,19.6,0.692,13.6,1.1,0.7,1.8,0.152,2.1,https://www.sports-reference.com/cbb/players/michael-graham-2.html
2022-23,Loyola Marymount,Rick Issanza,2022-23,Loyola Marymount,WCC,JR,C,28,24,16.0,448.0,0.4,3.6,4.2,0.3,0.2,1.0,1.2,0.623,0.0,0.455,0.623,0.5944517833553501,0.0,0.48,12.9,0.596,13.2,0.3,0.6,0.9,0.079,0.4,https://www.sports-reference.com/cbb/players/rick-issanza-1.html
2023-24,Loyola Marymount,Dominick Harris,2023-24,Loyola Marymount,WCC,JR,G,24,13,28.5,684.0,0.7125,14.3,3.3,1.0,0.5,0.1,1.9,0.429,0.448,0.783,0.554,0.5872207621550591,0.5504587155963303,0.2660550458715596,15.9,0.584,25.9,1.3,0.5,1.8,0.106,1.3,https://www.sports-reference.com/cbb/players/dominick-harris-1.html
2023-24,Loyola Marymount,Justice Hill,2023-24,Loyola Marymount,WCC,SR,G,23,20,29.2,671.6,0.73,11.2,1.9,4.2,0.5,0.1,1.9,0.41,0.363,0.784,0.489,0.5135730007336757,0.4313725490196079,0.15686274509803924,14.2,0.513,22.9,1.1,0.4,1.5,0.087,-1.7,https://www.sports-reference.com/cbb/players/justice-hill-1.html
2023-24,Loyola Marymount,Justin Wright,2023-24,Loyola Marymount,WCC,SR,G,29,12,26.4,765.5999999999999,0.6599999999999999,11.1,3.4,1.9,0.5,0.1,1.3,0.49,0.308,0.811,0.522,0.5637952052011378,0.20689655172413796,0.2988505747126437,16.4,0.563,22.2,1.6,0.6,2.2,0.114,0.6,https://www.sports-reference.com/cbb/players/justin-wright-2.html
2023-24,Loyola Marymount,Lars Thiemann,2023-24,Loyola Marymount,WCC,SR,F,31,25,21.3,660.3000000000001,0.5325,6.7,4.3,0.4,0.3,0.6,0.8,0.598,0.0,0.67,0.598,0.6417624521072798,0.0,0.7692307692307693,16.7,0.627,15.2,1.5,0.6,2.2,0.131,0.2,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html
2023-24,Loyola Marymount,Will Johnston,2023-24,Loyola Marymount,WCC,JR,G,31,20,28.9,895.9,0.7224999999999999,11.1,2.5,2.7,0.6,0.0,1.4,0.401,0.378,0.815,0.512,0.5415690866510539,0.5789473684210527,0.17894736842105263,13.8,0.54,21.2,1.6,0.6,2.2,0.099,-0.2,https://www.sports-reference.com/cbb/players/will-johnston-2.html
2024-25,Loyola Marymount,Caleb Stone-Carrawell,2024-25,Loyola Marymount,WCC,SR,G,32,30,28.8,921.6,0.72,13.4,2.4,1.4,0.6,0.2,1.6,0.46,0.348,0.716,0.525,0.5491803278688525,0.36936936936936937,0.22522522522522523,14.3,0.548,25.2,0.9,0.9,1.7,0.076,0.0,https://www.sports-reference.com/cbb/players/caleb-stone-carrawell-1.html
2024-25,Loyola Marymount,Jan Vide,2024-25,Loyola Marymount,WCC,SO,G,32,0,19.3,617.6,0.48250000000000004,6.3,2.9,2.4,0.7,0.3,1.8,0.472,0.222,0.731,0.478,0.5317353139770425,0.06,0.42000000000000004,12.9,0.526,21.2,0.2,0.9,1.1,0.069,-0.4,https://www.sports-reference.com/cbb/players/jan-vide-1.html
2024-25,Loyola Marymount,Jevon Porter,2024-25,Loyola Marymount,WCC,JR,F,31,30,30.9,957.9,0.7725,12.5,7.2,1.9,0.8,1.1,1.9,0.394,0.316,0.681,0.463,0.4992012779552716,0.43750000000000006,0.26785714285714285,15.5,0.492,24.5,0.6,1.5,2.2,0.09,1.3,https://www.sports-reference.com/cbb/players/jevon-porter-1.html
