first_wcc_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
2025-26,Pepperdine,Yonatan Levy,2025-26,Pepperdine,WCC,SO,F,32,28,20.4,652.8,0.51,5.2,4.2,1.7,0.8,0.2,1.4,0.455,0.319,0.762,0.511,0.5565068493150686,0.3658536585365854,0.3170731707317074,11.2,0.55,15.0,0.4,0.6,0.9,0.058,-2.7,https://www.sports-reference.com/cbb/players/yonatan-levy-1.html
2022-23,Portland,Alden Applewhite,2022-23,Portland,WCC,FR,F,32,5,17.5,560.0,0.4375,7.7,2.9,1.2,0.7,0.1,1.4,0.448,0.311,0.709,0.51,0.586890243902439,0.3958333333333333,0.8333333333333334,15.7,0.576,23.4,1.0,0.4,1.4,0.1,0.5,https://www.sports-reference.com/cbb/players/alden-applewhite-1.html
2022-23,Portland,Joey St. Pierre,2022-23,Portland,WCC,SR,C,20,9,9.2,184.0,0.22999999999999998,3.2,2.0,0.1,0.2,0.3,0.8,0.531,0.0,0.579,0.531,0.54421768707483,0.04,0.4,10.8,0.543,20.5,0.1,0.1,0.2,0.042,-6.0,https://www.sports-reference.com/cbb/players/joey-stpierre-1.html
2022-23,Portland,Wyatt Lowell,2022-23,Portland,WCC,JR,F,13,0,8.2,106.6,0.205,4.2,1.5,0.7,0.5,0.0,0.2,0.421,0.394,0.417,0.592,0.5687973997833152,0.8620689655172414,0.6206896551724138,19.7,0.557,24.8,0.3,0.1,0.4,0.147,-3.4,https://www.sports-reference.com/cbb/players/wyatt-lowell-1.html
2023-24,Portland,Alimamy Koroma,2023-24,Portland,WCC,SR,F,12,5,18.6,223.20000000000002,0.465,9.7,4.2,0.7,0.3,0.6,1.5,0.561,0.308,0.741,0.585,0.6208397337429595,0.16176470588235295,0.338235294117647,19.6,0.612,26.2,0.4,0.1,0.5,0.09,-3.2,https://www.sports-reference.com/cbb/players/alimamy-koroma-1.html
2023-24,Portland,Yuto Yamanouchi,2023-24,Portland,WCC,SO,C,12,11,20.1,241.20000000000002,0.5025000000000001,8.6,5.2,0.6,0.2,0.8,1.3,0.438,0.356,0.567,0.538,0.5512820512820512,0.5671641791044776,0.3731343283582089,15.4,0.546,23.5,0.2,0.1,0.4,0.063,-2.1,https://www.sports-reference.com/cbb/players/yuto-yamanouchi-1.html
2024-25,Portland,Jermaine Ballisager-Webb,2024-25,Portland,WCC,JR,C,29,8,10.3,298.70000000000005,0.2575,4.3,1.8,0.8,0.1,0.1,0.5,0.64,0.692,0.606,0.7,0.6971465629053177,0.15384615384615385,0.4230769230769231,17.7,0.689,17.9,0.8,0.1,0.9,0.124,0.7,https://www.sports-reference.com/cbb/players/jermaine-ballisager-webb-1.html
2024-25,Portland,Max Mackinnon,2024-25,Portland,WCC,JR,G,32,30,28.1,899.2,0.7025,14.5,4.8,3.2,0.7,0.3,2.3,0.467,0.407,0.887,0.522,0.5886651510230595,0.2641509433962264,0.3679245283018868,19.5,0.583,26.9,1.9,0.4,2.3,0.104,1.1,https://www.sports-reference.com/cbb/players/max-mackinnon-1.html
2024-25,Portland,Mezziah Oakman,2024-25,Portland,WCC,JR,C,13,2,9.5,123.5,0.2375,4.4,1.5,0.5,0.4,0.4,0.5,0.667,0.0,0.619,0.667,0.686641697877653,0.0,0.64,20.4,0.663,20.7,0.3,0.1,0.4,0.129,-6.5,https://www.sports-reference.com/cbb/players/mezziah-oakman-1.html
2025-26,Portland,James O'Donnell,2025-26,Portland,WCC,SO,F,34,23,22.4,761.5999999999999,0.5599999999999999,10.0,4.4,1.1,0.4,0.6,1.9,0.651,0.0,0.605,0.651,0.6582411795681937,0.0,0.5573770491803279,16.5,0.648,21.4,1.1,0.7,1.8,0.095,-1.1,https://www.sports-reference.com/cbb/players/james-odonnell-2.html
2025-26,Portland,Matus Hronsky,2025-26,Portland,WCC,SR,F,31,21,18.3,567.3000000000001,0.4575,5.6,2.0,0.9,0.5,0.2,1.0,0.409,0.308,0.905,0.5,0.5275056518462697,0.58,0.13999999999999999,9.2,0.528,17.1,0.1,0.4,0.6,0.041,-1.5,https://www.sports-reference.com/cbb/players/matus-hronsky-1.html
2025-26,Portland,Riley Parker,2025-26,Portland,WCC,SR,G,1,0,19.0,19.0,0.475,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.8,0.0,0.625,1.0,5.0,10.5,0.593,11.5,0.0,0.0,0.0,0.083,-1.5,https://www.sports-reference.com/cbb/players/riley-parker-1.html
2024-25,Saint Mary's,Ashton Hardaway,2024-25,St. Mary's (CA),WCC,SO,F,33,0,9.5,313.5,0.2375,2.1,1.2,0.4,0.3,0.2,0.3,0.354,0.31,0.917,0.454,0.48253676470588236,0.65,0.2,10.1,0.495,13.1,0.3,0.7,1.0,0.126,2.9,https://www.sports-reference.com/cbb/players/ashton-hardaway-1.html
2024-25,Saint Mary's,Paulius Murauskas,2024-25,St. Mary's (CA),WCC,SO,F,35,35,26.9,941.5,0.6725,12.1,7.7,1.3,0.6,0.4,1.2,0.447,0.292,0.743,0.496,0.5397930049964311,0.32653061224489793,0.32653061224489793,20.5,0.535,24.0,2.4,2.2,4.6,0.197,5.7,https://www.sports-reference.com/cbb/players/paulius-murauskas-1.html
2025-26,Saint Mary's,Tony Duckett,2025-26,St. Mary's (CA),WCC,SO,G,22,0,6.7,147.4,0.1675,3.1,0.5,0.4,0.3,0.3,0.4,0.412,0.308,0.92,0.451,0.5567528735632185,0.2608695652173913,0.47826086956521746,16.1,0.549,24.7,0.3,0.3,0.6,0.172,2.6,https://www.sports-reference.com/cbb/players/tony-duckett-2.html
2022-23,San Diego,Deven Dahlke,2022-23,San Diego,WCC,JR,G,21,5,11.2,235.2,0.27999999999999997,2.1,1.1,0.6,0.4,0.0,0.1,0.395,0.308,0.6,0.488,0.5028735632183908,0.6,0.1,8.8,0.496,10.2,0.3,0.0,0.3,0.048,-0.7,https://www.sports-reference.com/cbb/players/deven-dahlke-1.html
2022-23,San Diego,Eric Williams,2022-23,San Diego,WCC,SR,G,23,22,32.5,747.5,0.8125,14.6,9.3,2.3,1.3,0.3,2.3,0.43,0.359,0.742,0.48,0.5305232558139534,0.2833333333333333,0.3333333333333333,20.5,0.522,24.8,1.6,0.4,2.0,0.108,1.2,https://www.sports-reference.com/cbb/players/eric-williamsjr-1.html
2022-23,San Diego,Jaiden Delaire,2022-23,San Diego,WCC,SR,F,12,10,27.1,325.20000000000005,0.6775,9.2,5.3,1.2,1.2,0.8,1.7,0.453,0.471,0.615,0.495,0.5187189896256201,0.1772151898734177,0.27848101265822783,14.3,0.512,19.5,0.3,0.2,0.4,0.055,-1.5,https://www.sports-reference.com/cbb/players/jaiden-delaire-1.html
2022-23,San Diego,Nic Lynch,2022-23,San Diego,WCC,SR,C,31,6,10.5,325.5,0.2625,3.5,1.6,0.3,0.0,0.2,0.3,0.461,0.5,0.667,0.556,0.5689206762028608,0.37931034482758624,0.13793103448275862,12.6,0.565,16.0,0.6,-0.1,0.6,0.069,-1.0,https://www.sports-reference.com/cbb/players/nic-lynch-1.html
2022-23,San Diego,Seikou Sisoho Jawara,2022-23,San Diego,WCC,SR,G,27,23,29.4,793.8,0.735,10.6,2.6,2.8,0.9,0.1,2.2,0.455,0.377,0.818,0.541,0.5696474634565778,0.4534883720930233,0.186046511627907,13.3,0.568,19.5,1.0,0.0,1.0,0.051,-1.3,https://www.sports-reference.com/cbb/players/seikou-sisohojawara-1.html
2024-25,San Diego,Colby Brooks,2024-25,San Diego,WCC,SR,F,23,2,6.7,154.1,0.1675,2.7,2.0,0.2,0.1,0.1,0.4,0.431,0.333,0.607,0.441,0.49486803519061584,0.045454545454545456,0.5454545454545454,15.5,0.482,22.9,0.2,0.1,0.3,0.067,-2.4,https://www.sports-reference.com/cbb/players/colby-brooks-1.html
2025-26,San Diego,Assane Diop,2025-26,San Diego,WCC,JR,F,29,19,18.7,542.3,0.46749999999999997,5.7,5.2,1.3,0.3,0.4,1.3,0.496,0.419,0.593,0.564,0.5704563650920738,0.32608695652173914,0.1956521739130435,14.2,0.569,17.0,0.6,0.6,1.2,0.087,-3.5,https://www.sports-reference.com/cbb/players/assane-diop-2.html
2025-26,San Diego,Dominique Ford,2025-26,San Diego,WCC,SR,G,31,17,17.3,536.3000000000001,0.4325,5.6,2.2,0.8,1.0,0.0,0.7,0.409,0.229,0.764,0.446,0.5007153075822603,0.3125,0.375,12.4,0.5,18.5,0.4,0.5,0.9,0.07,-2.8,https://www.sports-reference.com/cbb/players/dominique-ford-1.html
2025-26,San Diego,Juan Sebastian Gorosito,2025-26,San Diego,WCC,SR,G,32,17,24.3,777.6,0.6075,10.5,2.7,2.2,1.1,0.1,1.3,0.4,0.382,0.833,0.519,0.5491631799163179,0.6292134831460674,0.16853932584269662,15.0,0.546,22.7,1.0,0.7,1.7,0.088,1.2,https://www.sports-reference.com/cbb/players/juan-sebastian-gorosito-1.html
2025-26,San Diego,Tim Moore,2025-26,San Diego,WCC,SR,F,31,10,14.9,461.90000000000003,0.3725,6.6,2.4,0.3,0.4,0.7,0.5,0.462,0.2,0.797,0.497,0.5559299191374663,0.35294117647058826,0.37254901960784315,16.6,0.548,22.0,0.7,0.4,1.2,0.101,-2.8,https://www.sports-reference.com/cbb/players/tim-moore-3.html
2025-26,San Diego,Toneari Lane,2025-26,San Diego,WCC,SR,G,33,17,26.8,884.4,0.67,11.3,2.0,0.7,0.6,0.1,0.7,0.436,0.44,0.85,0.582,0.6057032590051458,0.6590909090909091,0.13636363636363635,14.0,0.602,19.0,1.6,0.4,2.0,0.092,0.6,https://www.sports-reference.com/cbb/players/toneari-lane-1.html
2025-26,San Diego,Ty-Laur Johnson,2025-26,San Diego,WCC,JR,G,23,21,28.0,644.0,0.7,14.6,2.7,4.3,2.3,0.3,2.9,0.432,0.309,0.826,0.477,0.5317599067599068,0.2892561983471075,0.3057851239669422,18.5,0.527,30.2,0.7,0.8,1.5,0.093,1.3,https://www.sports-reference.com/cbb/players/ty-laur-johnson-2.html
2022-23,San Francisco,Marcus Williams,2022-23,San Francisco,WCC,JR,G,34,2,25.5,867.0,0.6375,7.8,3.2,2.8,0.9,0.1,1.7,0.41,0.408,0.74,0.502,0.529891304347826,0.44776119402985076,0.22388059701492538,12.2,0.528,17.7,1.1,0.8,1.9,0.089,0.4,https://www.sports-reference.com/cbb/players/marcus-williams-24.html
2022-23,San Francisco,Saba Gigiberia,2022-23,San Francisco,WCC,JR,F,31,12,9.9,306.90000000000003,0.2475,4.3,3.3,0.6,0.5,0.6,1.4,0.5,0.25,0.565,0.514,0.5295566502463055,0.11764705882352942,0.4411764705882353,18.2,0.528,27.3,0.1,0.6,0.7,0.092,-0.2,https://www.sports-reference.com/cbb/players/saba-gigiberia-1.html
2022-23,San Francisco,Toni Rocak,2022-23,San Francisco,WCC,SR,F,18,1,8.5,153.0,0.2125,2.3,1.6,0.6,0.4,0.2,1.2,0.389,0.333,0.458,0.431,0.4471228615863141,0.25,0.65,6.5,0.443,22.6,-0.3,0.2,-0.1,-0.016,-4.4,https://www.sports-reference.com/cbb/players/toni-rocak-1.html
2022-23,San Francisco,Tyrell Roberts,2022-23,San Francisco,WCC,SR,G,34,34,35.5,1207.0,0.8875,16.2,3.3,2.3,1.2,0.1,1.5,0.462,0.395,0.83,0.57,0.6061059563005088,0.5499999999999999,0.25833333333333336,18.3,0.603,21.1,3.5,1.1,4.5,0.149,4.4,https://www.sports-reference.com/cbb/players/tyrell-roberts-1.html
2023-24,San Francisco,Jonathan Mogbo,2023-24,San Francisco,WCC,JR,F,34,34,28.9,982.5999999999999,0.7224999999999999,14.2,10.1,3.6,1.6,0.8,1.8,0.636,0.0,0.692,0.636,0.6535346097201766,0.010526315789473684,0.3263157894736842,31.2,0.648,22.7,4.4,2.6,6.9,0.283,11.1,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html
2023-24,San Francisco,Malik Thomas,2023-24,San Francisco,WCC,JR,G,33,21,23.2,765.6,0.58,12.4,2.7,0.5,0.8,0.0,0.9,0.474,0.4,0.861,0.557,0.609996064541519,0.40909090909090906,0.35227272727272724,19.3,0.607,24.7,2.2,1.3,3.5,0.183,2.6,https://www.sports-reference.com/cbb/players/malik-thomas-2.html
2023-24,San Francisco,Mike Sharavjamts,2023-24,San Francisco,WCC,SO,F,34,34,25.0,850.0,0.625,7.7,3.0,2.7,0.9,0.4,1.4,0.424,0.36,0.824,0.513,0.5392156862745098,0.5074626865671642,0.14925373134328357,13.3,0.536,17.8,1.1,1.6,2.6,0.123,2.4,https://www.sports-reference.com/cbb/players/mike-sharavjamts-1.html
2023-24,San Francisco,Robby Beasley,2023-24,San Francisco,WCC,JR,G,17,0,10.1,171.7,0.2525,3.2,1.2,0.3,0.2,0.0,0.3,0.488,0.409,0.75,0.593,0.6182380216383307,0.52,0.08,11.3,0.601,14.9,0.3,0.3,0.5,0.124,-0.6,https://www.sports-reference.com/cbb/players/robby-beasley-1.html
2023-24,San Francisco,Stefan Todorovic,2023-24,San Francisco,WCC,JR,F,22,4,9.7,213.39999999999998,0.2425,3.8,1.5,0.4,0.3,0.0,0.4,0.4,0.289,0.882,0.493,0.5349099099099098,0.625,0.25,14.1,0.538,21.0,0.3,0.4,0.7,0.127,-2.0,https://www.sports-reference.com/cbb/players/stefan-todorovic-1.html
2024-25,San Francisco,Carlton Linguard,2024-25,San Francisco,WCC,SR,F,35,35,22.0,770.0,0.55,8.3,4.4,1.2,0.2,0.9,1.1,0.446,0.303,0.5,0.531,0.5293367346938775,0.554054054054054,0.13513513513513511,14.1,0.531,20.6,1.0,1.3,2.3,0.12,2.0,https://www.sports-reference.com/cbb/players/carlton-linguardjr-1.html
2024-25,San Francisco,Jason Rivera-Torres,2024-25,San Francisco,WCC,SO,G,33,0,7.8,257.4,0.195,2.4,2.3,0.4,0.3,0.3,0.5,0.347,0.185,0.656,0.38,0.43795620437956206,0.3478260869565218,0.4347826086956522,13.8,0.432,20.5,0.1,0.6,0.6,0.1,0.3,https://www.sports-reference.com/cbb/players/jason-rivera-torres-1.html
2025-26,San Francisco,Aidan Braccia,2025-26,San Francisco,WCC,JR,G,16,0,5.8,92.8,0.145,0.8,0.6,0.3,0.3,0.0,0.1,0.176,0.133,0.667,0.235,0.31347962382445144,0.8181818181818181,0.36363636363636365,1.8,0.302,12.2,-0.1,0.1,0.0,0.009,-11.4,https://www.sports-reference.com/cbb/players/aidan-braccia-1.html
2025-26,San Francisco,David Fuchs,2025-26,San Francisco,WCC,JR,F,29,19,24.0,696.0,0.6,12.7,7.8,1.4,0.5,0.3,1.9,0.517,0.303,0.645,0.539,0.5894912736724842,0.1375,0.7875,22.6,0.577,27.6,1.7,1.0,2.7,0.156,3.5,https://www.sports-reference.com/cbb/players/david-fuchs-1.html
2025-26,San Francisco,Guillermo Diaz Graham,2025-26,San Francisco,WCC,SR,F,33,19,17.2,567.6,0.43,5.2,3.2,1.3,0.5,0.5,0.8,0.417,0.375,0.691,0.524,0.5716798592788039,0.5789473684210527,0.4473684210526316,14.3,0.558,16.2,1.0,0.7,1.7,0.12,2.4,https://www.sports-reference.com/cbb/players/guillermo-diaz-graham-1.html
2025-26,San Francisco,Mookie Cook,2025-26,San Francisco,WCC,JR,F,25,5,20.8,520.0,0.52,7.6,4.2,1.5,0.7,0.8,1.7,0.444,0.397,0.714,0.524,0.5614657210401891,0.396551724137931,0.37931034482758624,14.6,0.56,21.1,0.4,0.8,1.2,0.094,2.2,https://www.sports-reference.com/cbb/players/mookie-cook-1.html
2025-26,San Francisco,Vukasin Masic,2025-26,San Francisco,WCC,SR,G,33,21,21.6,712.8000000000001,0.54,5.3,1.6,2.0,0.2,0.1,1.0,0.376,0.291,0.696,0.471,0.481118373275236,0.6346153846153846,0.1346153846153846,7.4,0.486,15.5,0.3,0.5,0.7,0.041,-2.7,https://www.sports-reference.com/cbb/players/vukasin-masic-1.html
2022-23,Santa Clara,Brandin Podziemski,2022-23,Santa Clara,WCC,SO,G,32,32,36.0,1152.0,0.9,19.9,8.8,3.7,1.8,0.5,2.3,0.483,0.438,0.771,0.571,0.6074481074481074,0.40277777777777773,0.3125,26.4,0.602,25.6,4.2,2.0,6.2,0.215,10.6,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html
2022-23,Santa Clara,Carlos Marshall,2022-23,Santa Clara,WCC,SR,G,3,0,19.3,57.900000000000006,0.48250000000000004,10.0,3.0,1.3,0.0,0.3,2.3,0.611,0.429,0.625,0.694,0.6956037840845853,0.3833333333333333,0.45,18.0,0.688,24.3,0.1,0.1,0.2,0.116,1.8,https://www.sports-reference.com/cbb/players/carlos-marshalljr-1.html
2023-24,Santa Clara,Adama Bal,2023-24,Santa Clara,WCC,JR,G,30,30,31.2,936.0,0.78,14.4,3.2,3.1,0.9,0.2,2.3,0.433,0.354,0.821,0.514,0.5758157389635317,0.4579439252336449,0.38317757009345793,16.0,0.568,23.5,2.0,1.1,3.1,0.132,1.3,https://www.sports-reference.com/cbb/players/adama-bal-1.html
2023-24,Santa Clara,Francisco Caffaro,2023-24,Santa Clara,WCC,SR,C,31,6,15.7,486.7,0.39249999999999996,4.5,3.9,1.4,0.3,0.4,1.1,0.653,0.0,0.615,0.653,0.6768953068592058,0.0,0.8750000000000001,17.6,0.652,14.0,1.1,0.7,1.8,0.148,3.3,https://www.sports-reference.com/cbb/players/francisco-caffaro-1.html
2023-24,Santa Clara,Jalen Benjamin,2023-24,Santa Clara,WCC,SR,G,29,12,13.6,394.4,0.33999999999999997,4.9,1.2,1.9,0.2,0.0,1.3,0.37,0.305,0.682,0.441,0.4841897233201581,0.45454545454545453,0.3409090909090909,9.0,0.48,23.3,0.1,0.4,0.5,0.051,-4.1,https://www.sports-reference.com/cbb/players/jalen-benjamin-1.html
2023-24,Santa Clara,Johnny O'Neil,2023-24,Santa Clara,WCC,JR,F,33,33,25.8,851.4,0.645,11.0,5.5,1.6,0.8,0.8,1.4,0.435,0.325,0.66,0.519,0.5390043120344963,0.5157894736842106,0.16842105263157894,17.0,0.532,22.2,1.5,1.4,2.9,0.135,4.2,https://www.sports-reference.com/cbb/players/johnny-oneil-1.html
2023-24,Santa Clara,Tyeree Bryan,2023-24,Santa Clara,WCC,JR,G,32,6,25.4,812.8,0.635,8.2,3.8,0.6,0.3,0.3,0.6,0.432,0.392,0.703,0.515,0.5305383022774327,0.41666666666666663,0.16666666666666666,12.0,0.531,16.0,1.3,0.9,2.1,0.105,0.7,https://www.sports-reference.com/cbb/players/tyeree-bryan-1.html
2024-25,Santa Clara,Carlos Stewart,2024-25,Santa Clara,WCC,SR,G,34,33,28.3,962.2,0.7075,12.3,2.5,2.9,1.3,0.1,1.6,0.459,0.394,0.814,0.572,0.608910891089109,0.5666666666666667,0.2777777777777778,17.0,0.606,20.5,2.3,1.3,3.6,0.15,5.1,https://www.sports-reference.com/cbb/players/carlos-stewart-1.html
2025-26,Santa Clara,Aleksandar Gavalyugov,2025-26,Santa Clara,WCC,SO,G,35,2,20.1,703.5,0.5025000000000001,9.0,1.9,2.7,0.5,0.0,1.4,0.399,0.358,0.72,0.516,0.5289139633286319,0.6463414634146342,0.08536585365853659,14.0,0.525,23.8,1.3,0.7,1.9,0.11,3.1,https://www.sports-reference.com/cbb/players/aleksandar-gavalyugov-1.html
2025-26,Santa Clara,Juan Reyna,2025-26,Santa Clara,WCC,SR,G,1,0,2.0,2.0,0.05,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-12.4,0.0,24.0,0.0,0.0,0.0,-0.322,0.0,https://www.sports-reference.com/cbb/players/juan-reyna-1.html
2025-26,Washington State,Eemeli Yalaho,2025-26,Washington State,WCC,JR,F,32,27,28.4,908.8,0.71,10.1,5.7,1.7,0.5,0.3,1.8,0.47,0.398,0.797,0.578,0.609903381642512,0.5405405405405405,0.27027027027027023,14.7,0.608,18.0,1.5,0.7,2.2,0.096,1.9,https://www.sports-reference.com/cbb/players/eemeli-yalaho-1.html
2025-26,Washington State,Emmanuel Ugbo,2025-26,Washington State,WCC,JR,F,22,6,18.1,398.20000000000005,0.4525,6.7,3.5,0.8,0.2,0.1,1.0,0.452,0.286,0.711,0.504,0.5509868421052632,0.36538461538461536,0.3846153846153846,12.3,0.543,20.1,0.4,0.3,0.7,0.074,-1.1,https://www.sports-reference.com/cbb/players/emmanuel-ugbo-1.html
2025-26,Washington State,Jerone Morton,2025-26,Washington State,WCC,JR,G,32,29,24.9,796.8,0.6224999999999999,7.8,1.9,2.6,0.8,0.2,1.2,0.438,0.388,0.82,0.518,0.5705090696313634,0.4166666666666667,0.31666666666666665,12.9,0.563,16.4,1.4,0.5,1.9,0.093,1.2,https://www.sports-reference.com/cbb/players/jerone-morton-1.html
2025-26,Washington State,Simon Hildebrandt,2025-26,Washington State,WCC,SR,F,32,2,14.5,464.0,0.3625,4.5,1.8,0.5,0.4,0.1,0.7,0.426,0.37,0.719,0.565,0.5859375,0.7352941176470589,0.29411764705882354,9.8,0.588,16.0,0.5,0.3,0.8,0.07,-1.0,https://www.sports-reference.com/cbb/players/simon-hildebrandt-1.html
2023-24,Portland,Vukasin Masic,2023-24,Portland,WCC,SR,G,32,32,32.4,1036.8,0.8099999999999999,12.5,4.2,2.9,0.7,0.0,2.0,0.469,0.403,0.763,0.554,0.589622641509434,0.42105263157894735,0.2631578947368421,14.6,0.582,20.4,1.5,0.2,1.7,0.064,-0.4,https://www.sports-reference.com/cbb/players/vukasin-masic-1.html
