status,player_name,source_school_dataset,source_season_dataset,source_profile_team_same_season,source_match,destination_school_dataset,first_big_west_season_dataset,destination_profile_team_same_season,destination_match,profile_url,profile_cache_path,source_url,outcome_url,notes
review,Modestas Kancleris,Creighton,2021-22,,,Cal State Bakersfield,2022-23,,,https://www.sports-reference.com/cbb/players/modestas-kancleris-1.html,,https://www.sports-reference.com/cbb/schools/creighton/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2023.html,player_profile_not_cached
review,Kobe Young,Boise State,2023-24,,,Cal State Fullerton,2024-25,,,https://www.sports-reference.com/cbb/players/kobe-young-1.html,,https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html,player_profile_not_cached
review,"Pierre Geneste, Jr.",Fresno State,2024-25,,,Cal State Bakersfield,2025-26,,,https://www.sports-reference.com/cbb/players/pierre-geneste-jr-1.html,,https://www.sports-reference.com/cbb/schools/fresno-state/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,player_profile_not_cached
review,Nils Cooper,Pepperdine,2023-24,,,UC Davis,2024-25,,,https://www.sports-reference.com/cbb/players/nils-cooper-2.html,,https://www.sports-reference.com/cbb/schools/pepperdine/men/2024.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2025.html,player_profile_not_cached
review,Julien Franklin,Oregon State,2020-21,,,Cal Poly,2021-22,,,https://www.sports-reference.com/cbb/players/julien-franklin-1.html,,https://www.sports-reference.com/cbb/schools/oregon-state/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html,player_profile_not_cached
review,Yacine Toumi,Seton Hall,2024-25,,,Hawaii,2025-26,,,https://www.sports-reference.com/cbb/players/yacine-toumi-1.html,,https://www.sports-reference.com/cbb/schools/seton-hall/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,player_profile_not_cached
review,Rikus Schulte,Davidson,2023-24,,,UC Riverside,2024-25,,,https://www.sports-reference.com/cbb/players/rikus-schulte-1.html,,https://www.sports-reference.com/cbb/schools/davidson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2025.html,player_profile_not_cached
review,"Carl Daughtery, Jr.",Central Arkansas,2023-24,,,UC Davis,2024-25,,,,,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html,https://ucdavisaggies.com/sports/mens-basketball/stats/2024-25,no_player_profile_link_found_in_cached_school_pages
review,Ryan Rapp,Washington State,2021-22,,,Hawaii,2022-23,,,https://www.sports-reference.com/cbb/players/ryan-rapp-1.html,,https://www.sports-reference.com/cbb/schools/washington-state/men/2022.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,player_profile_not_cached
review,Luka Tarlać,Utah,2023-24,,,Cal Poly,2024-25,,,https://www.sports-reference.com/cbb/players/luka-tarlac-1.html,,https://www.sports-reference.com/cbb/schools/utah/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2025.html,player_profile_not_cached
review,Nick Fleming,Southern Utah,2021-22,,,Cal Poly,2022-23,,,https://www.sports-reference.com/cbb/players/nick-fleming-1.html,,https://www.sports-reference.com/cbb/schools/southern-utah/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2023.html,player_profile_not_cached
review,"Shay Johnson, Jr.",San Diego State,2024-25,,,Long Beach State,2025-26,,,,,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html,https://longbeachstate.com/sports/mens-basketball/stats/2025-26,no_player_profile_link_found_in_cached_school_pages
review,Jasman Sangha,Texas A&M–Corpus Christi,2022-23,,,Cal State Northridge,2023-24,,,,,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html,no_player_profile_link_found_in_cached_school_pages
review,"John Square, Jr.",Fairleigh Dickinson,2021-22,,,Cal State Fullerton,2022-23,,,,,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,no_player_profile_link_found_in_cached_school_pages
review,Kaleb Brown,Missouri,2023-24,,,Cal State Fullerton,2024-25,,,https://www.sports-reference.com/cbb/players/kaleb-brown-1.html,,https://www.sports-reference.com/cbb/schools/missouri/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html,player_profile_not_cached
review,Isa Silva,Stanford,2022-23,,,Long Beach State,2023-24,,,,,https://www.sports-reference.com/cbb/schools/stanford/men/2023.html,https://longbeachstate.com/sports/mens-basketball/stats/2023-24,no_player_profile_link_found_in_cached_school_pages
review,Messiah Thompson,Alabama A&M,2022-23,,,Long Beach State,2023-24,,,,,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2024.html,no_player_profile_link_found_in_cached_school_pages
review,Aleks Szymczyk,Charlotte,2024-25,,,Cal State Northridge,2025-26,,,,,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,no_player_profile_link_found_in_cached_school_pages
review,Judson Martindale,Pacific,2023-24,,,Cal State Northridge,2024-25,,,https://www.sports-reference.com/cbb/players/judson-martindale-1.html,,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,player_profile_not_cached
review,Paul Bizimana,Eastern Illinois,2022-23,,,Cal Poly,2023-24,,,https://www.sports-reference.com/cbb/players/paul-bizimana-1.html,,https://www.sports-reference.com/cbb/schools/eastern-illinois/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,player_profile_not_cached
review,Jared Barnett,San Diego State,2022-23,,,Cal State Northridge,2023-24,,,https://www.sports-reference.com/cbb/players/jared-barnett-1.html,,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html,player_profile_not_cached
review,Isaac Spears,Montana State,2021-22,,,Cal Poly,2022-23,,,https://www.sports-reference.com/cbb/players/isaac-spears-1.html,,https://www.sports-reference.com/cbb/schools/montana-state/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2023.html,player_profile_not_cached
review,Jerome Palm,Valparaiso,2023-24,,,Hawaii,2024-25,,,https://www.sports-reference.com/cbb/players/jerome-palm-1.html,,https://www.sports-reference.com/cbb/schools/valparaiso/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,player_profile_not_cached
review,Jalen Myers,Norfolk State,2024-25,,,Hawaii,2025-26,,,https://www.sports-reference.com/cbb/players/jalen-myers-1.html,,https://www.sports-reference.com/cbb/schools/norfolk-state/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,player_profile_not_cached
review,Matija Svetozarević,Portland,2021-22,,,Hawaii,2022-23,,,https://www.sports-reference.com/cbb/players/matija-svetozarevic-1.html,,https://www.sports-reference.com/cbb/schools/portland/men/2022.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,player_profile_not_cached
