first_wcc_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2025-26,Oregon State,Stephen Olowoniyi,Southern Indiana,OVC,D1,2024-25,SO,F,30,27.0,13.9,6.8,0.5,0.9,1.1,1.8,.591,.000,.637,.591,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html,add_transfer_row_and_d1_source_stats
2025-26,Oregon State,Yaak Yaak,New Mexico State,CUSA,D1,2023-24,FR,F,15,3.7,0.5,0.7,0.1,0.0,0.1,0.3,.250,.000,.833,.250,https://www.sports-reference.com/cbb/players/yaak-yaak-1.html,add_transfer_row_and_d1_source_stats
2022-23,Pacific,Donovan Williams,Oklahoma State,Big 12,D1,2021-22,SO,G,9,10.4,3.1,1.6,0.2,0.7,0.0,0.4,.400,.444,.571,.500,https://www.sports-reference.com/cbb/players/donovan-williams-4.html,add_transfer_row_and_d1_source_stats
2022-23,Pacific,Jordan Ivy-Curry,UTSA,CUSA,D1,2021-22,SO,G,21,27.7,13.9,2.3,2.3,0.9,0.1,2.4,.347,.338,.804,.424,https://www.sports-reference.com/cbb/players/jordan-ivy-curry-1.html,add_transfer_row_and_d1_source_stats
2022-23,Pacific,Judson Martindale,Holy Cross,Patriot,D1,2021-22,SO,G,31,24.1,8.2,3.3,0.9,0.6,0.6,1.8,.400,.339,.714,.489,https://www.sports-reference.com/cbb/players/judson-martindale-1.html,add_transfer_row_and_d1_source_stats
2022-23,Pacific,Keylan Boone,Oklahoma State,Big 12,D1,2021-22,JR,G,27,17.9,6.0,3.3,0.5,0.6,0.5,0.9,.369,.316,.833,.490,https://www.sports-reference.com/cbb/players/keylan-boone-1.html,add_transfer_row_and_d1_source_stats
2022-23,Pacific,Tyler Beard,Georgetown,Big East,D1,2021-22,FR,G,30,12.3,3.0,1.4,1.3,0.3,0.1,1.2,.333,.281,.743,.389,https://www.sports-reference.com/cbb/players/tyler-beard-1.html,add_transfer_row_and_d1_source_stats
2023-24,Pacific,Burke Smith,Boise State,MWC,D1,2022-23,SO,F,10,3.4,0.9,1.1,0.1,0.1,0.0,0.0,.250,.250,.400,.292,https://www.sports-reference.com/cbb/players/burke-smith-1.html,add_transfer_row_and_d1_source_stats
2023-24,Pacific,Lesown Hallums,South Carolina State,MEAC,D1,2022-23,JR,G,24,26.5,10.6,3.2,2.0,1.0,0.3,2.5,.447,.405,.667,.486,https://www.sports-reference.com/cbb/players/lesown-hallums-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pacific,Elijah Fisher,DePaul,Big East,D1,2023-24,SO,G,32,31.8,10.2,3.8,1.4,0.8,0.3,1.6,.520,.263,.722,.541,https://www.sports-reference.com/cbb/players/elijah-fisher-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pacific,Jazz Gardner,Nevada,MWC,D1,2023-24,FR,C,20,6.5,2.5,2.0,0.2,0.1,0.2,0.5,.449,.182,.444,.469,https://www.sports-reference.com/cbb/players/jazz-gardner-1.html,add_transfer_row_and_d1_source_stats
