player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url
Colin Smith,colin-smith,UC Santa Barbara,uc-santa-barbara,2024-25,,
Isaiah Kerr,isaiah-kerr,Hawaii,hawaii,2025-26,,
B.J. Kolly,bj-kolly,UC Riverside,uc-riverside,2025-26,,
Justin Rochelin,justin-rochelin,UC San Diego,uc-san-diego,2024-25,,
Kyle Evans,kyle-evans,UC Irvine,uc-irvine,2024-25,,
Derrick Michael Xzavierro,derrick-michael-xzavierro,Long Beach State,long-beach-state,2024-25,,
Pierre Crockrell II,pierre-crockrell-ii,UC Irvine,uc-irvine,2022-23,,
Mahmoud Fofana,mahmoud-fofana,Cal State Northridge,cal-state-northridge,2023-24,,
Jacob Davison,jacob-davison,Cal Poly,cal-poly,2021-22,,
Tyler Beard,tyler-beard,Cal State Northridge,cal-state-northridge,2024-25,,
Jailen Daniel-Dalton,jailen-daniel-dalton2,UC Riverside,uc-riverside,2025-26,,
Zion Richardson,zion-richardson,Cal State Fullerton,cal-state-fullerton,2024-25,,
Donovan Oday,donovan-oday,Cal State Fullerton,cal-state-fullerton,2023-24,,
Kieves Turner,kieves-turner,UC Santa Barbara,uc-santa-barbara,2024-25,,
Emmanuel Tshimanga,emmanuel-tshimanga,UC San Diego,uc-san-diego,2022-23,,
Luke Turner,luke-turner,UC Riverside,uc-riverside,2022-23,,
Ethan Igbanugo,ethan-igbanugo,Cal State Northridge,cal-state-northridge,2022-23,,
Shaquil Bender,shaquil-bender,Long Beach State,long-beach-state,2025-26,,
Max Murrell,max-murrell,UC Santa Barbara,uc-santa-barbara,2024-25,,
A.J. George,aj-george,Cal State Bakersfield,cal-state-bakersfield,2025-26,,
Jaden Henderson,jaden-henderson,Cal State Fullerton,cal-state-fullerton,2025-26,,
Isaiah Lewis,isaiah-lewis2,Long Beach State,long-beach-state,2025-26,,
Bailey Nunn,bailey-nunn,Cal State Fullerton,cal-state-fullerton,2025-26,,
Marcus Greene,marcus-greene2,Hawaii,hawaii,2024-25,,
Kobe Young,kobe-young,Cal State Fullerton,cal-state-fullerton,2024-25,,
Garrison Wade,garrison-wade,Cal State Fullerton,cal-state-fullerton,2022-23,,
Modestas Kancleris,modestas-kancleris,Cal State Bakersfield,cal-state-bakersfield,2022-23,,
"Pierre Geneste, Jr.",pierre-geneste-jr,Cal State Bakersfield,cal-state-bakersfield,2025-26,,
Nils Cooper,nils-cooper,UC Davis,uc-davis,2024-25,,
Julien Franklin,julien-franklin,Cal Poly,cal-poly,2021-22,,
Cole Farrell,cole-farrell,Long Beach State,long-beach-state,2025-26,,
Maximo Milovich,maximo-milovich,UC San Diego,uc-san-diego,2024-25,,
Cameron Wilbon,cameron-wilbon,Cal State Bakersfield,cal-state-bakersfield,2023-24,,
Yacine Toumi,yacine-toumi,Hawaii,hawaii,2025-26,,
Grady Lewis,grady-lewis,Cal State Northridge,cal-state-northridge,2024-25,,
Rikus Schulte,rikus-schulte,UC Riverside,uc-riverside,2024-25,,
Fidelis Okereke,fidelis-okereke,Cal State Bakersfield,cal-state-bakersfield,2023-24,,
Christian Gray,christian-gray,Cal State Northridge,cal-state-northridge,2021-22,,
Ryan Rapp,ryan-rapp,Hawaii,hawaii,2022-23,,
Kaleb Brown,kaleb-brown,Cal State Fullerton,cal-state-fullerton,2024-25,,
Nick Fleming,nick-fleming,Cal Poly,cal-poly,2022-23,,
Jasman Sangha,jasman-sangha,Cal State Northridge,cal-state-northridge,2023-24,,
Messiah Thompson,messiah-thompson,Long Beach State,long-beach-state,2023-24,,
Cam Denson,cam-denson,Long Beach State,long-beach-state,2024-25,,
Judson Martindale,judson-martindale,Cal State Northridge,cal-state-northridge,2024-25,,
Dearon Tucker,dearon-tucker2,Cal State Northridge,cal-state-northridge,2022-23,,
Miloš Vićentić,milo-vienti,UC San Diego,uc-san-diego,2024-25,,
Beril Kabamba,beril-kabamba2,Cal State Fullerton,cal-state-fullerton,2023-24,,
Paul Bizimana,paul-bizimana,Cal Poly,cal-poly,2023-24,,
Caleb McCarty,caleb-mccarty,Cal State Bakersfield,cal-state-bakersfield,2025-26,,
Jalen Cooper,jalen-cooper,Cal State Fullerton,cal-state-fullerton,2023-24,,
Kieran Elliott,kieran-elliott,Cal Poly,cal-poly,2024-25,,
Denzel Hines,denzel-hines,UC Riverside,uc-riverside,2025-26,,
Ethan Menzies,ethan-menzies,Cal Poly,cal-poly,2024-25,,
Isaac Spears,isaac-spears,Cal Poly,cal-poly,2022-23,,
Ben Shtolzberg,ben-shtolzberg,UC Santa Barbara,uc-santa-barbara,2023-24,,
Dylan Godfrey,dylan-godfrey,UC Riverside,uc-riverside,2025-26,,
Jerome Palm,jerome-palm,Hawaii,hawaii,2024-25,,
Jared Barnett,jared-barnett2,Cal State Northridge,cal-state-northridge,2023-24,,
Jalen Myers,jalen-myers,Hawaii,hawaii,2025-26,,
Festus Ndumanya,festus-ndumanya,Cal State Northridge,cal-state-northridge,2024-25,,
Derek Sangster,derek-sangster,UC Davis,uc-davis,2024-25,,
Daniel Tobiloba,daniel-tobiloba,UC Riverside,uc-riverside,2025-26,,
