first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2021-22,Gonzaga,gonzaga,Chet Holmgren,chet holmgren,FR,C,7-0,195,https://www.sports-reference.com/cbb/players/chet-holmgren-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Drew Timme,drew timme,JR,F,6-10,235,https://www.sports-reference.com/cbb/players/drew-timme-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,2020-21,Gonzaga,WCC,D1,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Hunter Sallis,hunter sallis,FR,G,6-5,175,https://www.sports-reference.com/cbb/players/hunter-sallis-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Joe Few,joe few,FR,G,6-0,160,https://www.sports-reference.com/cbb/players/joe-few-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Julian Strawther,julian strawther,SO,G,6-7,205,https://www.sports-reference.com/cbb/players/julian-strawther-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,2020-21,Gonzaga,WCC,D1,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Kaden Perry,kaden perry,FR,F,6-9,225,https://www.sports-reference.com/cbb/players/kaden-perry-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Martynas Arlauskas,martynas arlauskas,JR,G,6-7,205,https://www.sports-reference.com/cbb/players/martynas-arlauskas-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Matthew Lang,matthew lang,SR,G,6-3,185,https://www.sports-reference.com/cbb/players/matthew-lang-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Nolan Hickman,nolan hickman,FR,G,6-2,185,https://www.sports-reference.com/cbb/players/nolan-hickman-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Rasir Bolton,rasir bolton,SR,G,6-3,185,https://www.sports-reference.com/cbb/players/rasir-bolton-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,2020-21,Iowa State,Big 12,D1,FALSE,,needs_prior_roster_cache
