first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2023-24,Loyola Marymount,loyola-marymount,Lars Thiemann,lars thiemann,SR,F,7-0,248,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,California,Pac-12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Noah Taitz,noah taitz,JR,G,6-3,185,https://www.sports-reference.com/cbb/players/noah-taitz-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Will Johnston,will johnston,JR,G,6-3,180,https://www.sports-reference.com/cbb/players/will-johnston-2.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Texas–Rio Grande Valley,WAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Loyola Marymount,loyola-marymount,Caleb Stone-Carrawell,caleb stone carrawell,SR,G,6-7,215,https://www.sports-reference.com/cbb/players/caleb-stone-carrawell-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Utah Valley,WAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Loyola Marymount,loyola-marymount,Jan Vide,jan vide,SO,G,6-6,200,https://www.sports-reference.com/cbb/players/jan-vide-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,UCLA,Pac-12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Loyola Marymount,loyola-marymount,Jevon Porter,jevon porter,JR,F,6-11,220,https://www.sports-reference.com/cbb/players/jevon-porter-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Pepperdine,WCC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Loyola Marymount,loyola-marymount,Jovan Ristic,jovan ristic,SO,F,6-5,205,https://www.sports-reference.com/cbb/players/jovan-ristic-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Did not play - redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2024-25,Loyola Marymount,loyola-marymount,Matar Diop,matar diop,SO,F,6-9,213,https://www.sports-reference.com/cbb/players/matar-diop-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Nebraska,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Loyola Marymount,loyola-marymount,MJ Amey,mj amey,SR,G,6-5,178,https://www.sports-reference.com/cbb/players/myron-mj-ameyjr-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,San Jose State,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Loyola Marymount,loyola-marymount,Jalen Shelley,jalen shelley,SO,F,6-8,190,https://www.sports-reference.com/cbb/players/jalen-shelley-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Southern California,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Loyola Marymount,loyola-marymount,Nakyel Shelton,nakyel shelton,SR,G,6-3,180,https://www.sports-reference.com/cbb/players/nakyel-shelton-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Eastern Illinois,OVC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Loyola Marymount,loyola-marymount,Rodney Brown,rodney brown,JR,G,6-6,180,https://www.sports-reference.com/cbb/players/rodney-brown-jr-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Virginia Tech,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Loyola Marymount,loyola-marymount,Rokas Jocius,rokas jocius,SR,C,6-10,260,https://www.sports-reference.com/cbb/players/rokas-jocius-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,UCF,Big 12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Loyola Marymount,loyola-marymount,Tanner Thomas,tanner thomas,SR,G,6-6,205,https://www.sports-reference.com/cbb/players/tanner-thomas-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Sacred Heart,MAAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Oregon State,oregon-state,Dez White,dez white,JR,G,6-2,176,https://www.sports-reference.com/cbb/players/dez-white-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Missouri State,MVC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Oregon State,oregon-state,Jorge Diaz Graham,jorge diaz graham,SR,F,6-11,190,https://www.sports-reference.com/cbb/players/jorge-diaz-graham-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Pittsburgh,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Oregon State,oregon-state,Malcolm Christie,malcolm christie,SR,G,6-5,185,https://www.sports-reference.com/cbb/players/malcolm-christie-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Oakland,Horizon,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Oregon State,oregon-state,Noah Amenhauser,noah amenhauser,JR,C,7-0,250,https://www.sports-reference.com/cbb/players/noah-amenhauser-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Coastal Carolina,Sun Belt,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Oregon State,oregon-state,Stephen Olowoniyi,stephen olowoniyi,JR,F,6-8,195,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Southern Indiana,OVC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Oregon State,oregon-state,Yaak Yaak,yaak yaak,JR,F,6-11,230,https://www.sports-reference.com/cbb/players/yaak-yaak-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2023-24,New Mexico State,CUSA,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Pacific,pacific,Cam Denson,cam denson,JR,F,6-7,210,https://www.sports-reference.com/cbb/players/cam-denson-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,TRUE,find_source_stats_or_review,possible_transfer
2022-23,Pacific,pacific,Donovan Williams,donovan williams,JR,G,6-5,200,https://www.sports-reference.com/cbb/players/donovan-williams-4.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Oklahoma State,Big 12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Pacific,pacific,Jordan Ivy-Curry,jordan ivy curry,JR,G,6-2,170,https://www.sports-reference.com/cbb/players/jordan-ivy-curry-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,UTSA,CUSA,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Pacific,pacific,Judson Martindale,judson martindale,JR,G,6-6,205,https://www.sports-reference.com/cbb/players/judson-martindale-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Holy Cross,Patriot,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Pacific,pacific,Keylan Boone,keylan boone,SR,G,6-8,200,https://www.sports-reference.com/cbb/players/keylan-boone-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Oklahoma State,Big 12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Pacific,pacific,Makai Richards,makai richards,FR,F,6-10,225,https://www.sports-reference.com/cbb/players/makai-richards-2.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Did not play - redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2022-23,Pacific,pacific,Tyler Beard,tyler beard,SO,G,6-2,180,https://www.sports-reference.com/cbb/players/tyler-beard-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Georgetown,Big East,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Pacific,pacific,Burke Smith,burke smith,JR,F,6-11,212,https://www.sports-reference.com/cbb/players/burke-smith-1.html,data/cache/sports_reference_wcc_schools/pacific_2024.html,not_on_previous_roster,cached,2022-23,Boise State,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Pacific,pacific,Lesown Hallums,lesown hallums,SR,G,6-2,180,https://www.sports-reference.com/cbb/players/lesown-hallums-1.html,data/cache/sports_reference_wcc_schools/pacific_2024.html,not_on_previous_roster,cached,2022-23,South Carolina State,MEAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Pacific,pacific,Andrew McKenna,andrew mckenna,SO,F,6-7,215,https://www.sports-reference.com/cbb/players/andrew-mckenna-1.html,data/cache/sports_reference_wcc_schools/pacific_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,TRUE,find_source_stats_or_review,possible_transfer
