target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
Mountain West,Isaih Moore,isaih moore,Southern Mississippi,CUSA,D1,Fresno State,2022-23,2021-22,F,6-10,205,27,28.5,0.7125,13.1,6.9,1.2,0.5,1.1,1.7,0.531,0.309,0.685,0.565,18.385964912280702,9.68421052631579,1.6842105263157894,0.7017543859649122,1.543859649122807,2.3859649122807016,20,16,24.4,488.0,0.61,11.5,7.3,0.9,0.9,0.8,1.6,0.5977130977130977,25.2,25.7,2.1,0.176,5.2,https://www.sports-reference.com/cbb/players/isaih-moore-1.html,https://www.sports-reference.com/cbb/players/isaih-moore-1.html
Mountain West,Enoch Boakye,enoch boakye,Arizona State,Pac-12,D1,Fresno State,2023-24,2022-23,C,6-10,240,19,3.2,0.08,0.7,0.7,0.1,0.1,0.2,0.2,0.5,0.0,0.333,0.5,8.75,8.75,1.25,1.25,2.5,2.5,29,26,22.7,658.3,0.5675,7.5,7.7,0.4,0.6,1.2,1.6,0.607976653696498,18.6,18.9,1.7,0.102,0.0,https://www.sports-reference.com/cbb/players/enoch-boakye-1.html,https://www.sports-reference.com/cbb/players/enoch-boakye-1.html
Mountain West,Isaiah Pope,isaiah pope,Utah Tech,WAC,D1,Fresno State,2023-24,2022-23,G,6-5,200,33,28.3,0.7075,13.1,4.0,2.6,1.1,0.1,2.9,0.439,0.425,0.801,0.525,18.51590106007067,5.6537102473498235,3.674911660777385,1.5547703180212014,0.1413427561837456,4.098939929328622,31,20,27.3,846.3000000000001,0.6825,9.2,3.4,1.5,1.0,0.0,1.6,0.5287356321839081,11.8,20.8,1.1,0.051,-1.0,https://www.sports-reference.com/cbb/players/isaiah-pope-1.html,https://www.sports-reference.com/cbb/players/isaiah-pope-1.html
Mountain West,Pierre Geneste,pierre geneste,Louisiana Tech,CUSA,D1,Fresno State,2023-24,2022-23,F,6-11,215,7,5.7,0.14250000000000002,2.4,1.7,0.0,0.0,0.3,0.4,0.857,0.0,0.556,0.857,16.842105263157894,11.929824561403509,0.0,0.0,2.1052631578947367,2.807017543859649,15,0,4.5,67.5,0.1125,0.5,0.9,0.0,0.0,0.3,0.2,0.3698224852071006,4.2,11.2,0.0,-0.008,-8.1,https://www.sports-reference.com/cbb/players/pierre-geneste-jr-1.html,https://www.sports-reference.com/cbb/players/pierre-geneste-jr-1.html
Mountain West,Xavier DuSell,xavier dusell,Wyoming,MWC,D1,Fresno State,2023-24,2022-23,G,6-4,190,31,26.0,0.65,8.0,2.6,0.5,0.7,0.1,0.6,0.398,0.422,0.7,0.549,12.307692307692308,4.0,0.7692307692307693,1.0769230769230769,0.15384615384615385,0.9230769230769231,33,33,32.2,1062.6000000000001,0.805,11.5,2.1,0.5,0.6,0.1,0.7,0.5987088713036234,12.4,17.4,2.1,0.077,0.2,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html
Mountain West,David Douglas,david douglas,Green Bay,Horizon,D1,Fresno State,2024-25,2023-24,G,6-5,195,28,22.3,0.5575,8.5,2.3,0.8,0.5,0.2,1.4,0.402,0.371,0.647,0.54,15.246636771300448,4.125560538116591,1.4349775784753362,0.8968609865470851,0.35874439461883406,2.5112107623318383,6,0,16.0,96.0,0.4,6.3,1.0,0.5,1.0,0.2,0.2,0.47155688622754494,12.8,21.4,0.2,0.066,2.2,https://www.sports-reference.com/cbb/players/david-douglas-jr-1.html,https://www.sports-reference.com/cbb/players/david-douglas-jr-1.html
Mountain West,Mor Seck,mor seck,Hawaii,Big West,D1,Fresno State,2024-25,2023-24,C,7-1,230,19,12.9,0.3225,4.0,2.9,0.0,0.1,1.1,0.7,0.61,0.0,0.605,0.61,12.403100775193797,8.992248062015504,0.0,0.31007751937984496,3.4108527131782944,2.1705426356589146,31,21,14.9,461.90000000000003,0.3725,2.9,3.3,0.1,0.2,0.5,0.5,0.46355498721227617,8.8,12.0,0.4,0.038,-4.7,https://www.sports-reference.com/cbb/players/mor-seck-1.html,https://www.sports-reference.com/cbb/players/mor-seck-1.html
Mountain West,Cameron Faas,cameron faas,Kansas City,Summit,D1,Fresno State,2025-26,2024-25,G,6-6,215,32,28.3,0.7075,9.7,3.8,0.8,1.0,0.2,0.9,0.384,0.356,0.641,0.507,13.710247349823321,5.371024734982332,1.1307420494699647,1.4134275618374559,0.2826855123674912,1.2720848056537102,32,17,19.1,611.2,0.47750000000000004,5.3,2.3,0.3,0.5,0.1,0.5,0.5600169061707524,9.1,13.9,1.3,0.085,0.4,https://www.sports-reference.com/cbb/players/cameron-faas-1.html,https://www.sports-reference.com/cbb/players/cameron-faas-1.html
Mountain West,Jac Mani,jac mani,UC Davis,Big West,D1,Fresno State,2025-26,2024-25,F,6-9,217,10,5.5,0.1375,2.2,1.2,0.1,0.0,0.1,0.1,0.444,0.3,0.5,0.528,16.0,8.727272727272727,0.7272727272727273,0.0,0.7272727272727273,0.7272727272727273,26,0,11.8,306.8,0.29500000000000004,6.0,2.7,0.4,0.2,0.2,0.9,0.5518763796909493,15.9,27.4,0.8,0.106,-0.7,https://www.sports-reference.com/cbb/players/jac-mani-1.html,https://www.sports-reference.com/cbb/players/jac-mani-1.html
Mountain West,Jake Heidbreder,jake heidbreder,Clemson,ACC,D1,Fresno State,2025-26,2024-25,G,6-5,180,32,14.0,0.35,4.1,1.2,0.8,0.6,0.0,0.4,0.404,0.373,1.0,0.532,11.714285714285714,3.4285714285714284,2.2857142857142856,1.7142857142857142,0.0,1.1428571428571428,30,30,37.0,1110.0,0.925,17.0,2.8,2.3,1.4,0.1,2.0,0.5716976055959107,15.4,23.3,3.3,0.119,2.9,https://www.sports-reference.com/cbb/players/jake-heidbreder-1.html,https://www.sports-reference.com/cbb/players/jake-heidbreder-1.html
