first_big_west_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,already_in_inbound_transfers,already_in_inbound_same_program,inbound_matched_first_big_west_season,inbound_source_school,inbound_source_level,model_ready_playable,model_source_level,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2025-26,Cal Poly,cal-poly,Jason Scott,jason scott,FR,G,6-4,190,https://www.sports-reference.com/cbb/players/jason-scott-4.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2025-26,Cal Poly,cal-poly,Jess Esso Essis,jess esso essis,FR,G,6-10,210,https://www.sports-reference.com/cbb/players/jess-esso-essis-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2025-26,Cal Poly,cal-poly,Troy Plumtree,troy plumtree,FR,F,6-6,215,https://www.sports-reference.com/cbb/players/troy-plumtree-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2021-22,Cal State Bakersfield,cal-state-bakersfield,Antavion Collum,antavion collum,JR,F,6-7,230,https://www.sports-reference.com/cbb/players/antavion-collum-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Brian Washington,brian washington,SO,G,6-6,235,https://www.sports-reference.com/cbb/players/brian-washington-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Cameron Smith,cameron smith,JR,F,6-7,205,https://www.sports-reference.com/cbb/players/cameron-smith-3.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Dalph Panopio,dalph panopio,FR,G,6-1,180,https://www.sports-reference.com/cbb/players/dalph-panopio-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,David Walker,david walker,JR,G,6-3,205,https://www.sports-reference.com/cbb/players/david-walker-11.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Grehlon Easter,grehlon easter,JR,G,6-3,180,https://www.sports-reference.com/cbb/players/grehlon-easter-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Ivan Reynolds,ivan reynolds,FR,G,6-4,200,https://www.sports-reference.com/cbb/players/ivan-reynolds-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Jack Schoemann,jack schoemann,JR,F,6-7,200,https://www.sports-reference.com/cbb/players/jack-schoemann-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Justin Edler-Davis,justin edler davis,SR,G,6-4,215,https://www.sports-reference.com/cbb/players/justin-edler-davis-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Justin McCall,justin mccall,SR,G,6-6,210,https://www.sports-reference.com/cbb/players/justin-mccall-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Kaleb Higgins,kaleb higgins,SO,G,5-10,155,https://www.sports-reference.com/cbb/players/kaleb-higgins-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,TRUE,TRUE,2021-22,Holmes Community College,JUCO,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
