player_name,player_slug,destination_school,destination_school_slug,destination_conference,destination_level,source_school,source_school_slug,source_conference,source_level,transfer_year,first_big_west_season,commit_date,signed_date,enrolled_date,target_event_type,target_event_date,source_event_type,source_event_date,pathway_type,position,height,weight,class,hs_grad_year,juco_flag,redshirt_flag,model_training_window,phase1_d2_transfer_match,phase1_model_training_eligible,phase1_review_status,source_url
Hosana Kitenge,hosana-kitenge,UC Santa Barbara,uc-santa-barbara,Big West,D1,Louisiana,louisiana,Sun Belt,D1,2025,2025-26,2025-04-28,2025-07-11,2025-09-20,COMMITMENT,2025-04-28,TRANSFER,2025-03-13,d1_big_west,Center,80,235,COLLEGE_SENIOR,2019,TRUE,TRUE,TRUE,FALSE,,,https://www.verbalcommits.com/players/hosana-kitenge
Marvin McGhee IV,marvin-mcghee-iv,UC Santa Barbara,uc-santa-barbara,Big West,D1,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,2025,2025-26,2025-05-21,2025-07-11,2025-09-20,COMMITMENT,2025-05-21,TRANSFER,2025-03-26,d1_big_west,Shooting Guard,79,200,COLLEGE_JUNIOR,2023,TRUE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/marvin-mcghee-iv
Miro Little,miro-little,UC Santa Barbara,uc-santa-barbara,Big West,D1,Utah,utah,Big XII,D1,2025,2025-26,2025-04-07,2025-08-12,2025-09-20,COMMITMENT,2025-04-07,TRANSFER,2025-03-24,d1_big_west,Point Guard,75,195,COLLEGE_JUNIOR,2023,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/miro-little
Anthony Moore,anthony-moore3,Cal Poly,cal-poly,Big West,D1,Weber State,weber-state,Big Sky,D1,2026,2026-27,2026-04-16,,,COMMITMENT,2026-04-16,TRANSFER,2026-04-07,d1_big_west,Shooting Guard,77,190,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/anthony-moore3
Bryce Cofield,bryce-cofield,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Cal State Fullerton,cal-state-fullerton,Big West,D1,2026,2026-27,2026-04-29,2026-05-27,,COMMITMENT,2026-04-29,TRANSFER,2026-04-10,d1_big_west,Shooting Guard,78,0,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/bryce-cofield
Cameron Barnes,cameron-barnes,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Illinois State,illinois-state,Missouri Valley,D1,2026,2026-27,,2026-05-29,,SIGNING,2026-05-29,TRANSFER,2026-04-17,d1_big_west,Power Forward,82,205,COLLEGE_SOPHOMORE,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/cameron-barnes
Chudi Dioramma,chudi-dioramma,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Arkansas State,arkansas-state,Sun Belt,D1,2026,2026-27,,2026-05-30,,SIGNING,2026-05-30,TRANSFER,2026-04-10,d1_big_west,Center,82,240,COLLEGE_SOPHOMORE,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/chudi-dioramma
E.J. Bryson,ej-bryson,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Azusa Pacific,azusa-pacific,PacWest,D2,2026,2026-27,2026-05-26,,,COMMITMENT,2026-05-26,TRANSFER,2026-03-17,d2_big_west,Shooting Guard,76,175,COLLEGE_JUNIOR,2023,TRUE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/ej-bryson
"Kjay Bradley, Jr.",kevin-bradley-jr,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,San Diego,san-diego,West Coast,D1,2026,2026-27,2026-05-14,2026-05-23,,COMMITMENT,2026-05-14,TRANSFER,2026-03-28,d1_big_west,Point Guard,73,0,COLLEGE_SENIOR,2022,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kevin-bradley-jr
Sean Pouedet,sean-pouedet,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Dayton,dayton,Atlantic 10,D1,2026,2026-27,,2026-05-23,,SIGNING,2026-05-23,TRANSFER,2026-04-07,d1_big_west,Point Guard,74,0,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/sean-pouedet
Zach Lee,zach-lee2,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Loyola University New Orleans,loyola-university-new-orleans,,NAIA,2026,2026-27,2026-04-20,,,COMMITMENT,2026-04-20,TRANSFER,2026-03-19,naia_big_west,Shooting Guard,76,0,COLLEGE_JUNIOR,2022,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/zach-lee2
Andrew McConnell,andrew-mcconnell,Cal State Fullerton,cal-state-fullerton,Big West,D1,Cumberland University,cumberland-university,,NAIA,2026,2026-27,2026-04-21,,,COMMITMENT,2026-04-21,TRANSFER,2026-04-21,naia_big_west,Point Guard,73,170,COLLEGE_JUNIOR,2021,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/andrew-mcconnell
Malcolm Bell,malcolm-bell,Cal State Fullerton,cal-state-fullerton,Big West,D1,Cal Poly Pomona,cal-poly-pomona,CCAA,D2,2026,2026-27,2026-04-22,,,COMMITMENT,2026-04-22,TRANSFER,2026-03-10,d2_big_west,Shooting Guard,77,0,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/malcolm-bell
Marley Zeller,marley-zeller,Cal State Fullerton,cal-state-fullerton,Big West,D1,Loyola Marymount,loyola-marymount,West Coast,D1,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-03-30,d1_big_west,Shooting Guard,77,190,COLLEGE_FRESHMAN,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/marley-zeller
Matthew Willenborg,matthew-willenborg,Cal State Fullerton,cal-state-fullerton,Big West,D1,Central Oklahoma,central-oklahoma,MIAA,D2,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-03-10,d2_big_west,Small Forward,79,189,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/matthew-willenborg
Rockwell Reynolds,rockwell-reynolds,Cal State Fullerton,cal-state-fullerton,Big West,D1,Citrus College,citrus-college2,,JUCO,2026,2026-27,,2026-05-04,,SIGNING,2026-05-04,ENROLLMENT,2025-09-06,juco_big_west,Power Forward,81,0,COLLEGE_SOPHOMORE,2023,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/rockwell-reynolds
Tiernan Stynes,tiernan-stynes,Cal State Fullerton,cal-state-fullerton,Big West,D1,Quincy,quincy,GLVC,D2,2026,2026-27,2026-03-30,,,COMMITMENT,2026-03-30,TRANSFER,2026-03-03,d2_big_west,Point Guard,78,180,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/tiernan-stynes
B.J. Omot,bj-omot,Cal State Northridge,cal-state-northridge,Big West,D1,California,california,ACC,D1,2026,2026-27,2026-05-01,,,COMMITMENT,2026-05-01,TRANSFER,2026-03-23,d1_big_west,Small Forward,80,175,COLLEGE_SENIOR,2022,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/bj-omot
Brooklyn Hicks,brooklyn-hicks,Cal State Northridge,cal-state-northridge,Big West,D1,Montana,montana,Big Sky,D1,2026,2026-27,2026-04-22,,,COMMITMENT,2026-04-22,TRANSFER,2026-03-26,d1_big_west,Shooting Guard,75,190,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/brooklyn-hicks
Caleb Smith,caleb-smith,Cal State Northridge,cal-state-northridge,Big West,D1,Rider,rider,MAAC,D1,2026,2026-27,2026-04-29,,,COMMITMENT,2026-04-29,TRANSFER,2026-04-11,d1_big_west,Shooting Guard,77,205,COLLEGE_JUNIOR,2022,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/caleb-smith
Daniel Culberson,daniel-culberson,Cal State Northridge,cal-state-northridge,Big West,D1,Howard College,howard-college2,,JUCO,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,ENROLLMENT,2024-08-22,juco_big_west,Point Guard,72,0,COLLEGE_SOPHOMORE,2024,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/daniel-culberson
Jael Martin,jael-martin,Cal State Northridge,cal-state-northridge,Big West,D1,Loyola Marymount,loyola-marymount,West Coast,D1,2026,2026-27,2026-05-01,,,COMMITMENT,2026-05-01,TRANSFER,2026-04-17,d1_big_west,Power Forward,80,205,COLLEGE_FRESHMAN,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/jael-martin
Kéziah Ekissi,kziah-ekissi,Cal State Northridge,cal-state-northridge,Big West,D1,Oregon State,oregon-state,West Coast,D1,2026,2026-27,2026-05-07,,,COMMITMENT,2026-05-07,TRANSFER,2026-04-10,d1_big_west,Point Guard,75,210,COLLEGE_SOPHOMORE,2024,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kziah-ekissi
Mikah Ballew,mikah-ballew,Cal State Northridge,cal-state-northridge,Big West,D1,Portland,portland,West Coast,D1,2026,2026-27,2026-04-16,,,COMMITMENT,2026-04-16,TRANSFER,2026-03-16,d1_big_west,Shooting Guard,77,200,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/mikah-ballew
Bol Dengdit,bol-dengdit,Hawaii,hawaii,Big West,D1,UC San Diego,uc-san-diego,Big West,D1,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,TRANSFER,2026-04-07,d1_big_west,Power Forward,83,200,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/bol-dengdit
Chance Trujillo,chance-trujillo,Hawaii,hawaii,Big West,D1,Utah Tech,utah-tech,WAC,D1,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-04-01,d1_big_west,Point Guard,76,200,COLLEGE_SOPHOMORE,2021,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/chance-trujillo
Houran Dan,houran-dan,Hawaii,hawaii,Big West,D1,Seattle,seattle,West Coast,D1,2026,2026-27,2026-04-18,,,COMMITMENT,2026-04-18,TRANSFER,2026-04-07,d1_big_west,Center,82,228,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/houran-dan
Jaden Matingou,jaden-matingou,Hawaii,hawaii,Big West,D1,Point Loma Nazarene,point-loma-nazarene,PacWest,D2,2026,2026-27,2026-04-12,,,COMMITMENT,2026-04-12,TRANSFER,2026-03-28,d2_big_west,Shooting Guard,75,175,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/jaden-matingou
Kellen Hampton,kellen-hampton,Hawaii,hawaii,Big West,D1,Pacific,pacific,West Coast,D1,2026,2026-27,2026-04-20,2026-05-28,,COMMITMENT,2026-04-20,TRANSFER,2026-04-17,d1_big_west,Small Forward,79,0,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kellen-hampton
Manie Joses,mansie-joses,Hawaii,hawaii,Big West,D1,Davidson,davidson,Atlantic 10,D1,2026,2026-27,2026-04-28,,,COMMITMENT,2026-04-28,TRANSFER,2026-04-08,d1_big_west,Small Forward,79,190,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/mansie-joses
"Marcus Adams, Jr.",marcus-adams-jr,Hawaii,hawaii,Big West,D1,Arizona State,arizona-state,Big XII,D1,2026,2026-27,2026-04-12,,,COMMITMENT,2026-04-12,TRANSFER,2026-03-19,d1_big_west,Small Forward,80,195,COLLEGE_SOPHOMORE,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/marcus-adams-jr
