target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Atlantic 10,2023-24,Duquesne,Dusan Mahorcic,dusan mahorcic,NC State,ACC,D1,2022-23,SR,F,6-10,230,10,20.9,8.7,6.6,1.2,0.6,0.7,1.2,.643,,.577,.643,https://www.sports-reference.com/cbb/players/dusan-mahorcic-1.html,https://www.sports-reference.com/cbb/players/dusan-mahorcic-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,Duquesne,Fousseyni Drame,fousseyni drame,La Salle,A-10,D1,2022-23,SR,F,6-7,192,34,26.1,8.8,5.3,0.7,1.0,0.8,1.1,.430,.260,.613,.467,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,Duquesne,Hassan Drame,hassan drame,La Salle,A-10,D1,2022-23,SR,F,6-7,190,34,21.9,6.4,4.3,0.7,1.0,0.4,1.0,.367,.313,.674,.437,https://www.sports-reference.com/cbb/players/hassan-drame-1.html,https://www.sports-reference.com/cbb/players/hassan-drame-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Duquesne,Cameron Crawford,cameron crawford,Marshall,Sun Belt,D1,2023-24,SO,G,6-5,175,24,17.6,8.2,2.4,1.4,0.8,0.2,1.8,.372,.315,.721,.432,https://www.sports-reference.com/cbb/players/cameron-crawford-2.html,https://www.sports-reference.com/cbb/players/cameron-crawford-2.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Duquesne,Eli Wilborn,eli wilborn,Saint Francis (PA),NEC,D1,2023-24,FR,F,6-8,215,30,25.6,10.8,7.4,1.7,0.8,1.6,1.9,.540,.167,.560,.542,https://www.sports-reference.com/cbb/players/eli-wilborn-1.html,https://www.sports-reference.com/cbb/players/eli-wilborn-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Duquesne,Jahsean Corbett,jahsean corbett,Chicago State,Ind,D1,2023-24,JR,G,6-6,195,32,35.4,15.4,7.7,1.6,0.9,0.1,2.0,.459,.287,.695,.491,https://www.sports-reference.com/cbb/players/jahsean-corbett-1.html,https://www.sports-reference.com/cbb/players/jahsean-corbett-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Duquesne,Maximus Edwards,maximus edwards,George Washington,A-10,D1,2023-24,SO,G,6-5,215,31,28.0,12.4,6.6,1.2,0.7,0.4,2.2,.427,.358,.867,.508,https://www.sports-reference.com/cbb/players/maximus-edwards-2.html,https://www.sports-reference.com/cbb/players/maximus-edwards-2.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Duquesne,Tre Dinkins,tre dinkins,Canisius,MAAC,D1,2023-24,JR,G,6-2,190,32,35.1,15.4,2.7,3.6,1.0,0.3,2.4,.410,.365,.786,.512,https://www.sports-reference.com/cbb/players/tre-dinkins-1.html,https://www.sports-reference.com/cbb/players/tre-dinkins-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Duquesne,Alex Williams,alex williams,Furman,Southern,D1,2023-24,JR,F,6-5,205,25,27.0,13.2,4.8,1.0,0.7,0.0,1.7,.438,.399,.759,.552,https://www.sports-reference.com/cbb/players/alex-williams-3.html,https://www.sports-reference.com/cbb/players/alex-williams-3.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Duquesne,Jimmie Williams,jimmie williams,South Florida,AAC,D1,2024-25,SO,G,6-5,210,30,18.4,7.5,2.6,1.2,1.2,0.0,0.7,.464,.400,.750,.541,https://www.sports-reference.com/cbb/players/jimmie-williams-1.html,https://www.sports-reference.com/cbb/players/jimmie-williams-1.html,add_transfer_row_and_d1_source_stats
