first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status,source_school,source_conference,source_season,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,model_recommendation
2023-24,Loyola Marymount,loyola-marymount,Will Johnston,will johnston,JR,G,6-3,180,https://www.sports-reference.com/cbb/players/will-johnston-2.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Texas–Rio Grande Valley,WAC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Texas–Rio Grande Valley,WAC,2022-23,31,32.0,14.5,2.2,3.6,0.3,0.1,2.5,0.429,0.438,0.844,0.548,https://www.sports-reference.com/cbb/players/will-johnston-2.html,include_d1_transfer_after_outcome_stats
2024-25,Loyola Marymount,loyola-marymount,Caleb Stone-Carrawell,caleb stone carrawell,SR,G,6-7,215,https://www.sports-reference.com/cbb/players/caleb-stone-carrawell-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Utah Valley,WAC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Utah Valley,WAC,2023-24,32,27.7,11.7,3.4,1.6,0.3,0.2,1.6,0.397,0.339,0.702,0.458,https://www.sports-reference.com/cbb/players/caleb-stone-carrawell-1.html,include_d1_transfer_after_outcome_stats
2024-25,Loyola Marymount,loyola-marymount,Jan Vide,jan vide,SO,G,6-6,200,https://www.sports-reference.com/cbb/players/jan-vide-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,UCLA,Pac-12,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,UCLA,Pac-12,2023-24,24,7.3,1.9,0.8,0.5,0.2,0.0,0.4,0.38,0.667,0.75,0.4,https://www.sports-reference.com/cbb/players/jan-vide-1.html,include_d1_transfer_after_outcome_stats
2024-25,Loyola Marymount,loyola-marymount,Jevon Porter,jevon porter,JR,F,6-11,220,https://www.sports-reference.com/cbb/players/jevon-porter-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Pepperdine,WCC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Pepperdine,WCC,2023-24,21,31.5,16.2,5.9,1.7,0.8,1.0,1.7,0.425,0.298,0.772,0.474,https://www.sports-reference.com/cbb/players/jevon-porter-1.html,include_d1_transfer_after_outcome_stats
2024-25,Loyola Marymount,loyola-marymount,Matar Diop,matar diop,SO,F,6-9,213,https://www.sports-reference.com/cbb/players/matar-diop-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Nebraska,Big Ten,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Nebraska,Big Ten,2023-24,19,3.8,0.8,0.9,0.3,0.2,0.2,0.3,0.5,0.5,0.333,0.542,https://www.sports-reference.com/cbb/players/matar-diop-1.html,include_d1_transfer_after_outcome_stats
2024-25,Loyola Marymount,loyola-marymount,MJ Amey,mj amey,SR,G,6-5,178,https://www.sports-reference.com/cbb/players/myron-mj-ameyjr-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,San Jose State,MWC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,San Jose State,MWC,2023-24,32,32.8,15.7,5.1,3.1,1.6,0.3,1.9,0.425,0.362,0.792,0.51,https://www.sports-reference.com/cbb/players/myron-mj-ameyjr-1.html,include_d1_transfer_after_outcome_stats
2025-26,Loyola Marymount,loyola-marymount,Jalen Shelley,jalen shelley,SO,F,6-8,190,https://www.sports-reference.com/cbb/players/jalen-shelley-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Southern California,Big Ten,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Southern California,Big Ten,2024-25,22,7.6,2.0,1.4,0.5,0.2,0.3,0.2,0.385,0.176,0.55,0.423,https://www.sports-reference.com/cbb/players/jalen-shelley-1.html,include_d1_transfer_after_outcome_stats
2025-26,Loyola Marymount,loyola-marymount,Nakyel Shelton,nakyel shelton,SR,G,6-3,180,https://www.sports-reference.com/cbb/players/nakyel-shelton-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Eastern Illinois,OVC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Eastern Illinois,OVC,2024-25,29,34.0,17.0,4.6,2.0,1.6,0.8,2.6,0.432,0.363,0.82,0.496,https://www.sports-reference.com/cbb/players/nakyel-shelton-1.html,include_d1_transfer_after_outcome_stats
2025-26,Loyola Marymount,loyola-marymount,Rodney Brown,rodney brown,JR,G,6-6,180,https://www.sports-reference.com/cbb/players/rodney-brown-jr-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Virginia Tech,ACC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Virginia Tech,ACC,2024-25,18,15.1,4.1,2.1,1.8,0.2,0.1,0.9,0.375,0.424,0.545,0.472,https://www.sports-reference.com/cbb/players/rodney-brown-jr-1.html,include_d1_transfer_after_outcome_stats
2025-26,Loyola Marymount,loyola-marymount,Rokas Jocius,rokas jocius,SR,C,6-10,260,https://www.sports-reference.com/cbb/players/rokas-jocius-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,UCF,Big 12,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,UCF,Big 12,2024-25,25,8.6,2.0,1.6,0.3,0.0,0.2,0.4,0.42,0.154,0.714,0.44,https://www.sports-reference.com/cbb/players/rokas-jocius-1.html,include_d1_transfer_after_outcome_stats
