target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Mountain West,2023-24,Colorado State,colorado-state,Luke Murphy,luke murphy,FR,G,6-2,170,https://www.sports-reference.com/cbb/players/luke-murphy-3.html,data/cache/sports_reference_mwc_schools/colorado-state_2024.html,not_on_previous_roster,cached,2022-23,Did not play - redshirt,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2023-24,Colorado State,colorado-state,Nique Clifford,nique clifford,SR,G,6-5,175,https://www.sports-reference.com/cbb/players/nique-clifford-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2024.html,not_on_previous_roster,cached,2022-23,Colorado,Pac-12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2024-25,Colorado State,colorado-state,Bowen Born,bowen born,JR,G,5-11,170,https://www.sports-reference.com/cbb/players/bowen-born-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2025.html,not_on_previous_roster,cached,2023-24,Northern Iowa,MVC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2024-25,Colorado State,colorado-state,Ethan Morton,ethan morton,SR,G,6-6,215,https://www.sports-reference.com/cbb/players/ethan-morton-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2025.html,not_on_previous_roster,cached,2023-24,Purdue,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2024-25,Colorado State,colorado-state,Jaylen Crocker-Johnson,jaylen crocker johnson,SO,F,6-8,230,https://www.sports-reference.com/cbb/players/jaylen-crocker-johnson-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2025.html,not_on_previous_roster,cached,2023-24,Little Rock,OVC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2024-25,Colorado State,colorado-state,Keshawn Williams,keshawn williams,SR,G,6-3,175,https://www.sports-reference.com/cbb/players/keshawn-williams-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2025.html,not_on_previous_roster,cached,2023-24,Northern Illinois,MAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2024-25,Colorado State,colorado-state,Nikola Djapa,nikola djapa,SO,F,7-0,230,https://www.sports-reference.com/cbb/players/nikola-djapa-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2025.html,not_on_previous_roster,cached,2023-24,LIU,NEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2025-26,Colorado State,colorado-state,Augustinas Kiudulas,augustinas kiudulas,JR,F,6-8,215,https://www.sports-reference.com/cbb/players/augustinas-kiudulas-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2026.html,not_on_previous_roster,cached,2024-25,VMI,Southern,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2025-26,Colorado State,colorado-state,Brandon Rechsteiner,brandon rechsteiner,JR,G,6-1,185,https://www.sports-reference.com/cbb/players/brandon-rechsteiner-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2026.html,not_on_previous_roster,cached,2024-25,Virginia Tech,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2025-26,Colorado State,colorado-state,Carey Booth,carey booth,JR,F,6-10,203,https://www.sports-reference.com/cbb/players/carey-booth-2.html,data/cache/sports_reference_mwc_schools/colorado-state_2026.html,not_on_previous_roster,cached,2024-25,Illinois,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
