status,player_name,source_school_dataset,source_season_dataset,source_profile_team_same_season,source_match,destination_school_dataset,first_big_west_season_dataset,destination_profile_team_same_season,destination_match,profile_url,profile_cache_path,source_url,outcome_url,notes
ok,Trevon Taylor,James Madison,2020-21,James Madison,TRUE,Cal Poly,2021-22,Cal Poly,TRUE,https://www.sports-reference.com/cbb/players/trevon-taylor-1.html,data/cache/sports_reference_d1_profile_audit/trevon-taylor-1.html,https://www.sports-reference.com/cbb/schools/james-madison/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html,
ok,Andre Kelly,California,2021-22,Cal,TRUE,UC Santa Barbara,2022-23,UCSB,TRUE,https://www.sports-reference.com/cbb/players/andre-kelly-1.html,data/cache/sports_reference_d1_profile_audit/andre-kelly-1.html,https://www.sports-reference.com/cbb/schools/california/men/2022.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2023.html,
ok,Ty Johnson,Loyola Chicago,2021-22,Loyola (IL),TRUE,UC Davis,2022-23,UC Davis,TRUE,https://www.sports-reference.com/cbb/players/ty-johnson-3.html,data/cache/sports_reference_d1_profile_audit/ty-johnson-3.html,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2023.html,
ok,Bol Dengdit,Portland,2024-25,Portland,TRUE,UC San Diego,2025-26,UC San Diego,TRUE,https://www.sports-reference.com/cbb/players/bol-dengdit-1.html,data/cache/sports_reference_d1_profile_audit/bol-dengdit-1.html,https://www.sports-reference.com/cbb/schools/portland/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,
ok,Dailin Smith,Alabama A&M,2022-23,Alabama A&M,TRUE,Cal State Bakersfield,2025-26,Cal St Bakersfield,TRUE,https://www.sports-reference.com/cbb/players/dailin-smith-1.html,data/cache/sports_reference_d1_profile_audit/dailin-smith-1.html,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,
ok,J.P. Moorman II,Temple,2020-21,Temple,TRUE,UC Riverside,2021-22,UC Riverside,TRUE,https://www.sports-reference.com/cbb/players/jp-moorman-1.html,data/cache/sports_reference_d1_profile_audit/jp-moorman-1.html,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,
ok,Brayden Fagbemi,Central Arkansas,2024-25,Central Ark.,TRUE,UC Davis,2025-26,UC Davis,TRUE,https://www.sports-reference.com/cbb/players/brayden-fagbemi-1.html,data/cache/sports_reference_d1_profile_audit/brayden-fagbemi-1.html,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2025.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2026.html,
ok,Kyle Owens,Montana,2021-22,Montana,TRUE,UC Riverside,2022-23,UC Riverside,TRUE,https://www.sports-reference.com/cbb/players/kyle-owens-1.html,data/cache/sports_reference_d1_profile_audit/kyle-owens-1.html,https://www.sports-reference.com/cbb/schools/montana/men/2022.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2023.html,
ok,Gianni Hunt,Sacramento State,2022-23,Sacramento St.,TRUE,Cal State Northridge,2023-24,Cal St Northridge,TRUE,https://www.sports-reference.com/cbb/players/gianni-hunt-1.html,data/cache/sports_reference_d1_profile_audit/gianni-hunt-1.html,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html,
ok,Dre Bullock,South Dakota,2024-25,South Dakota,TRUE,Hawaii,2025-26,Hawaii,TRUE,https://www.sports-reference.com/cbb/players/quandre-bullock-1.html,data/cache/sports_reference_roster_diff_profiles/quandre-bullock-1.html,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html,https://hawaiiathletics.com/sports/mens-basketball/stats/2025-26,
