player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,pathway_type,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Isaiah Kerr,isaiah-kerr,Chico State,chico-state,CCAA,D2,Hawaii,hawaii,2025-26,d2_big_west,2025-26,Hawaii,Big West,JR,G,31,0,20.6,638.6,0.515,6.4,2.4,1.4,0.7,0.3,1.0,0.409,0.273,0.707,0.482,0.5215123859191656,0.5283018867924528,0.3584905660377358,10.9,0.519,16.8,0.5,1.3,1.8,0.113,0.4,https://www.sports-reference.com/cbb/players/isaiah-kerr-1.html
Rob Diaz III,robert-diaz,Cal Poly Humboldt,cal-poly-humboldt,CCAA,D2,Long Beach State,long-beach-state,2025-26,d2_big_west,2025-26,Long Beach State,Big West,,G,32,14,22.0,704.0,0.55,8.1,3.6,2.6,1.2,0.3,1.0,0.446,0.329,0.807,0.5,0.5405766150560598,0.3283582089552239,0.26865671641791045,16.8,0.539,19.3,1.0,1.1,2.1,0.118,2.8,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html
Andrew Henderson,andrew-henderson,Cal State San Bernardino,cal-state-san-bernardino,CCAA,D2,UC Riverside,uc-riverside,2025-26,d2_big_west,2025-26,UC Riverside,Big West,SR,G,32,29,33.3,1065.6,0.8324999999999999,18.1,4.9,2.0,0.9,0.8,2.1,0.408,0.339,0.795,0.495,0.5311032863849766,0.5096774193548387,0.22580645161290322,16.6,0.528,28.5,1.3,1.1,2.4,0.091,0.6,https://www.sports-reference.com/cbb/players/andrew-henderson-1.html
"De'Undrae Perteete, Jr.",deundrae-perteete,Westmont,westmont,PacWest,D2,UC Riverside,uc-riverside,2025-26,d2_big_west,2025-26,UC Riverside,Big West,,G,27,21,27.6,745.2,0.6900000000000001,6.7,3.2,2.4,0.9,0.2,0.9,0.46,0.416,0.727,0.587,0.6199111769059956,0.6170212765957447,0.3404255319148936,11.9,0.613,11.4,1.1,0.7,1.8,0.097,-1.2,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html
Jailen Daniel-Dalton,jailen-daniel-dalton2,San Francisco State,san-francisco-state,CCAA,D2,UC Riverside,uc-riverside,2025-26,d2_big_west,2025-26,UC Riverside,Big West,SR,F,26,17,23.2,603.1999999999999,0.58,6.0,4.0,0.9,0.6,0.5,1.0,0.458,0.179,0.684,0.488,0.5387931034482759,0.32608695652173914,0.47826086956521746,10.7,0.53,14.1,0.5,0.6,1.1,0.073,-2.6,https://www.sports-reference.com/cbb/players/jailen-daniel-dalton-1.html
Emanuel Prospere II,emanuel-prospere-ii,Missouri–St. Louis,missouri–st.-louis,GLVC,D2,UC San Diego,uc-san-diego,2025-26,d2_big_west,2025-26,UC San Diego,Big West,,F,28,22,22.1,618.8000000000001,0.5525,8.0,3.8,3.1,1.7,0.2,2.0,0.494,0.206,0.609,0.514,0.5333333333333333,0.18749999999999997,0.390625,16.2,0.534,21.7,0.4,1.5,1.9,0.122,1.2,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html
Leo Beath,leo-beath,Lynn,lynn,SSC,D2,UC San Diego,uc-san-diego,2025-26,d2_big_west,2025-26,UC San Diego,Big West,JR,F,34,33,30.1,1023.4000000000001,0.7525000000000001,12.2,5.1,1.6,1.2,0.4,1.5,0.429,0.329,0.74,0.5,0.538298623367455,0.4356435643564357,0.2772277227722772,15.0,0.533,21.5,1.0,2.0,3.0,0.118,0.0,https://www.sports-reference.com/cbb/players/leo-beath-1.html
Jacob Davison,jacob-davison,Eastern Washington,eastern-washington,Big Sky,D1,Cal Poly,cal-poly,2021-22,d1_big_west,,,,,G,7,5,27.1,189.70000000000002,0.6775,11.9,3.6,1.3,0.9,0.4,2.3,0.37,0.31,0.625,0.432,0.47891178364455894,0.39423076923076916,0.44230769230769224,13.2,0.471,29.4,0.0,0.2,0.2,0.051,-4.0,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html
Julien Franklin,julien-franklin,Oregon State,oregon-state,PAC 12,D1,Cal Poly,cal-poly,2021-22,d1_big_west,,,,,G,28,12,21.8,610.4,0.545,4.5,3.5,0.8,0.4,0.2,1.1,0.353,0.261,0.721,0.405,0.47268907563025214,0.39024390243902446,0.3658536585365854,7.2,0.458,14.6,0.0,0.7,0.7,0.046,-4.2,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html
Trevon Taylor,trevon-taylor,James Madison,james-madison,Sun Belt,D1,Cal Poly,cal-poly,2021-22,d1_big_west,,,,,G,27,26,30.2,815.4,0.755,9.0,5.6,1.0,0.7,0.3,1.8,0.477,0.339,0.809,0.537,0.6,0.35937499999999994,0.390625,13.4,0.587,16.7,1.0,1.1,2.1,0.102,-0.2,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html
Chance Hunter,chance-hunter,California Baptist,california-baptist,WAC,D1,Cal Poly,cal-poly,2022-23,d1_big_west,,,,,G,33,23,26.5,874.5,0.6625,8.2,4.3,0.9,0.7,0.2,1.5,0.37,0.316,0.735,0.457,0.4925516578567996,0.5405405405405405,0.28378378378378377,11.0,0.494,20.2,0.2,1.3,1.5,0.069,-1.6,https://www.sports-reference.com/cbb/schools/cal-poly/men/2023.html
Isaac Spears,isaac-spears,Montana State,montana-state,Big Sky,D1,Cal Poly,cal-poly,2022-23,d1_big_west,,,,,G,3,0,7.7,23.1,0.1925,3.3,0.7,0.7,0.0,0.0,1.0,0.556,0.0,0.0,0.556,0.5499999999999999,0.3333333333333333,0.0,11.1,0.556,28.4,0.0,0.0,0.0,0.009,-1.9,https://www.sports-reference.com/cbb/schools/cal-poly/men/2023.html
Nick Fleming,nick-fleming,Southern Utah,southern-utah,WAC,D1,Cal Poly,cal-poly,2022-23,d1_big_west,,,,,G,33,11,18.5,610.5,0.4625,3.9,2.0,1.5,0.9,0.0,1.1,0.333,0.282,0.684,0.411,0.4272567922874671,0.5581395348837209,0.13953488372093023,7.3,0.43,16.6,-0.3,0.9,0.6,0.04,-3.1,https://www.sports-reference.com/cbb/schools/cal-poly/men/2023.html
Cam Malray,cameron-malray,Dodge City Community College,dodge-city-community-college,,JUCO,Cal Poly,cal-poly,2023-24,juco_big_west,,,,,F,5,3,17.8,89.0,0.445,3.2,3.4,0.8,0.4,0.2,0.4,0.4,0.2,0.429,0.433,0.4424778761061947,0.3333333333333333,0.4666666666666666,8.7,0.437,12.1,0.0,0.1,0.1,0.046,-4.9,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html
Jarred Hyder,jarred-hyder,California,california,PAC 12,D1,Cal Poly,cal-poly,2023-24,d1_big_west,,,,,G,25,25,34.0,850.0,0.85,10.3,2.6,2.5,1.2,0.2,2.1,0.325,0.318,0.837,0.414,0.44986023759608673,0.5607476635514019,0.15887850467289721,8.8,0.447,21.2,-0.4,0.5,0.1,0.006,-4.5,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html
Joel Armotrading,joel-armotrading,College of Southern Idaho,college-of-southern-idaho,,JUCO,Cal Poly,cal-poly,2023-24,juco_big_west,,,,,C,30,11,19.4,582.0,0.485,5.0,4.8,0.4,0.4,1.3,1.1,0.543,0.0,0.59,0.543,0.577100646352724,0.0,0.9032258064516128,15.2,0.567,14.8,0.6,0.7,1.3,0.088,-4.3,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html
Paul Bizimana,paul-bizimana,Eastern Illinois,eastern-illinois,Ohio Valley,D1,Cal Poly,cal-poly,2023-24,d1_big_west,,,,,F,29,3,15.8,458.20000000000005,0.395,3.9,2.9,0.4,0.4,0.5,0.7,0.373,0.306,0.75,0.441,0.4746835443037975,0.4473684210526316,0.18421052631578946,10.0,0.469,16.0,0.0,0.4,0.4,0.038,-4.3,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html
Luka Tarlać,luka-tarla,Utah,utah,PAC 12,D1,Cal Poly,cal-poly,2024-25,d1_big_west,,,,,G,28,8,14.4,403.2,0.36,3.3,2.2,1.5,1.1,0.5,1.6,0.5,0.0,0.647,0.5,0.5449141347424042,0.08,0.48,11.2,0.534,15.4,-0.1,0.6,0.5,0.045,-0.7,https://www.sports-reference.com/cbb/schools/cal-poly/men/2025.html
Hamad Mousa,hamad-mousa,Dayton,dayton,Atlantic 10,D1,Cal Poly,cal-poly,2025-26,d1_big_west,,,,,G,32,30,31.3,1001.6,0.7825,20.4,6.3,2.0,1.0,0.4,2.5,0.443,0.372,0.878,0.539,0.6175829498667958,0.5182481751824818,0.4671532846715329,21.5,0.609,28.0,2.8,1.0,3.9,0.154,3.7,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html
Jake Davis,jake-davis2,West Valley College,west-valley-college,,JUCO,Cal Poly,cal-poly,2025-26,juco_big_west,,,,,G,32,18,21.1,675.2,0.5275000000000001,5.4,3.1,1.8,1.1,0.2,1.3,0.339,0.26,0.725,0.418,0.45980926430517716,0.6226415094339622,0.24528301886792456,8.7,0.453,15.8,0.0,0.7,0.7,0.042,-2.0,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html
Kaleb Higgins,kaleb-higgins,Holmes Community College,holmes-community-college,,JUCO,Cal State Bakersfield,cal-state-bakersfield,2021-22,juco_big_west,,,,,G,28,19,23.9,669.1999999999999,0.5974999999999999,9.5,1.8,2.3,0.9,0.0,1.1,0.351,0.294,0.758,0.407,0.4494700984102952,0.375,0.22916666666666669,14.0,0.445,25.4,0.8,0.7,1.5,0.09,-1.0,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2022.html
Marvin McGhee III,marvin-mcghee,South Georgia Technical College,south-georgia-technical-college,,JUCO,Cal State Bakersfield,cal-state-bakersfield,2022-23,juco_big_west,,,,,G,33,33,28.6,943.8000000000001,0.7150000000000001,8.7,2.8,0.7,0.7,0.1,1.4,0.432,0.401,0.854,0.553,0.58562197092084,0.6086956521739131,0.17391304347826086,10.4,0.58,17.1,0.9,1.1,2.0,0.084,-2.5,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2023.html
Modestas Kancleris,modestas-kancleris,Creighton,creighton,Big East,D1,Cal State Bakersfield,cal-state-bakersfield,2022-23,d1_big_west,,,,,F,18,4,19.4,349.2,0.485,5.8,5.8,1.1,0.5,1.1,1.9,0.505,0.294,0.308,0.532,0.5171184022824536,0.169811320754717,0.1320754716981132,15.1,0.519,21.4,-0.1,0.7,0.7,0.076,-3.8,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2023.html
Cameron Wilbon,cameron-wilbon,Sacramento State,sacramento-state,Big Sky,D1,Cal State Bakersfield,cal-state-bakersfield,2023-24,d1_big_west,,,,,G,32,15,20.3,649.6,0.5075000000000001,5.5,2.6,0.8,0.4,0.1,0.8,0.393,0.333,0.643,0.42,0.4514116874589626,0.15094339622641512,0.339622641509434,9.7,0.455,17.5,0.3,0.6,0.9,0.057,-3.7,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2024.html
Corey Stephenson,corey-stephenson,Northeast Mississippi Community College,northeast-mississippi-community-college,,JUCO,Cal State Bakersfield,cal-state-bakersfield,2023-24,juco_big_west,,,,,G,30,18,15.9,477.0,0.3975,6.7,3.0,0.3,0.6,0.1,1.1,0.407,0.238,0.694,0.422,0.49033957845433257,0.125,0.5,14.3,0.482,25.7,0.4,0.6,1.1,0.088,-4.3,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2024.html
Fidelis Okereke,fidelis-okereke,Cal State Northridge,cal-state-northridge,Big West,D1,Cal State Bakersfield,cal-state-bakersfield,2023-24,d1_big_west,,,,,F,31,29,19.8,613.8000000000001,0.495,5.8,3.9,0.5,0.6,0.7,1.9,0.496,0.0,0.652,0.496,0.5555555555555556,0.0,0.7692307692307693,11.5,0.546,18.5,0.1,0.9,1.0,0.067,-5.0,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2024.html
Jaden Alexander,jaden-alexander,New Mexico State,new-mexico-state,WAC,D1,Cal State Bakersfield,cal-state-bakersfield,2023-24,d1_big_west,,,,,G,30,2,9.1,273.0,0.22749999999999998,2.6,1.3,0.2,0.2,0.1,0.2,0.37,0.067,0.72,0.377,0.4259501965923984,0.18518518518518517,0.2962962962962963,10.2,0.425,18.6,0.2,0.3,0.4,0.066,-6.3,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2024.html
Gloire Goma,gloire-goma,Clarendon College,clarendon-college,,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,juco_big_west,,,,,F,12,1,6.3,75.6,0.1575,0.5,1.1,0.1,0.2,0.3,0.1,0.167,0.0,0.5,0.167,0.3094059405940594,0.0,1.4,2.8,0.306,7.1,0.0,0.1,0.1,0.037,-8.9,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html
Jemel Jones,jemel-jones,South Suburban College,south-suburban-college,,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,juco_big_west,,,,,G,33,26,26.8,884.4,0.67,18.9,3.6,2.1,0.8,0.3,2.0,0.478,0.352,0.857,0.515,0.5638424821002386,0.21333333333333335,0.26666666666666666,25.6,0.559,35.2,3.2,0.7,3.9,0.177,4.7,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html
Marvin McGhee IV,marvin-mcghee-iv,Bishop State Community College,bishop-state-community-college,,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,juco_big_west,,,,,G,33,27,29.8,983.4,0.745,10.0,3.7,1.0,0.5,0.0,1.2,0.365,0.322,0.868,0.478,0.5152514427040396,0.7,0.17777777777777778,10.4,0.512,18.1,1.2,0.6,1.9,0.076,-3.9,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html
Shakiru Odunewu,shakiru-odunewu,West Valley College,west-valley-college,,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,juco_big_west,,,,,F,28,0,9.0,252.0,0.225,2.9,2.5,0.1,0.1,0.1,0.6,0.453,0.333,0.594,0.477,0.5208333333333334,0.13043478260869565,0.47826086956521746,12.2,0.505,18.8,0.2,0.2,0.5,0.075,-7.3,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html
