target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
WCC,Lars Thiemann,lars thiemann,California,Pac-12,D1,Loyola Marymount,2023-24,2022-23,F,7-0,248,31,25.1,0.6275000000000001,9.5,5.4,0.6,0.5,0.6,1.8,0.485,0.0,0.74,0.485,15.139442231075696,8.605577689243027,0.9561752988047808,0.796812749003984,0.9561752988047808,2.8685258964143423,31,25,21.3,660.3000000000001,0.5325,6.7,4.3,0.4,0.3,0.6,0.8,0.6417624521072798,16.7,15.2,2.2,0.131,0.2,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html
WCC,Will Johnston,will johnston,Texas–Rio Grande Valley,WAC,D1,Loyola Marymount,2023-24,2022-23,G,6-3,180,31,32.0,0.8,14.5,2.2,3.6,0.3,0.1,2.5,0.429,0.438,0.844,0.548,18.125,2.75,4.5,0.375,0.125,3.125,31,20,28.9,895.9,0.7224999999999999,11.1,2.5,2.7,0.6,0.0,1.4,0.5415690866510539,13.8,21.2,2.2,0.099,-0.2,https://www.sports-reference.com/cbb/players/will-johnston-2.html,https://www.sports-reference.com/cbb/players/will-johnston-2.html
WCC,Caleb Stone-Carrawell,caleb stone carrawell,Utah Valley,WAC,D1,Loyola Marymount,2024-25,2023-24,G,6-7,215,32,27.7,0.6925,11.7,3.4,1.6,0.3,0.2,1.6,0.397,0.339,0.702,0.458,16.89530685920578,4.909747292418773,2.3104693140794224,0.4332129963898917,0.2888086642599278,2.3104693140794224,32,30,28.8,921.6,0.72,13.4,2.4,1.4,0.6,0.2,1.6,0.5491803278688525,14.3,25.2,1.7,0.076,0.0,https://www.sports-reference.com/cbb/players/caleb-stone-carrawell-1.html,https://www.sports-reference.com/cbb/players/caleb-stone-carrawell-1.html
WCC,Jan Vide,jan vide,UCLA,Pac-12,D1,Loyola Marymount,2024-25,2023-24,G,6-6,200,24,7.3,0.1825,1.9,0.8,0.5,0.2,0.0,0.4,0.38,0.667,0.75,0.4,10.41095890410959,4.383561643835616,2.73972602739726,1.095890410958904,0.0,2.191780821917808,32,0,19.3,617.6,0.48250000000000004,6.3,2.9,2.4,0.7,0.3,1.8,0.5317353139770425,12.9,21.2,1.1,0.069,-0.4,https://www.sports-reference.com/cbb/players/jan-vide-1.html,https://www.sports-reference.com/cbb/players/jan-vide-1.html
WCC,Jevon Porter,jevon porter,Pepperdine,WCC,D1,Loyola Marymount,2024-25,2023-24,F,6-11,220,21,31.5,0.7875,16.2,5.9,1.7,0.8,1.0,1.7,0.425,0.298,0.772,0.474,20.571428571428573,7.492063492063492,2.1587301587301586,1.0158730158730158,1.2698412698412698,2.1587301587301586,31,30,30.9,957.9,0.7725,12.5,7.2,1.9,0.8,1.1,1.9,0.4992012779552716,15.5,24.5,2.2,0.09,1.3,https://www.sports-reference.com/cbb/players/jevon-porter-1.html,https://www.sports-reference.com/cbb/players/jevon-porter-1.html
WCC,Matar Diop,matar diop,Nebraska,Big Ten,D1,Loyola Marymount,2024-25,2023-24,F,6-9,213,19,3.8,0.095,0.8,0.9,0.3,0.2,0.2,0.3,0.5,0.5,0.333,0.542,8.421052631578947,9.473684210526317,3.1578947368421053,2.1052631578947367,2.1052631578947367,3.1578947368421053,17,3,8.7,147.89999999999998,0.21749999999999997,1.8,2.2,0.4,0.1,0.2,0.7,0.625,10.7,13.1,0.3,0.075,-4.9,https://www.sports-reference.com/cbb/players/matar-diop-1.html,https://www.sports-reference.com/cbb/players/matar-diop-1.html
WCC,MJ Amey,mj amey,San Jose State,MWC,D1,Loyola Marymount,2024-25,2023-24,G,6-5,178,32,32.8,0.82,15.7,5.1,3.1,1.6,0.3,1.9,0.425,0.362,0.792,0.51,19.146341463414636,6.219512195121951,3.780487804878049,1.9512195121951221,0.3658536585365854,2.3170731707317076,32,4,20.5,656.0,0.5125,8.6,2.7,0.7,1.3,0.1,0.8,0.5123927550047664,14.8,23.5,1.5,0.092,0.5,https://www.sports-reference.com/cbb/players/myron-mj-ameyjr-1.html,https://www.sports-reference.com/cbb/players/myron-mj-ameyjr-1.html
WCC,Jalen Shelley,jalen shelley,Southern California,Big Ten,D1,Loyola Marymount,2025-26,2024-25,F,6-8,190,22,7.6,0.19,2.0,1.4,0.5,0.2,0.3,0.2,0.385,0.176,0.55,0.423,10.526315789473685,7.36842105263158,2.6315789473684212,1.0526315789473684,1.5789473684210527,1.0526315789473684,25,25,31.1,777.5,0.7775000000000001,13.7,6.6,2.7,0.7,0.6,2.3,0.5558260305095747,16.7,24.4,2.3,0.118,1.7,https://www.sports-reference.com/cbb/players/jalen-shelley-1.html,https://www.sports-reference.com/cbb/players/jalen-shelley-1.html
WCC,Nakyel Shelton,nakyel shelton,Eastern Illinois,OVC,D1,Loyola Marymount,2025-26,2024-25,G,6-3,180,29,34.0,0.85,17.0,4.6,2.0,1.6,0.8,2.6,0.432,0.363,0.82,0.496,20.0,5.411764705882353,2.3529411764705883,1.8823529411764706,0.9411764705882353,3.0588235294117645,28,0,8.9,249.20000000000002,0.2225,2.8,0.9,0.4,0.2,0.1,0.4,0.6340579710144928,11.0,15.6,0.6,0.099,-2.9,https://www.sports-reference.com/cbb/players/nakyel-shelton-1.html,https://www.sports-reference.com/cbb/players/nakyel-shelton-1.html
WCC,Rodney Brown,rodney brown,Virginia Tech,ACC,D1,Loyola Marymount,2025-26,2024-25,G,6-6,180,18,15.1,0.3775,4.1,2.1,1.8,0.2,0.1,0.9,0.375,0.424,0.545,0.472,10.860927152317881,5.562913907284768,4.768211920529802,0.5298013245033113,0.26490066225165565,2.384105960264901,31,30,32.3,1001.3,0.8074999999999999,14.0,2.4,1.7,0.7,0.1,1.5,0.5715218811234487,13.5,21.9,2.5,0.1,0.8,https://www.sports-reference.com/cbb/players/rodney-brown-jr-1.html,https://www.sports-reference.com/cbb/players/rodney-brown-jr-1.html
WCC,Rokas Jocius,rokas jocius,UCF,Big 12,D1,Loyola Marymount,2025-26,2024-25,C,6-10,260,25,8.6,0.215,2.0,1.6,0.3,0.0,0.2,0.4,0.42,0.154,0.714,0.44,9.30232558139535,7.441860465116279,1.3953488372093024,0.0,0.9302325581395349,1.8604651162790697,32,15,12.5,400.0,0.3125,3.2,3.0,0.4,0.2,0.3,0.7,0.5908419497784344,11.7,14.1,1.0,0.101,-2.3,https://www.sports-reference.com/cbb/players/rokas-jocius-1.html,https://www.sports-reference.com/cbb/players/rokas-jocius-1.html
WCC,Dez White,dez white,Missouri State,MVC,D1,Oregon State,2025-26,2024-25,G,6-2,176,31,34.3,0.8574999999999999,14.0,2.8,2.5,1.0,0.3,1.5,0.383,0.371,0.823,0.492,16.3265306122449,3.2653061224489797,2.915451895043732,1.1661807580174928,0.34985422740524785,1.7492711370262393,30,28,29.6,888.0,0.74,9.7,2.7,2.1,0.9,0.1,1.3,0.5320315928038614,11.0,18.9,1.3,0.059,-0.1,https://www.sports-reference.com/cbb/players/dez-white-1.html,https://www.sports-reference.com/cbb/players/dez-white-1.html
WCC,Jorge Diaz Graham,jorge diaz graham,Pittsburgh,ACC,D1,Oregon State,2025-26,2024-25,F,6-11,190,29,7.2,0.18,3.1,0.9,0.2,0.3,0.1,0.1,0.519,0.476,0.813,0.704,17.22222222222222,5.0,1.1111111111111112,1.6666666666666665,0.5555555555555556,0.5555555555555556,32,11,17.9,572.8,0.44749999999999995,6.0,3.6,1.0,0.5,1.0,0.8,0.6177924217462932,17.1,17.1,1.8,0.128,4.4,https://www.sports-reference.com/cbb/players/jorge-diaz-graham-1.html,https://www.sports-reference.com/cbb/players/jorge-diaz-graham-1.html
WCC,Malcolm Christie,malcolm christie,Oakland,Horizon,D1,Oregon State,2025-26,2024-25,G,6-5,185,32,20.0,0.5,8.3,1.2,0.4,0.3,0.1,0.6,0.328,0.321,0.698,0.477,16.6,2.4,0.8,0.6,0.2,1.2,15,0,13.3,199.5,0.3325,4.6,1.0,0.2,0.3,0.1,0.3,0.558252427184466,10.5,18.0,0.3,0.058,-0.5,https://www.sports-reference.com/cbb/players/malcolm-christie-1.html,https://www.sports-reference.com/cbb/players/malcolm-christie-1.html
WCC,Noah Amenhauser,noah amenhauser,Coastal Carolina,Sun Belt,D1,Oregon State,2025-26,2024-25,C,7-0,250,31,22.3,0.5575,10.8,6.0,0.8,0.3,0.8,1.9,0.557,0.4,0.636,0.566,19.37219730941704,10.762331838565022,1.4349775784753362,0.5381165919282511,1.4349775784753362,3.408071748878924,29,8,12.2,353.79999999999995,0.305,5.1,2.2,0.4,0.0,0.5,0.8,0.6299407114624506,16.4,21.8,0.8,0.094,-0.7,https://www.sports-reference.com/cbb/players/noah-amenhauser-1.html,https://www.sports-reference.com/cbb/players/noah-amenhauser-1.html
WCC,Stephen Olowoniyi,stephen olowoniyi,Southern Indiana,OVC,D1,Oregon State,2025-26,2024-25,F,6-8,195,30,27.0,0.675,13.9,6.8,0.5,0.9,1.1,1.8,0.591,0.0,0.637,0.591,20.59259259259259,10.074074074074074,0.7407407407407407,1.3333333333333333,1.6296296296296295,2.6666666666666665,8,0,4.6,36.8,0.11499999999999999,1.4,0.5,0.0,0.0,0.3,0.3,0.4289215686274509,5.3,21.7,0.0,-0.039,-8.5,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html
WCC,Yaak Yaak,yaak yaak,New Mexico State,CUSA,D1,Oregon State,2025-26,2023-24,F,6-11,230,15,3.7,0.0925,0.5,0.7,0.1,0.0,0.1,0.3,0.25,0.0,0.833,0.25,5.405405405405405,7.5675675675675675,1.081081081081081,0.0,1.081081081081081,3.243243243243243,25,9,15.1,377.5,0.3775,6.6,2.2,0.4,0.3,0.5,1.0,0.632183908045977,16.3,22.5,1.1,0.113,0.7,https://www.sports-reference.com/cbb/players/yaak-yaak-1.html,https://www.sports-reference.com/cbb/players/yaak-yaak-1.html
WCC,Donovan Williams,donovan williams,Oklahoma State,Big 12,D1,Pacific,2022-23,2021-22,G,6-5,200,9,10.4,0.26,3.1,1.6,0.2,0.7,0.0,0.4,0.4,0.444,0.571,0.5,11.923076923076923,6.153846153846153,0.7692307692307692,2.692307692307692,0.0,1.5384615384615383,30,27,23.0,690.0,0.575,7.1,3.6,1.0,0.5,0.1,0.8,0.4916897506925207,11.3,17.9,1.1,0.063,-2.0,https://www.sports-reference.com/cbb/players/donovan-williams-4.html,https://www.sports-reference.com/cbb/players/donovan-williams-4.html
WCC,Jordan Ivy-Curry,jordan ivy curry,UTSA,CUSA,D1,Pacific,2022-23,2021-22,G,6-2,170,21,27.7,0.6925,13.9,2.3,2.3,0.9,0.1,2.4,0.347,0.338,0.804,0.424,20.072202166064983,3.32129963898917,3.32129963898917,1.2996389891696751,0.1444043321299639,3.4657039711191335,33,7,20.0,660.0,0.5,10.3,2.6,1.5,0.5,0.0,1.2,0.5537634408602151,17.6,26.9,1.8,0.107,0.5,https://www.sports-reference.com/cbb/players/jordan-ivy-curry-1.html,https://www.sports-reference.com/cbb/players/jordan-ivy-curry-1.html
WCC,Judson Martindale,judson martindale,Holy Cross,Patriot,D1,Pacific,2022-23,2021-22,G,6-6,205,31,24.1,0.6025,8.2,3.3,0.9,0.6,0.6,1.8,0.4,0.339,0.714,0.489,13.609958506224066,5.477178423236515,1.4937759336099585,0.9958506224066389,0.9958506224066389,2.987551867219917,33,19,20.4,673.1999999999999,0.51,6.5,2.4,1.1,0.4,0.4,1.4,0.6000738552437224,11.4,17.1,1.0,0.057,-1.1,https://www.sports-reference.com/cbb/players/judson-martindale-1.html,https://www.sports-reference.com/cbb/players/judson-martindale-1.html
WCC,Keylan Boone,keylan boone,Oklahoma State,Big 12,D1,Pacific,2022-23,2021-22,G,6-8,200,27,17.9,0.44749999999999995,6.0,3.3,0.5,0.6,0.5,0.9,0.369,0.316,0.833,0.49,13.407821229050281,7.374301675977654,1.11731843575419,1.340782122905028,1.11731843575419,2.011173184357542,27,20,23.1,623.7,0.5775,13.9,4.2,0.8,0.6,0.4,1.1,0.6113652357494722,23.1,27.6,2.5,0.159,4.4,https://www.sports-reference.com/cbb/players/keylan-boone-1.html,https://www.sports-reference.com/cbb/players/keylan-boone-1.html
