Player Name,Team,Conference,source_url,source_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct,audit_status,acceptance_status
Jordan Torres,Felician College,Central Athletic,https://felicianathletics.com/sports/mens-basketball/stats,official_school_stats_page,"07 Torres, Jordan  07 Torres, Jordan 5 0.0 14 2.8 1 6 0.167 0 4 0.0 0 0 0.0 2 0.4 2 0 2 0.4 1 0 2 0 0 View Bio",5.0,14.0,2.8,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.4,2.0,0.0,2.0,0.4,1.0,0.0,2.0,0.0,0.0,0.0,0.4,0.0,0.0,5.714285714285714,5.714285714285714,0.0,0.0,0.0,5.714285714285714,,,,,,ok,ok
Miles White,Georgian Court,Central Athletic,https://gculions.com/sports/mens-basketball/stats,official_school_stats_page,"05 White, Miles  05 White, Miles 10 0.0 112 11.2 5 31 0.161 0 16 0.0 5 7 0.714 15 1.5 1 12 13 1.3 18 5 15 3 3 View Bio",10.0,112.0,11.2,5.0,31.0,0.161,0.0,16.0,0.0,5.0,7.0,0.714,15.0,1.5,1.0,12.0,13.0,1.3,18.0,5.0,15.0,3.0,3.0,0.5,1.5,0.3,0.3,5.357142857142858,4.642857142857143,1.7857142857142858,1.0714285714285714,1.0714285714285714,5.357142857142858,,,,,,ok,ok
Correll Johnson,Georgian Court,Central Athletic,https://gculions.com/sports/mens-basketball/stats,official_school_stats_page,"33 Johnson, Correll  33 Johnson, Correll 7 0.0 19 2.7 2 5 0.4 0 2 0.0 4 6 0.667 8 1.1 1 4 5 0.7 1 3 0 0 0 View Bio",7.0,18.9,2.7,2.0,5.0,0.4,0.0,2.0,0.0,4.0,6.0,0.667,8.0,1.1428571428571428,1.0,4.0,5.0,0.7142857142857143,1.0,3.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,16.931216931216927,10.582010582010582,6.349206349206349,0.0,0.0,0.0,,,,,,ok,ok
Justin Agyare-Nkansah,Georgian Court,Central Athletic,https://gculions.com/sports/mens-basketball/stats,official_school_stats_page,"24 Agyare-Nkansah, Justin  24 Agyare-Nkansah, Justin 7 0.0 27 3.9 3 16 0.188 1 10 0.1 1 2 0.5 8 1.1 2 7 9 1.3 1 2 2 4 0 View Bio",7.0,27.3,3.9,3.0,16.0,0.188,1.0,10.0,0.1,1.0,2.0,0.5,8.0,1.1428571428571428,2.0,7.0,9.0,1.2857142857142858,1.0,2.0,2.0,4.0,0.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,11.72161172161172,13.186813186813188,2.93040293040293,5.86080586080586,0.0,2.93040293040293,,,,,,ok,ok
Yves Harris,Georgian Court,Central Athletic,https://gculions.com/sports/mens-basketball/stats,official_school_stats_page,"35 Harris, Yves 35 Harris, Yves 2 0.0 14 7.0 1 1 1.0 0 0 0.0 0 2 0.0 2 1.0 2 2 4 2.0 3 2 1 0 1 View Bio",2.0,14.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,5.714285714285714,11.428571428571429,5.714285714285714,0.0,2.857142857142857,2.857142857142857,,,,,,ok,ok
Darius Sherman,Goldey Beacom,Central Athletic,https://gbcathletics.com/sports/mens-basketball/stats,official_school_stats_page,"14 Sherman, Darius  14 Sherman, Darius 5 0.0 18 3.6 3 7 0.429 0 3 0.0 0 0 0.0 6 1.2 1 2 3 0.6 4 0 2 0 0 View Bio",5.0,18.0,3.6,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.2,1.0,2.0,3.0,0.6,4.0,0.0,2.0,0.0,0.0,0.0,0.4,0.0,0.0,13.333333333333332,6.666666666666666,0.0,0.0,0.0,4.444444444444445,,,,,,ok,ok
Amir Nelson,Holy Family,Central Athletic,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,official_school_stats_page,"15 Nelson, Amir  15 Nelson, Amir 6 0.0 23 3.8 2 10 0.2 2 6 0.333 6 7 0.857 12 2.0 0 5 5 0.8 4 1 4 0 0 View Bio",6.0,22.799999999999997,3.8,2.0,10.0,0.2,2.0,6.0,0.333,6.0,7.0,0.857,12.0,2.0,0.0,5.0,5.0,0.8333333333333334,4.0,1.0,4.0,0.0,0.0,0.1666666666666666,0.6666666666666666,0.0,0.0,21.05263157894737,8.771929824561404,1.7543859649122806,0.0,0.0,7.017543859649122,,,,,,ok,ok
Jason Shields,Holy Family,Central Athletic,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,official_school_stats_page,"03 Shields, Jason  03 Shields, Jason 5 0.0 40 8.0 1 9 0.111 1 9 0.111 2 2 1.0 5 1.0 2 6 8 1.6 2 5 0 0 0 View Bio",5.0,40.0,8.0,1.0,9.0,0.111,1.0,9.0,0.111,2.0,2.0,1.0,5.0,1.0,2.0,6.0,8.0,1.6,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,5.0,0.0,0.0,0.0,,,,,,profile_fetch_failed,profile_fetch_failed
Tayshaun Jackson,Holy Family,Central Athletic,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,official_school_stats_page,"14 Jackson, Tayshaun  14 Jackson, Tayshaun 4 0.0 10 2.5 0 0 0.0 0 0 0.0 0 2 0.0 0 0.0 0 2 2 0.5 0 1 1 2 0 View Bio",4.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.25,0.25,0.5,0.0,0.0,8.0,4.0,8.0,0.0,4.0,,,,,,ok,ok
Brandon Hooks,Holy Family,Central Athletic,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,official_school_stats_page,"10 Hooks, Brandon  10 Hooks, Brandon 3 0.0 28 9.3 0 4 0.0 0 4 0.0 0 0 0.0 0 0.0 0 2 2 0.7 2 2 2 3 0 View Bio",3.0,27.9,9.3,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,2.0,2.0,2.0,3.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,2.8673835125448024,2.8673835125448024,4.301075268817204,0.0,2.8673835125448024,,,,,,profile_fetch_failed,profile_fetch_failed
