number,value,state,params_elastic_alpha,params_elastic_l1_ratio,params_et_bootstrap,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_family,params_gb_learning_rate,params_gb_max_depth,params_gb_max_features,params_gb_min_samples_leaf,params_gb_min_samples_split,params_gb_n_estimators,params_gb_subsample,params_hgb_l2_regularization,params_hgb_learning_rate,params_hgb_max_iter,params_hgb_max_leaf_nodes,params_hgb_min_samples_leaf,params_lgb_colsample_bytree,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_min_child_samples,params_lgb_n_estimators,params_lgb_num_leaves,params_lgb_reg_alpha,params_lgb_reg_lambda,params_lgb_subsample,params_rf_bootstrap,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_ridge_alpha,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_cv_corr,user_attrs_cv_r2,user_attrs_cv_rmse,user_attrs_fold_maes,datetime_start,datetime_complete
113,18.357913321636648,COMPLETE,0.08871987911564723,0.6091734432060112,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44415036688240006,0.18546700716684628,22.699100278516283,"[17.342768772067505, 18.955270416533196, 22.19395520233967, 16.22174803668056, 16.871726900274805]",2026-06-19 03:49:29.476714,2026-06-19 03:49:29.524936
522,18.357916828210083,COMPLETE,0.07767594083732916,0.5723281749987923,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44434481433341383,0.18457241682605785,22.7115619120741,"[17.30563866577837, 18.989722298866756, 22.1563535210303, 16.255201547120663, 16.91829033120913]",2026-06-19 03:50:45.732845,2026-06-19 03:50:45.787922
458,18.35793279166714,COMPLETE,0.09140101717830972,0.6517226128713184,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44450138029417763,0.18507898660678024,22.70450624057873,"[17.295039233253686, 19.007178290138416, 22.15598979342155, 16.239126060521276, 16.935639705919804]",2026-06-19 03:50:32.985387,2026-06-19 03:50:33.039125
280,18.357943615195364,COMPLETE,0.11000752563185606,0.7004325361947799,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442044232726582,0.18612434003221578,22.689939276887056,"[17.325939551883355, 18.968177139748715, 22.23080692068487, 16.191520290632454, 16.88479371229307]",2026-06-19 03:50:00.435031,2026-06-19 03:50:00.485946
922,18.357996885836926,COMPLETE,0.11177329223713899,0.7218679331860169,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444288726806296,0.18589952601072235,22.693072841715708,"[17.291400039295542, 19.00155292701322, 22.208692184806015, 16.20389038344163, 16.936927748293005]",2026-06-19 03:52:18.790191,2026-06-19 03:52:18.852295
403,18.35805578011853,COMPLETE,0.07628224434107783,0.5870391270877052,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4445182149141683,0.18404000752198435,22.718975123260606,"[17.271235245196763, 19.02535087567162, 22.124326949124907, 16.27228193427202, 16.973740612707672]",2026-06-19 03:50:23.939159,2026-06-19 03:50:24.012758
367,18.358059790059034,COMPLETE,0.10120860514694027,0.6662195074211763,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44422517544594153,0.18594442171111514,22.692447098654117,"[17.33595476611301, 18.961389719676145, 22.214261657190743, 16.20404823386946, 16.875473478402878]",2026-06-19 03:50:17.877053,2026-06-19 03:50:17.928665
559,18.358077161202065,COMPLETE,0.07846689736695889,0.60269358198047,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44453866556000216,0.18406796756825194,22.718585870697208,"[17.269119596246068, 19.031527623800883, 22.11796167289996, 16.270637874326116, 16.977302559245175]",2026-06-19 03:51:00.157272,2026-06-19 03:51:00.213495
312,18.35808623252919,COMPLETE,0.09232118201080122,0.6590108106275945,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44453290449351085,0.18504199736158178,22.70502151322784,"[17.288817761365536, 19.01316171821177, 22.153133326960923, 16.240167097686594, 16.947371095761117]",2026-06-19 03:50:06.564508,2026-06-19 03:50:06.618388
339,18.358088546698784,COMPLETE,0.09833798595485561,0.6555222201249669,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44423807042722874,0.18583928106992675,22.693912490863237,"[17.336092662683495, 18.96243990951903, 22.207367762892304, 16.20900035690614, 16.87538884168716]",2026-06-19 03:50:12.457456,2026-06-19 03:50:12.513091
298,18.358098885627985,COMPLETE,0.11206332300047779,0.7259325701703014,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444470509634583,0.1858421692523552,22.693872238235045,"[17.284038756133842, 19.008564423810558, 22.203900315709085, 16.206708055723468, 16.949534420245193]",2026-06-19 03:50:04.341705,2026-06-19 03:50:04.393876
122,18.35813546212434,COMPLETE,0.0902770297744656,0.6519473055869887,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4445355654981766,0.18490201836004283,22.706971362034754,"[17.286517830400417, 19.016261464969155, 22.146176717572747, 16.244771756117615, 16.951825119019578]",2026-06-19 03:49:31.193739,2026-06-19 03:49:31.244356
797,18.358171073576834,COMPLETE,0.09184473709640818,0.6296366043197891,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442357621719191,0.18553818813233158,22.69810843460777,"[17.334903849305775, 18.966092336190396, 22.19168373393935, 16.220740452419744, 16.876387883189786]",2026-06-19 03:51:48.043287,2026-06-19 03:51:48.102701
174,18.358199489988664,COMPLETE,0.10151980152925429,0.6651299085341968,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4441911599465477,0.18598640991097792,22.691861863864133,"[17.33986610344101, 18.957225239146613, 22.218329587765723, 16.201772373608918, 16.87167731665597]",2026-06-19 03:49:40.623390,2026-06-19 03:49:40.674382
333,18.35822262033685,COMPLETE,0.09217041052889764,0.6615783913591454,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4445568320883648,0.1849549579583889,22.706233955311905,"[17.28315268188334, 19.018976673388355, 22.14811626268097, 16.24283962102331, 16.958092228432236]",2026-06-19 03:50:11.517873,2026-06-19 03:50:11.573632
