player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url,source_class,seasons_played_before_transfer,class_backfill_source,class_backfill_file,class_backfill_table,class_backfill_matched_name
Yacine Toumi,Big West,D1,Seton Hall,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/seton-hall/men/2025.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/seton-hall_2025.html,0,Yacine Toumi
Rikus Schulte,Big West,D1,Davidson,UC Riverside,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/davidson/men/2024.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/davidson_2024.html,0,Rikus Schulte
Fidelis Okereke,Big West,D1,Cal State Northridge,Cal State Bakersfield,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/cal-state-northridge_2023.html,0,Fidelis Okereke
Christian Gray,Big West,D1,Fresno State,Cal State Northridge,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fresno-state/men/2021.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/fresno-state_2021.html,0,Christian Gray
Ryan Rapp,Big West,D1,Washington State,Hawaii,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/washington-state/men/2022.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/washington-state_2022.html,0,Ryan Rapp
Nick Fleming,Big West,D1,Southern Utah,Cal Poly,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/southern-utah/men/2022.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/southern-utah_2022.html,0,Nick Fleming
Kaleb Brown,Big West,D1,Missouri,Cal State Fullerton,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/missouri/men/2024.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/missouri_2024.html,0,Kaleb Brown
Isa Silva,Big West,D1,Stanford,Long Beach State,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stanford/men/2023.html,SO,2.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/isa-silva-1.html,0,Isa Silva
Cam Denson,Big West,D1,Pacific,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/pacific_2024.html,0,Cam Denson
Dearon Tucker,Big West,D1,Indiana State,Cal State Northridge,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/indiana-state/men/2022.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/indiana-state_2022.html,0,Dearon Tucker
Judson Martindale,Big West,D1,Pacific,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/pacific_2024.html,0,Judson Martindale
