target_conference,player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_bpm,barttorvik_obpm,barttorvik_dbpm,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Big West,Nordin Kapić,nordin-kapi,UC San Diego,uc-san-diego,2024-25,1.60798,1.04569,-0.199375,1.24507,https://barttorvik.com/playerstat.php?year=2025&p=127042,Nordin Kapic,UC San Diego,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Kamaka Hepa,kamaka-hepa,Hawaii,hawaii,2021-22,1.41087,1.42208,-0.418314,1.84039,https://barttorvik.com/playerstat.php?year=2022&p=66070,Kamaka Hepa,Hawaii,matched_player_and_team,Bart data/trank_data_2022.csv
Big West,Myles Che,myles-che,UC Irvine,uc-irvine,2024-25,1.46247,-1.45182,-1.29305,-0.158767,https://barttorvik.com/playerstat.php?year=2025&p=78560,Myles Che,UC Irvine,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,DeSean Allen-Eikens,desean-allen-eikens,Cal State Northridge,cal-state-northridge,2022-23,1.59208,-0.535472,-0.201664,-0.333808,https://barttorvik.com/playerstat.php?year=2023&p=70463,De'Sean Allen-Eikens,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Yohan Traore,yohan-traore,UC Santa Barbara,uc-santa-barbara,2023-24,2.70829,-4.88957,-1.05179,-3.83778,https://barttorvik.com/playerstat.php?year=2024&p=77014,Yohan Traore,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Trevon Taylor,trevon-taylor,Cal Poly,cal-poly,2021-22,1.454,0.368859,-0.250503,0.619362,https://barttorvik.com/playerstat.php?year=2022&p=65949,Trevon Taylor,Cal Poly,matched_player_and_team,Bart data/trank_data_2022.csv
Big West,Andre Kelly,andre-kelly,UC Santa Barbara,uc-santa-barbara,2022-23,1.67484,0.10981,-0.6997,0.80951,https://barttorvik.com/playerstat.php?year=2023&p=65654,Andre Kelly,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Ty Johnson,ty-johnson2,UC Davis,uc-davis,2022-23,1.50725,-1.55899,-2.42214,0.863153,https://barttorvik.com/playerstat.php?year=2023&p=74389,Ty Johnson,UC Davis,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Bol Dengdit,bol-dengdit,UC San Diego,uc-san-diego,2025-26,1.4468,0.458802,-0.663711,1.12251,https://barttorvik.com/playerstat.php?year=2026&p=76150,Bol Dengdit,UC San Diego,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Dailin Smith,dailin-smith,Cal State Bakersfield,cal-state-bakersfield,2025-26,2.15986,-4.66253,0.3062,-4.96872,https://barttorvik.com/playerstat.php?year=2026&p=134249,Dailin Smith,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Brayden Fagbemi,brayden-fagbemi,UC Davis,uc-davis,2025-26,0.772363,1.37195,-0.172979,1.54493,https://barttorvik.com/playerstat.php?year=2026&p=126879,Brayden Fagbemi,UC Davis,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Landon Seaman,landon-seaman,Cal State Fullerton,cal-state-fullerton,2025-26,2.0026,-0.0346335,1.58361,-1.61824,https://barttorvik.com/playerstat.php?year=2026&p=135262,Landon Seaman,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Kyle Owens,kyle-owens,UC Riverside,uc-riverside,2022-23,2.82274,0.219258,2.44293,-2.22367,https://barttorvik.com/playerstat.php?year=2023&p=71055,Kyle Owens,UC Riverside,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Rob Diaz III,robert-diaz,Long Beach State,long-beach-state,2025-26,1.30967,1.69414,0.169579,1.52456,https://barttorvik.com/playerstat.php?year=2026&p=134376,Rob Diaz,Long Beach St.,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Gianni Hunt,gianni-hunt,Cal State Northridge,cal-state-northridge,2023-24,0.305887,-2.06656,-1.56374,-0.502819,https://barttorvik.com/playerstat.php?year=2024&p=71463,Gianni Hunt,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Emanuel Prospere II,emanuel-prospere-ii,UC San Diego,uc-san-diego,2025-26,0.776572,2.20214,-1.42984,3.63198,https://barttorvik.com/playerstat.php?year=2026&p=133749,Emanuel Prospere II,UC San Diego,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Dre Bullock,quandre-bullock,Hawaii,hawaii,2025-26,1.62387,2.6272,-0.314692,2.94189,https://barttorvik.com/playerstat.php?year=2026&p=76422,Dre Bullock,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
